request_id,title,source_record_id,official_page_url,output_filename,priority,anchor_year,exit_gate_candidate,purpose
sp1961_indonesia,Sensus Penduduk 1961 Republik Indonesia,bps_sp_1961,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensuspenduduk-1961-republik-indonesia.html,sp1961-indonesia.pdf,P0,1961,yes,Establish first post-independence census population anchor and verify Tingkat I tables
sp1971_sumbar_e3,Penduduk Sumatera Barat Sensus Penduduk 1971 Seri E No.3,bps_opac_sumbar_sp1971_serie_e3,https://perpustakaan.bps.go.id/opac/search?media=soft&page=8931&subyek%5B0%5D=2,sp1971-sumbar-seri-e3.pdf,P0,1971,yes,Establish province and regency city historical population family from dedicated Sumatera Barat census softcopy
sumbar_1970,Sumatera Barat Dalam Angka Tahun 1970,bps_opac_sumbar_1970,https://sumbar.bps.go.id/id/publication/1971/09/01/596696f5adf6201742791a61/sumatera-barat-dalam-angka-tahun-1970.html,sumbar-dalam-angka-1970.pdf,P0,1970,no,Anchor early regular multidomain regional statistics
sumbar_1980,Sumatera Barat Dalam Angka Tahun 1980,bps_publication_web,https://sumbar.bps.go.id/id/publication/1981/08/18/a41db922f366817818a2a68a/sumatera-barat-dalam-angka-tahun-1980.html,sumbar-dalam-angka-1980.pdf,P0,1980,no,Decennial multidomain structural checkpoint
sumbar_1990,Sumatera Barat Dalam Angka Tahun 1990,bps_publication_web,https://sumbar.bps.go.id/id/publication/1991/09/03/418d5c50d440245a49e4b21f/sumatera-barat-dalam-angka-tahun-1990.html,sumbar-dalam-angka-1990.pdf,P0,1990,no,Decennial multidomain structural checkpoint
sumbar_2000,Sumatera Barat Dalam Angka Tahun 2000,bps_publication_web,https://sumbar.bps.go.id/id/publication/2001/09/05/e7d159765642b6b991651b12/sumatera-barat-dalam-angka-tahun-2000.html,sumbar-dalam-angka-2000.pdf,P0,2000,no,Decennial multidomain structural checkpoint
sumbar_2010,Sumatera Barat Dalam Angka 2010,bps_publication_web,https://sumbar.bps.go.id/id/publication/2011/01/10/b5ab71f922792441682ce4bf/provinsi-sumatera-barat-dalam-angka-tahun-2010.html,sumbar-dalam-angka-2010.pdf,P0,2010,no,Decennial multidomain structural checkpoint around SP2010
sumbar_2020,Provinsi Sumatera Barat Dalam Angka 2020,bps_publication_web,https://sumbar.bps.go.id/id/publication/2020/04/27/0bde2141fda787c1f0e923bf/provinsi-sumatera-barat-dalam-angka-2020.html,sumbar-dalam-angka-2020.pdf,P0,2020,no,Current-era decennial multidomain checkpoint
sumbar_1971,Sumatera Barat Dalam Angka Tahun 1971,bps_publication_web,https://sumbar.bps.go.id/id/publication/1972/09/29/cb947cd4ef1a1c0e278b212e/sumatera-barat-dalam-angka-tahun-1971.html,sumbar-dalam-angka-1971.pdf,P1,1971,no,Cross-check first-series annual regional tables against dedicated census publication
sumbar_1975,Sumatera Barat Dalam Angka Tahun 1975,bps_publication_web,https://sumbar.bps.go.id/id/publication/1976/09/17/fa3593727fd964ebeeaed690/sumatera-barat-dalam-angka-tahun-1975.html,sumbar-dalam-angka-1975.pdf,P1,1975,no,Mid-decade densification and methodology checkpoint
sumbar_2015,Sumatera Barat Dalam Angka 2015,bps_publication_web,https://sumbar.bps.go.id/id/publication/2016/01/27/8a8ffe1b49a7f16126534e0c/sumatera-barat-dalam-angka-2015.html,sumbar-dalam-angka-2015.pdf,P1,2015,no,Mid-decade bridge for modern annual series
sumbar_2026,Provinsi Sumatera Barat Dalam Angka 2026,bps_sumbar_dalam_angka_2026,https://sumbar.bps.go.id/id/publication/2026/02/27/2c7cc5c693ff125fc6751f7a/provinsi-sumatera-barat-dalam-angka-2026.html,sumbar-dalam-angka-2026.pdf,P1,2026,no,Current baseline endpoint for long-run comparisons
bukittinggi_2009,Kota Bukittinggi Dalam Angka 2009,bps_publication_web,https://bukittinggikota.bps.go.id/id/publication/2010/08/18/dd7fe1b197a9f65087b57c9d/kota-bukittinggi-dalam-angka-2009.html,bukittinggi-dalam-angka-2009.pdf,P1,2009,no,Verify quarantined retrospective 1971 Bukittinggi population table
