geography_id,geography_name,study_year,rainfall_2024_mm,baseline_1981_2023_mean_mm,baseline_1981_2023_sample_sd_mm,rainfall_anomaly_mm,rainfall_anomaly_percent,rainfall_z_2024,rainfall_baseline_percentile,flood_events,landslide_events,hydroclimate_event_count,rainfall_z_rank_desc,flood_events_rank_desc,landslide_events_rank_desc,hydroclimate_event_count_rank_desc
idn.13.1301,Kepulauan Mentawai,2024,4202.103285,3325.927876581395,550.7296717761079,876.175408418605,26.34378858868085,1.590935541193798,100.0,2,0,2,2.0,11.5,12.5,12.5
idn.13.1302,Pesisir Selatan,2024,3320.943657,2827.134947023256,480.2916183402482,493.808709976744,17.46675412493785,1.0281435093187907,88.37209302325581,15,0,15,17.0,1.0,12.5,1.0
idn.13.1303,Solok,2024,3281.290135,2695.993834860465,474.92506638133204,585.2963001395351,21.70985306314055,1.2323971539324534,90.69767441860465,2,2,4,8.0,11.5,3.0,8.0
idn.13.1304,Sijunjung,2024,3337.779082,2767.903650604651,460.9591315990705,569.8754313953491,20.588701896139316,1.2362819007803298,90.69767441860465,5,0,5,7.0,3.0,12.5,6.0
idn.13.1305,Tanah Datar,2024,3043.862868,2507.742674232558,458.2470751393478,536.1201937674423,21.378596746634326,1.1699369681834066,90.69767441860465,3,0,3,12.0,8.5,12.5,10.0
idn.13.1306,Padang Pariaman,2024,4885.867178,3869.616867,679.9356073464213,1016.2503110000002,26.26229794651141,1.494627285319137,97.67441860465117,3,3,6,5.0,8.5,1.0,4.0
idn.13.1307,Agam,2024,3516.147981,2817.5818496744187,441.0216761929381,698.5661313255814,24.79310872215844,1.5839723284258092,97.67441860465117,4,2,6,3.0,5.5,3.0,4.0
idn.13.1308,Lima Puluh Kota,2024,3123.551995,2659.7495331860464,402.9569232188999,463.8024618139534,17.43782472849525,1.1509976255253471,86.04651162790698,4,2,6,14.0,5.5,3.0,4.0
idn.13.1309,Pasaman,2024,3779.401425,3272.9119904883723,421.10360258336107,506.4894345116277,15.475192610848394,1.2027668046638564,90.69767441860465,2,0,2,10.0,11.5,12.5,12.5
idn.13.1310,Solok Selatan,2024,3081.928771,2678.963704046512,468.2117571322925,402.9650669534881,15.041826298162189,0.8606470487233641,83.72093023255815,4,0,4,19.0,5.5,12.5,8.0
idn.13.1311,Dharmasraya,2024,3471.425003,2982.2080074418604,479.88061602518553,489.2169955581394,16.404522901733806,1.019455629631983,88.37209302325581,8,0,8,18.0,2.0,12.5,2.0
idn.13.1312,Pasaman Barat,2024,4467.756881,3678.4133789534885,462.26743751635115,789.3435020465117,21.458803585340387,1.7075472723916258,100.0,4,0,4,1.0,5.5,12.5,8.0
idn.13.1371,Padang,2024,4477.248585,3672.9978692325576,675.1200947197362,804.2507157674427,21.896302268628435,1.1912705932732053,93.02325581395348,1,1,2,11.0,16.5,5.0,12.5
idn.13.1372,Solok,2024,3565.650111,2879.3322224418603,533.890511350241,686.3178885581397,23.836009030458378,1.285503064705909,90.69767441860465,1,0,1,6.0,16.5,12.5,17.0
idn.13.1373,Sawahlunto,2024,3282.380943,2708.849178418605,491.905042540194,573.5317645813952,21.172524817945625,1.1659399985405343,90.69767441860465,1,0,1,13.0,16.5,12.5,17.0
idn.13.1374,Padang Panjang,2024,3247.774615,2673.176927162791,477.05743652162397,574.5976878372089,21.49493667996997,1.2044622803215932,93.02325581395348,1,0,1,9.0,16.5,12.5,17.0
idn.13.1375,Bukittinggi,2024,2609.651163,2199.7044433255815,365.19476776624225,409.94671967441855,18.63644549695269,1.1225426973718902,93.02325581395348,2,0,2,15.0,11.5,12.5,12.5
idn.13.1376,Payakumbuh,2024,2616.639717,2212.725357511628,389.04042289893994,403.91435948837216,18.254156943480933,1.0382323679338996,88.37209302325581,1,0,1,16.0,16.5,12.5,17.0
idn.13.1377,Pariaman,2024,5366.19263,4164.912702720931,762.9838726231785,1201.279927279069,28.842859695337065,1.5744499594060954,97.67441860465117,1,0,1,4.0,16.5,12.5,17.0
