panel_observation_id,indicator_id,geography_id,geography_name,bps_province_code,year,reference_period,value_numeric,unit,claim_type,source_series_id,panel_provenance_id,comparability_regime,methodology_version,price_basis,notes
m5obs_c02f3fa7342ab53f2cbb4354,gini_ratio,idn.11,Aceh,11,2024,Maret,0.294,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_77f720cceea668aa9cb72f68,neet_rate,idn.11,Aceh,11,2024,source_annual_period,28.56,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_156b56c8c05152f7b967f244,poverty_rate,idn.11,Aceh,11,2024,Maret,14.23,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_d6e4eded85d82fa355658552,real_grdp_per_capita,idn.11,Aceh,11,2024,Tahun,27.68418,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_5d5578c0591dbb6a37fdac54,underemployment_rate,idn.11,Aceh,11,2024,source_annual_period,13.79,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_c8756956693b6d1cd46a003d,unemployment_rate,idn.11,Aceh,11,2024,Agustus,5.75,percent,observed,m5_unemployment_august,m5prov_577c6c6aac737a31ac29f70b,bps_current_38_province_2024plus,sakernas_unemployment_august_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:190:Agustus; source universe=Labor force under the official Sakernas open-unemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_4fdebfb864de8950f836305c,gini_ratio,idn.12,Sumatera Utara,12,2024,Maret,0.297,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_ebb3d7bcf9158f440211424f,neet_rate,idn.12,Sumatera Utara,12,2024,source_annual_period,19.78,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_b3ce97d243a8a680d4e6129c,poverty_rate,idn.12,Sumatera Utara,12,2024,Maret,7.99,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_42e6c27c12c30f6eb6d3fae4,real_grdp_per_capita,idn.12,Sumatera Utara,12,2024,Tahun,40.57695,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_cecb0947d753cd745d73ba81,underemployment_rate,idn.12,Sumatera Utara,12,2024,source_annual_period,8.71,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
