panel_provenance_id,source_series_id,indicator_id,bps_var_id,year,source_snapshot,source_snapshot_sha256,semantic_result_sha256,source_manifest,retrieved_at_utc,source_title,source_unit,source_note,selected_turvar_id,selected_turvar_label,selected_turth_id,selected_turth_label,transform,comparability_regime
m5prov_31575ab730cd1c8f44a59a31,m5_gini_march,gini_ratio,98,2024,data/snapshots/bps/comparative/var-98/var-98-2024.json,edc461feca4c8bd9648f8cdc0268476dc34afd7afac54c304e5290c1c3e2d479,8cbdd366d7be9b6f392348dc15fab4b021974d08891656c42bc79cf73ef6f2a4,data/snapshots/bps/comparative/var-98/var-98-manifest.json,2026-08-16T13:46:20+00:00,Gini Ratio Menurut Provinsi dan Daerah,,"- Sumber  : BPS, Susenas  
<br />- Tahun 2002, Susenas Modul Konsumsi reguler
<br />- Tahun 2005, Susenas Panel (Februari)
<br />- Tahun 2006-2010, Susenas Panel (Maret)
<br />- Tahun 2011-2016, Susenas Modul Konsumsi (Maret dan September)
<br />- Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)",191,Perkotaan+Perdesaan,61,Semester 1 (Maret),identity,bps_current_38_province_2024plus
m5prov_5f44d02b5481880e37d26d54,m5_neet_source_period,neet_rate,1186,2024,data/snapshots/bps/comparative/var-1186/var-1186-2024.json,c156c4ffdccd88fdd53b3537ea1366f4f850cce8a69999d462a242509172cbab,b4f6de8d226c47622ab4974d667e593668c772f7762be6e34370930a8b34667f,data/snapshots/bps/comparative/var-1186/var-1186-manifest.json,2026-08-16T13:46:39+00:00,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,"<p>Sumber: Sakernas, BPS</p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p>",0,Tidak ada,0,Tahun,identity,bps_current_38_province_2024plus
m5prov_03abc8d1b5e9677c16c7cf31,m5_poverty_march,poverty_rate,192,2024,data/snapshots/bps/comparative/var-192/var-192-2024.json,43aed1878913bcd03baf04ce87a9b5443e116a11e64d88d27edc4f8ee543b823,08277dc84a9deb0baf6095e395817202a01e42d7a38f08dc39f61e5af1e4c6ba,data/snapshots/bps/comparative/var-192/var-192-manifest.json,2026-08-16T13:46:16+00:00,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,<p><br /></p><ul><li>Data Provinsi Kalimantan Utara pada tahun 2013 dan 2014 masih bergabung dengan Provinsi Kalimantan Timur</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)</li></ul><p><br /></p>,434,Jumlah,61,Semester 1 (Maret),identity,bps_current_38_province_2024plus
m5prov_de3818b738ca6c01659133dd,m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2024,data/snapshots/bps/comparative/var-288/var-288-2024.json,dfee2b4139d40b9d58a2a1d3b8f9858094cfb295c6f3a7f2916cec378959c65b,f60e3147bc346d895a51f9cdf271f45c95d786e060a0ef509b9eaaf11506310b,data/snapshots/bps/comparative/var-288/var-288-manifest.json,2026-08-16T13:46:35+00:00,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,<p><ul><li>Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik </li><li>Data 2023: Angka sementara</li><li> Data 2024: Angka sangat sementara</li></ul></p>,531,Harga Konstan 2010,0,Tahun,divide_1000,bps_current_38_province_2024plus
m5prov_5d566b55a746582520c84604,m5_underemployment_source_period,underemployment_rate,1181,2024,data/snapshots/bps/comparative/var-1181/var-1181-2024.json,983b1744df8bd89197739fa87d82c9f1ea3d4fe5671bd504b0dda74ffdda178e,843ee51d4a1d0fc181a17cc0946f329d6573fcb49398d3111370dfd474a92097,data/snapshots/bps/comparative/var-1181/var-1181-manifest.json,2026-08-16T13:46:31+00:00,Tingkat Setengah Pengangguran Menurut Provinsi,Persen,"<p>Sumber: Sakernas, BPS</p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p>",0,Tidak ada,0,Tahun,identity,bps_current_38_province_2024plus
m5prov_577c6c6aac737a31ac29f70b,m5_unemployment_august,unemployment_rate,543,2024,data/snapshots/bps/comparative/var-543/var-543-2024.json,d5a63f98c0b4336a663a84dd4527e2a76ece643fbd827d48b6c6c39ad6ba6a2d,4e20465e5286429cc6278dd45324d3e5a27f983327402b0fb7144de16e138a65,data/snapshots/bps/comparative/var-543/var-543-manifest.json,2026-08-16T13:46:26+00:00,Tingkat Pengangguran Terbuka Menurut Provinsi,Persen,"<p>Data 2011-2013 menggunakan Backcast dari Penimbang Proyeksi Komponen                    <br />Data 2018-2020 menggunakan Backcast dari Penimbang berbasis SUPAS 2015                    <br />1986-1998, penghitungan tanpa data Provinsi Timor Timor                    <br />Pada tahun 1995, Sakernas tidak dilaksanakan                    <br />Pada tahun 2000, tanpa Maluku                    <br />Sumber: Survei Angkatan Kerja Nasional (Sakernas)                    <br /><br /><br /></p><p><br /></p><p><br /></p>",0,Tidak ada,190,Agustus,identity,bps_current_38_province_2024plus
m5prov_9325ac10d2e17606bcf2fdfb,m5_gini_march,gini_ratio,98,2025,data/snapshots/bps/comparative/var-98/var-98-2025.json,aea7f4d5075c94cab5c5f2764b1de384e269e45e29400696babb40c17b17055c,f88795a631610c620d4e25fc65ad284282e1439d17695e227e476cc94afe0dd0,data/snapshots/bps/comparative/var-98/var-98-manifest.json,2026-08-16T13:46:20+00:00,Gini Ratio Menurut Provinsi dan Daerah,,"- Sumber  : BPS, Susenas  
<br />- Tahun 2002, Susenas Modul Konsumsi reguler
<br />- Tahun 2005, Susenas Panel (Februari)
<br />- Tahun 2006-2010, Susenas Panel (Maret)
<br />- Tahun 2011-2016, Susenas Modul Konsumsi (Maret dan September)
<br />- Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)",191,Perkotaan+Perdesaan,61,Semester 1 (Maret),identity,bps_current_38_province_2024plus
m5prov_e5925e2ab2cd9425b9e6ea8a,m5_neet_source_period,neet_rate,1186,2025,data/snapshots/bps/comparative/var-1186/var-1186-2025.json,c9b4d7e24ec5dc724c11e105f0b9bd6f3da6f66c48000499169ec20aa2c71ed8,267f202440ee43794a9432c7bbdf5e48ce856d3118caee81bcaca615d32ad48c,data/snapshots/bps/comparative/var-1186/var-1186-manifest.json,2026-08-16T13:46:39+00:00,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,"<p>Sumber: Sakernas, BPS</p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p><p><br /></p>",0,Tidak ada,0,Tahun,identity,bps_current_38_province_2024plus
m5prov_c4a68e4cd387608533c7030a,m5_poverty_march,poverty_rate,192,2025,data/snapshots/bps/comparative/var-192/var-192-2025.json,ca7e8c84aea7f1e1dfa8289f6412f1fc069b801270e4dc6cb0d6fca43f0c2da0,843bfcc823b3a259e1c928cfd10e8d55824dd457606d7e3b79d8550abcff8401,data/snapshots/bps/comparative/var-192/var-192-manifest.json,2026-08-16T13:46:16+00:00,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah,Persen,<p><br /></p><ul><li>Data Provinsi Kalimantan Utara pada tahun 2013 dan 2014 masih bergabung dengan Provinsi Kalimantan Timur</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)</li></ul><p><br /></p>,434,Jumlah,61,Semester 1 (Maret),identity,bps_current_38_province_2024plus
m5prov_5eb61e46b3ff5ef90cc17fa4,m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2025,data/snapshots/bps/comparative/var-288/var-288-2025.json,62bdc2764ebea82ca9e9c09cbbbb138544fb6441c9178899865dd70a4bd1a71f,2ddb2a56c7df7361a1e103da758c10553ddf74fdaafd5a181eb8a2395cf78649,data/snapshots/bps/comparative/var-288/var-288-manifest.json,2026-08-16T13:46:35+00:00,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,<p><ul><li>Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik </li><li>Data 2023: Angka sementara</li><li> Data 2024: Angka sangat sementara</li></ul></p>,531,Harga Konstan 2010,0,Tahun,divide_1000,bps_current_38_province_2024plus
