geography_id,geography_name,bps_province_code,year,poverty_rate,gini_ratio,unemployment_rate,underemployment_rate,real_grdp_per_capita,neet_rate
idn.11,Aceh,11,2024,14.23,0.294,5.75,13.79,27.68418,28.56
idn.12,Sumatera Utara,12,2024,7.99,0.297,5.6,8.71,40.57695,19.78
idn.13,Sumatera Barat,13,2024,5.97,0.283,5.75,11.11,34.16975,21.31
idn.14,Riau,14,2024,6.67,0.307,3.7,9.12,84.90325,21.79
idn.15,Jambi,15,2024,7.1,0.321,4.48,8.43,47.49059,20.71
idn.16,Sumatera Selatan,16,2024,10.97,0.333,3.86,9.83,42.89993,23.36
idn.17,Bengkulu,17,2024,13.56,0.342,3.11,10.05,25.78058,20.92
idn.18,Lampung,18,2024,10.69,0.302,4.19,9.63,29.89063,22.53
idn.19,Kepulauan Bangka Belitung,19,2024,4.55,0.244,4.63,7.41,39.70009,21.26
idn.21,Kepulauan Riau,21,2024,5.37,0.349,6.39,3.91,96.15712,14.52
idn.31,DKI Jakarta,31,2024,4.3,0.423,6.21,3.98,201.32987,15.19
idn.32,Jawa Barat,32,2024,7.46,0.421,6.75,7.73,34.80222,23.49
idn.33,Jawa Tengah,33,2024,10.47,0.367,4.78,7.48,30.53389,17.93
idn.34,DI Yogyakarta,34,2024,10.83,0.435,3.48,5.55,33.14014,11.18
idn.35,Jawa Timur,35,2024,9.79,0.372,4.19,7.06,46.29519,17.02
idn.36,Banten,36,2024,5.84,0.353,6.68,6.77,42.77359,23.79
idn.51,Bali,51,2024,4,0.361,1.79,2.35,37.94016,7.26
idn.52,Nusa Tenggara Barat,52,2024,12.91,0.361,2.73,15.23,19.3792,15.44
idn.53,Nusa Tenggara Timur,53,2024,19.48,0.316,3.02,14.9,13.81914,17.02
idn.61,Kalimantan Barat,61,2024,6.32,0.31,4.86,8.25,28.5445,21.22
idn.62,Kalimantan Tengah,62,2024,5.17,0.301,4.01,5.89,42.24024,21.78
idn.63,Kalimantan Selatan,63,2024,4.11,0.302,4.2,7.61,36.68506,18.69
