bps_var_id,bps_title,source_unit,subject_id,subject_name,matched_families,selection_basis,catalog_metadata_sha256,stage0_status
672,[Seri2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut Lapangan Usaha Atas dasar Harga Konstan 2010 di Provinsi Sumatera Barat,Juta Rupiah,52,Produk Domestik Regional Bruto (Kabupaten/Kota),,existing_seed_id,5fb3700bf137be4d47a54b1465610caee83f5d8d2d3c96f48aef4c1fc6bfcfbf,metadata_discovery_candidate
797,Jumlah Pelanggan Listrik Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,7,Energi,,existing_seed_id,86360d4c3fcd88042bd9b3fa77d8ba0b4a85e32ef80aa60773888fb68ad5e37d,metadata_discovery_candidate
28,[Proyeksi 2010-2020] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,50cdf50c57c52e19b27a577b47668031025c8219b6a406c54b120a7cc6a0b626,metadata_discovery_candidate
32,Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family|existing_seed_id,f95dd82acb6c1d7aa07bf8c00d92377cd6963f86f41b7b62693c75db08c67d63,metadata_discovery_candidate
117,Angka Partisipasi Sekolah (APS) Menurut Kabupaten/Kota dan Kelompok Umur di Provinsi Sumatera Barat,Tidak Ada Satuan,28,Pendidikan,demographic_structure,keyword_family,6d4b14df28d5f038ff918a7410cba8c19d8a826febfa7cc4f764d9b944d013c6,metadata_discovery_candidate
125,Jumlah Penduduk Miskin Menurut Kabupaten/kota di Sumatera Barat,Ribu Jiwa,23,Kemiskinan dan Ketimpangan,demographic_structure,keyword_family,ed4c49082d78c96653dd372fe878828d55823d185095f40882e66d9cc5602267,metadata_discovery_candidate
181,[Proyeksi 2010-2020] Dependency Ratio Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,12,Kependudukan,demographic_structure,keyword_family,e53a2b890df19c69ac68629f63819bb99df44a8af451ede01eab1be21689c8dd,metadata_discovery_candidate
196,[Hasil Sensus] Jumlah Penduduk Perkotaan Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,be77e4a9c3a61d191f2aef8f425c989b266f5623b8c9e35f41330883122d2e2f,metadata_discovery_candidate
218,[Hasil Sensus] Jumlah Penduduk Perdesaan Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,27c7634c47c5a819cb7f5a3694eabe61914615840139e2701402857babdf02e3,metadata_discovery_candidate
219,[Hasil Sensus] Jumlah Penduduk Perkotaan dan Perdesaan Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,0afad48e8b9e0df67fe4a1fd253018092665636f596be0da9253357b8bbaab0e,metadata_discovery_candidate
220,[Proyeksi 2010-2020] Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,003f808301e267929edbc01c63bae5df1c6acc70e52553aad8055c26f899f59e,metadata_discovery_candidate
344,Jumlah Jemaah Haji Menurut Kabupaten/Kota dan Kelompok Umur,orang,108,Agama,demographic_structure,keyword_family,f71acd4f8281996343ff0def59f25887eddb2f2660013380b5169097129b9fcd,metadata_discovery_candidate
371,Jumlah Penduduk Miskin Menurut Daerah Tempat Tinggal di Sumatera Barat,Jiwa,23,Kemiskinan dan Ketimpangan,demographic_structure,keyword_family,055586e35a695339c12caeaff40bb40caa3dc92188c97c271daa9be449020453,metadata_discovery_candidate
480,Jumlah Penduduk Usia Kerja yang Terdampak Covid-19 menurut Kabupaten/Kota,orang,6,Tenaga Kerja,demographic_structure,keyword_family,00205a264d22c9042fffa674480c98f4a4dc61a0c0ff9fe8ce654b1b1aa09e2c,metadata_discovery_candidate
484,[Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,34811a363adf779bd3a1f9c9d75a8ca0f8e689946ee2589502186cc38fb874ee,metadata_discovery_candidate
512,Persentase Penduduk Perkotaan Hasil Proyeksi Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,12,Kependudukan,demographic_structure,keyword_family|existing_seed_id,2d8132638bf8b6f7b691cc18f964de688b49072f81572d62bf49473e2df93acc,metadata_discovery_candidate
667,Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,3b7b229a0ece863099f38c73b2d749f6c543148bfa2034691e7ec1a055d50d9f,metadata_discovery_candidate
671,"Jumlah Penduduk Setengah Pengangguran, Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota",Tidak Ada Satuan,6,Tenaga Kerja,demographic_structure,keyword_family,d7230ebdfee16d51fe1f64a4603ef6778fc40268829f78a4eeb5fa04d314054f,metadata_discovery_candidate
673,Rata-Rata Upah/Gaji Bersih Sebulan Pekerja Formal Menurut Kelompok Umur dan Lapangan Pekerjaan Utama,Rupiah,19,Upah  Buruh,demographic_structure,keyword_family,ea9f4b1048feb4a57d0083d9c0c07121fcd4ff0544ef3e7d96c992ec2726fa5a,metadata_discovery_candidate
722,Penduduk 15 Tahun Ke Atas yang Bekerja Seminggu yang Lalu Menurut Status Pekerjaan Utama dan Kelompok Umur,Jiwa,6,Tenaga Kerja,demographic_structure,keyword_family,450edace177006cb59a3da0a601e80feecf975c73d97e6384991c384b7772227,metadata_discovery_candidate
749,Angka Kelahiran Hasil Long Form SP2020 menurut Kelompok Umur (Age Spesific Fertility Rate/ASFR),Tidak Ada Satuan,12,Kependudukan,demographic_structure,keyword_family,de9db8976414ec3ae1d4cebc82939e030eb3a81c0d601a69e4939ae490b18796,metadata_discovery_candidate
754,[Proyeksi Interm 2021-2023] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,8b391ffa67269a7db3d1c5230b764d155aa763ef8f3c9d32cc77be9eb0cc0574,metadata_discovery_candidate
755,[Proyeksi 2020-2035] Jumlah Penduduk Menurut Kabupaten/Kota dan Jenis Kelamin di Provinsi Sumatera Barat,Ribu Jiwa,12,Kependudukan,demographic_structure,keyword_family|existing_seed_id,e694a1f07cd5d0a0ff072b819fc2db95c5231b36bab1613362f6e2fc33e07622,metadata_discovery_candidate
756,[Proyeksi 2020-2035] Dependency Ratio Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,12,Kependudukan,demographic_structure,keyword_family,14c1334dac612c0c1f9fb43cec6e7e5a0a506942ecc6f0d124619a52bf45b6f5,metadata_discovery_candidate
792,[Proyeksi 2020-2035] Jumlah Penduduk Menurut Jenis Kelamin dan Kelompok Umur di Provinsi Sumatera Barat,Ribu Jiwa,12,Kependudukan,demographic_structure,keyword_family,1945bc2c23b5d4586a2384e5692a6029a5d9e106dc42a9c3441931f35e959d16,metadata_discovery_candidate
857,[Hasil Sensus dan SUPAS] Migrasi Seumur Hidup Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,f468cae0ed4c42ccc1d0c45deb1f24f9b57fd827e7f5cc032d04d0c56b869e01,metadata_discovery_candidate
858,[Hasil Sensus dan SUPAS] Migrasi Risen Provinsi Sumatera Barat,Jiwa,12,Kependudukan,demographic_structure,keyword_family,3e31136e88b7dc3a8507c3fa226c64082aab88ad744f630eaadbc4ac1a03d629,metadata_discovery_candidate
875,[Hasil SUPAS] Rasio Ketergantungan Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,12,Kependudukan,demographic_structure,keyword_family,3408406f9deb3a7cff7fe1801cc643dfc96145057cd18aa22f1b27f9ad4ac741,metadata_discovery_candidate
881,[Hasil SUPAS] Indikator Migrasi Seumur Hidup per 100 Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,12,Kependudukan,demographic_structure,keyword_family,aa3a9eb1b615d3a929e592ad6417ab61f7e125e056356ce00dad08ab979ea594,metadata_discovery_candidate
883,[Hasil SUPAS] Indikator Migrasi Indikator Migrasi Risen per 100 Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,12,Kependudukan,demographic_structure,keyword_family,b7e04ee0bb804ba294c1d695229ee2d003d43d265788077ee52c583aa3e2afe4,metadata_discovery_candidate
169,[Seri 2010] Produk Domestik Regional Bruto per Kapita Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Ribu Rupiah,52,Produk Domestik Regional Bruto (Kabupaten/Kota),economic_level,keyword_family,dd45ad3cfdf173f808099814e5b30005e23f483a932bde678e805e39483e1092,metadata_discovery_candidate
214,[Seri 1993] Produk Domestik Regional Bruto Per Kapita Menurut Kabupaten/Kota di Sumatera Barat,Ribu Rupiah,52,Produk Domestik Regional Bruto (Kabupaten/Kota),economic_level,keyword_family,baaca8de022712ebe5d42d274b398a7ae6aa9d2b284084e572f8498fd192ddab,metadata_discovery_candidate
216,[Seri 1983] Produk Domestik Regional Bruto Per Kapita Menurut Kabupaten/Kota di Sumatera Barat,Ribu Rupiah,52,Produk Domestik Regional Bruto (Kabupaten/Kota),economic_level,keyword_family,88075716e9043b4c451ff4e2a4828f2a9308b8a0dd057cf1895d6242f7996c13,metadata_discovery_candidate
420,[Seri 2000] Produk Domestik Regional Bruto per Kapita Menurut Kab/Kota di Sumatera Barat,Juta Rupiah,52,Produk Domestik Regional Bruto (Kabupaten/Kota),economic_level,keyword_family,df328adab7deeeaeb1eb7e1e323155e85b557369c94c2e32424233d0cfd14837,metadata_discovery_candidate
521,Produk Domestik Regional Bruto dan PDRB Per Kapita di Provinsi Sumatera Barat,Tidak Ada Satuan,157,Produk Domestik Regional Bruto(Lapangan Usaha),economic_level,keyword_family,6bfb283721771f91e4b377620ecf6be2cda30325dd720c90af7e1a028ad27a90,metadata_discovery_candidate
93,Jumlah Puskesmas Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tidak Ada Satuan,30,Kesehatan,health,keyword_family,b2722cb99cfaebc9c8c52cf194c80ba24c8849a2e070e6f30ddf7d3c670952f1,metadata_discovery_candidate
269,Persentase Penduduk Yang Mempunyai Keluhan Kesehatan Selama Sebulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,30,Kesehatan,health,keyword_family,591be029241e383bc458e0df3a8ce3c3469cbf1f3aed9e007dd02f911877d805,metadata_discovery_candidate
362,[Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Tahun,26,Indeks Pembangunan Manusia,health,keyword_family,e514ddb670b250e77896c98ba756c69b8b3e7c068dbe69fc4a92817e747a5119,metadata_discovery_candidate
365,[Metode Lama] Angka Harapan Hidup Menurut Kabupaten/Kota,Tahun,26,Indeks Pembangunan Manusia,health,keyword_family,1628215e57a5c742f7b2053cfc05c472a4204ba6764ed566773b6a2db0fb1133,metadata_discovery_candidate
378,Persentase Perempuan Pernah Kawin Berumur 15-49 Tahun yang Proses Kelahiran Terakhir Ditolong Oleh Tenaga Kesehatan Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,30,Kesehatan,health,keyword_family,ac054d8fdaab3d4370284c0e5129db2bfdce4a8fbaa7abe268c7f7da4da068f5,metadata_discovery_candidate
547,Angka Kesakitan/Morbiditas Menurut Kabupaten/Kota di Provinsi Sumatera Barat,Persen,30,Kesehatan,health,keyword_family,91a34b434768f524af57c18bc9127a40cdfbb4b1c7374757b3a039249e9dc790,metadata_discovery_candidate
635,Banyaknya Desa/Kelurahan Menurut Kabupaten/Kota dan Keberadaan Tenaga Kesehatan dan Dukun Bayi yang Tinggal di Desa/Kelurahan,Tidak Ada Satuan,158,Potensi Desa,health,keyword_family,82d849b6d075bef38524a77bfbab8be8f71dd6ac26149799f16aa77381bc7cf8,metadata_discovery_candidate
