candidate_id,bps_var_id,year,normalized_source_row_count,normalizer_observed_value_count,selected_geography_count,missing_geography_codes,duplicate_geography_codes,range_failure_codes,geography_representation_failure_ids,selector_failure_count,unit_failure_count,title_failure_count,classification,claim_type,methodology_regime,error,raw_snapshot_path,raw_snapshot_sha256
dependency_ratio_projection,756,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed_census_anchor,lf_sp2020_anchor,,data/processed/bps/m28_stage2b_full_history/var-756/2020.json,18831ad7b3e8bc22f0aa48ce863948a9c55694e382a366febee4f0d3984469ef
dependency_ratio_projection,756,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,model_estimate_projection,population_projection_2020_2035_sp2020_basis,,data/processed/bps/m28_stage2b_full_history/var-756/2021.json,7b92a628fa7468022ff91dd08913cdefec9e49e7efd35a917d51c9531702dc1b
dependency_ratio_projection,756,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,model_estimate_projection,population_projection_2020_2035_sp2020_basis,,data/processed/bps/m28_stage2b_full_history/var-756/2022.json,a12330dc0043abfad58f601d254a8ed59e02a7979a65fd527eedc41abab1c4ff
dependency_ratio_projection,756,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,model_estimate_projection,population_projection_2020_2035_sp2020_basis,,data/processed/bps/m28_stage2b_full_history/var-756/2023.json,8e31d41220eadffb802d82e76ad37f2c6dbdc5b9736fc2883d6d7cb3eb3c9fc9
dependency_ratio_projection,756,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,model_estimate_projection,population_projection_2020_2035_sp2020_basis,,data/processed/bps/m28_stage2b_full_history/var-756/2024.json,cd9033f1546be0bd65e710179af80f302d5bc5c53045ea9622f5f2efbdc31a65
internet_access_age5plus,320,2018,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2018.json,1ba6621526787fc983c8d0ad96198cf8d6c205fa0255620e699cdbca405bf696
internet_access_age5plus,320,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2019.json,62a1d61236eb81510a499ee9312b91b5599fa6631fc43a96bfd8d81413936fbb
internet_access_age5plus,320,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2020.json,4437854bd8c031022dc99dcc525a305b13e74604f8a311bf893701272e252896
internet_access_age5plus,320,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2021.json,6997dae51a270abb1f8e7f498f4fb967e86a7b4e0d0955026ab1f947490a7725
internet_access_age5plus,320,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2022.json,2a30b0d513b8c3aedaa2d75036778532d233f4f72f99efbcaf5d406c7f42e054
internet_access_age5plus,320,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2023.json,aac32e0a7956c02ed9b6eee1fe9d819c549f3d8bd3b5a43fb3b3df174c88bc42
internet_access_age5plus,320,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2024.json,357359e7c921f6624a0a4bbb8866178be9645b6ea2092fa870f3d0eb6e13ac3e
internet_access_age5plus,320,2025,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_age5plus_internet_last_3_months,,data/processed/bps/m28_stage2b_full_history/var-320/2025.json,0f1e390c2d1c640d45307815334253420897523103371cbf517cc98bdd117814
jkn_coverage,763,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2019.json,4b6aec1611587c4f17c89888dcb357addaedb10ecfb9eb151fa4be20444f1627
jkn_coverage,763,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2020.json,be86bad1dd1c62f9a6120d1a12a4bd9163a8ad0264d5ed09b0dd287612d0b222
jkn_coverage,763,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2021.json,c37c9297faa13769e17b0210020a179da2a65df98ff1e5407691b2a1e55aecd9
jkn_coverage,763,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2022.json,8f0ad455bdfbda58f5570bb79cb0dace9e19a4edbcbee06914390466ab68063e
jkn_coverage,763,2023,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2023.json,731c49d1e47bc3aea177f254162c39dc0189d320ed4f8a174d208e1a0904f1d8
jkn_coverage,763,2024,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2024.json,ddd3fc6a7a963c6574ae9ea5a6754325fd6f2e8939f599a1f5fa04bc8589e0ec
jkn_coverage,763,2025,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,jkn_membership_bpjs_mandiri_and_pbi,,data/processed/bps/m28_stage2b_full_history/var-763/2025.json,3b4203c293b5a9b1e0b789feb339b66be07723115793b2cfe22c53bd15ff22b6
morbidity_rate,547,2018,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2018.json,db3e2c63281d3da2ad63217d2dca82bd2902af577da8b549b83e0954eec197b5
morbidity_rate,547,2019,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2019.json,33316cd0cc37ec622e0b154b62cf745db6c2c6c66c676fcc3cfeb349128e418f
morbidity_rate,547,2020,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2020.json,2ece435597a190e290c4deb53eaf00e20fbfbd0b95c869c99e9597f51b4d0825
morbidity_rate,547,2021,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2021.json,3b724a6805737f12e6f1e74572933853715a0f0413f4aece7f51994738f3e086
morbidity_rate,547,2022,20,20,19,,,,,0,0,0,qualified_numeric_candidate_year,observed,susenas_morbidity,,data/processed/bps/m28_stage2b_full_history/var-547/2022.json,9564a62daa105738f95982dcaeb1f80dca9795ce00a3547060e26e067bd3e2f3
