candidate_id,indicator_id,year,request_authorized,classification,observation_count,reason
safe_drinking_water_access,adequate_drinking_water_access,2018,False,structured_missing_outside_qualified_source_regime,0,pre-2019 concept; not concatenated with the SDGs-method series
safe_drinking_water_access,adequate_drinking_water_access,2019,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2020,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2021,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2022,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2023,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2024,True,qualified_numeric_candidate_year,19,
safe_drinking_water_access,adequate_drinking_water_access,2025,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2018,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2019,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2020,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2021,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2022,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2023,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2024,True,qualified_numeric_candidate_year,19,
sanitation_access_adequate,adequate_sanitation_access,2025,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2018,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
dependency_ratio_projection,dependency_ratio,2019,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
dependency_ratio_projection,dependency_ratio,2020,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2021,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2022,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2023,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2024,True,qualified_numeric_candidate_year,19,
dependency_ratio_projection,dependency_ratio,2025,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
internet_access_age5plus,internet_access_age5plus,2018,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2019,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2020,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2021,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2022,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2023,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2024,True,qualified_numeric_candidate_year,19,
internet_access_age5plus,internet_access_age5plus,2025,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2018,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
jkn_coverage,jkn_membership_coverage,2019,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2020,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2021,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2022,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2023,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2024,True,qualified_numeric_candidate_year,19,
jkn_coverage,jkn_membership_coverage,2025,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2018,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2019,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2020,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2021,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2022,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2023,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2024,True,qualified_numeric_candidate_year,19,
morbidity_rate,morbidity_rate,2025,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
real_grdp_per_capita_2010,real_grdp_per_capita,2018,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2019,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2020,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2021,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2022,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2023,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2024,True,qualified_numeric_candidate_year,19,
real_grdp_per_capita_2010,real_grdp_per_capita,2025,False,structured_missing_outside_qualified_source_regime,0,source period unavailable or outside the preregistered qualified methodology regime
