break_year,pre_segment_year_count,post_segment_year_count,pre_slope_mm_per_year,post_slope_mm_per_year,training_mae_mm,training_rmse_mm,selected_full_series_break
1990,10,35,7.722833175438609,20.525966803827757,313.0104489699807,435.124984850175,False
1991,11,34,-20.62229109210523,21.526345884711777,307.4996057816908,429.8432118926893,False
1992,12,33,-20.888033000939807,22.747714575438557,302.53862034088013,421.74821256038325,False
1993,13,32,-30.6613662315789,19.966166459429832,305.92291730204636,433.3948457643361,False
1994,14,31,-44.38453994736847,15.692124757309935,308.2180380550357,432.0704984665106,False
1995,15,30,-35.238949783625685,16.04393541715399,309.69834252562356,433.1325983199122,False
1996,16,29,-39.63366238377191,14.265690828216373,306.1657150262186,435.7060904152237,False
1997,17,28,-53.57790425814537,11.340549157894696,302.84976700607115,411.1022751518764,False
1998,18,27,-43.69866423684211,9.953079730650135,296.56344197038163,415.30639541198957,True
1999,19,26,-30.314049094736767,12.56138053684208,305.53515503649095,438.2389872888585,False
2000,20,25,-20.155144940789626,14.670187763784561,312.44942696931236,440.64008704216826,False
2001,21,24,-18.18374052114259,13.273623464912312,308.31308808517,445.1843018416622,False
2002,22,23,-13.082841736842093,12.837213952908602,309.9841404252387,452.84026317438713,False
2003,23,22,-6.128520779904317,15.239647412955456,318.68221315888445,450.43270639356837,False
2004,24,21,-6.076223852671458,14.124135065058471,310.85152975639124,454.8407076353706,False
2005,25,20,-2.222778809597532,15.356601529239736,319.0754650356648,451.6869795208314,False
2006,26,19,-6.128520779904317,12.277148894736797,309.9134240959063,449.9022976306856,False
2007,27,18,-2.263852829721386,13.698307105263211,319.3573904824906,449.22807325437185,False
2008,28,17,1.607494628744952,18.414536690789483,323.59383609206907,448.2136110173885,False
2009,29,16,1.7472029249999992,16.83056047368421,321.8286885890058,452.07893702877595,False
2010,30,15,6.083707728531839,29.419366473684324,319.87640331695917,448.0451954459775,False
2011,31,14,3.241847210526365,20.61873948684206,320.54804078040974,452.5959420249831,False
2012,32,13,5.325962813157899,35.20339300250629,319.70347764633806,447.25834821770883,False
2013,33,12,7.297052878205134,56.77952144172929,312.7304773243187,442.0334983108664,False
2014,34,11,6.083707728531839,69.27503105263168,316.9557821695896,442.90654008728575,False
2015,35,10,2.88328106791172,30.280375217105302,318.5744587705101,445.6125398123109,False
