forecast_year,training_start_year,training_end_year,training_year_count,selected_break_year,pre_segment_year_count,post_segment_year_count,pre_slope_mm_per_year,post_slope_mm_per_year,single_slope_mm_per_year,observed_rainfall_mm,single_trend_prediction_mm,segmented_prediction_mm,single_error_mm,segmented_error_mm
2006,1981,2005,25,1992,12,13,-20.888033000939807,68.66320104093568,-2.222778809597532,2540.1901606842107,2844.082311402476,3273.6460766725068,303.8921507182654,733.455915988296
2007,1981,2006,26,1992,12,14,-20.888033000939807,58.25086750526316,-6.128520779904317,3234.261319789474,2787.4706183492835,3272.250356594741,-446.79070144019033,37.989036805267006
2008,1981,2007,27,1992,12,15,-20.888033000939807,55.77155590430621,-2.263852829721386,3318.805418368421,2838.9795694613003,3290.0328756937815,-479.82584890712087,-28.77254267463968
2009,1981,2008,28,1992,12,16,-20.888033000939807,56.97041184908292,1.607494628744952,2987.297840473684,2922.6738000087043,3368.5826945488516,-64.62404046497977,381.28485407516746
2010,1981,2009,29,1992,12,17,-20.888033000939807,50.60737322331873,1.7472029249999992,3606.256427631579,2946.5220956644735,3386.0834394594276,-659.7343319671054,-220.17298817215124
2011,1981,2010,30,1992,12,18,-20.888033000939807,55.77155590430621,6.083707728531839,2814.9743510526314,3008.559315688366,3471.733814744017,193.58496463573465,656.7594636913855
2012,1981,2011,31,1992,12,19,-20.888033000939807,48.509738305263184,3.241847210526365,3289.8923574210526,2975.425454368422,3460.261501800007,-314.46690305263064,170.3691443789544
2013,1981,2012,32,1992,12,20,-20.888033000939807,45.869199658054214,5.325962813157899,3303.590664526316,3012.391537076317,3434.8568797130865,-291.19912744999874,131.26621518677075
2014,1981,2013,33,1992,12,21,-20.888033000939807,42.364966050046974,7.297052878205134,2903.2324504736844,3058.9580564753705,3383.343593742946,155.72560600168617,480.11114326926145
2015,1981,2014,34,1998,18,16,-43.69866423684211,1.6434291578947522,6.083707728531839,2498.0857569473683,3032.8941466024935,3228.8184969473687,534.8083896551252,730.7327400000004
2016,1981,2015,35,1998,18,17,-43.69866423684211,-7.300806692982482,2.88328106791172,3372.367315368421,2980.8629542156195,3094.755482228071,-391.50436115280127,-277.61183314035
2017,1981,2016,36,1998,18,18,-43.69866423684211,-0.22954301578947706,5.281293231203011,3352.699260105263,3033.025344599624,3204.9472587447367,-319.6739155056389,-147.75200136052626
2018,1981,2017,37,1998,18,19,-43.69866423684211,3.765982415204639,6.755978416301155,3116.719071210526,3075.7015553643996,3275.6871263567255,-41.01751584612657,158.96805514619928
2019,1981,2018,38,1998,18,20,-43.69866423684211,3.292822370300769,6.948765151515145,2463.257365842105,3098.4630256323762,3262.4287885244366,635.205659790271,799.1714226823315
2020,1981,2019,39,1998,18,21,-43.69866423684211,-4.973836821637443,4.784556334586471,3101.177974789474,3039.927960154135,3112.0916528830403,-61.250014635339085,10.913678093566432
2021,1981,2020,40,1998,18,22,-43.69866423684211,-5.519520726315773,4.967655899122773,3324.544164368421,3067.7855977565778,3097.9094815473672,-256.75856661184343,-226.63468282105396
2022,1981,2021,41,1998,18,23,-43.69866423684211,-0.22954301578947706,5.788323917629102,3931.9029134736843,3107.4791066157395,3201.0806443631577,-824.4238068579448,-730.8222691105266
2023,1981,2022,42,1998,18,24,-43.69866423684211,5.246869432330824,7.812902684210513,3053.960461105263,3147.4294557894736,3308.8188780601486,93.46899468421043,254.85841695488534
2024,1981,2023,43,1998,18,25,-43.69866423684211,3.292822370300769,7.2345569200000135,3614.610317105263,3130.116202469475,3267.5465006672935,-484.49411463578826,-347.06381643796976
2025,1981,2024,44,1998,18,26,-43.69866423684211,6.695237124999949,8.621324312803699,3488.0077737894735,3178.0110612868666,3345.1063655,-309.9967125026069,-142.9014082894737
