geography_id,raw_raster_path,raw_raster_sha256,raw_request_sidecar_path,raw_request_sidecar_sha256,raster_bytes,raster_width,raster_height,native_grid_crs_epsg,native_pixel_size_m,aggregation_estimand,boundary_rule,validity_rule,capacity_valid_fraction,semantic_evidence_path,semantic_evidence_sha256
idn.13.1301,data/processed/bnpb/m26_capacity_component/idn-13-1301.tif,05a6dab1613bdb07cc48e50fef794873384a25cefc1e99aa81cc2755af7aae7c,data/processed/bnpb/m26_capacity_component/idn-13-1301.request.json,f36a3bac2a120cdd1c88a48744e61cd6d71a58942a230acb5426706f19a7a29c,342392,2438,2953,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",0.999809371,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1302,data/processed/bnpb/m26_capacity_component/idn-13-1302.tif,e8214a8024d63252c08617faa4305ec1e35338bfdd4a37c3a9a658cfbef062aa,data/processed/bnpb/m26_capacity_component/idn-13-1302.request.json,e607747bfad3d139c6b09d80849baf2e12aac70dbc53944e991a37ef54cfb52f,133274,1111,1682,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",0.999963630,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1303,data/processed/bnpb/m26_capacity_component/idn-13-1303.tif,8c21c2764babd453264e836528ab5aa6f70943e8bf06e7bd68cf95d7202d9d09,data/processed/bnpb/m26_capacity_component/idn-13-1303.request.json,b07deba5caf70935d682fb341f8b89ad5ee1063e2e122dc15b8fe435eaea54d7,68675,932,882,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1304,data/processed/bnpb/m26_capacity_component/idn-13-1304.tif,5e67885a31506fd8ab2a7603adf05dbc93505fc739a982dc011a766ec64e88ef,data/processed/bnpb/m26_capacity_component/idn-13-1304.request.json,7289a08cedc4c8b74b2827212d7c866e2807cc421b995b49533b565ab2cd401e,50014,846,751,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1305,data/processed/bnpb/m26_capacity_component/idn-13-1305.tif,845a93a5aeb88abcf0af980a6a21525eec1c212936c1517f7509c22cf4abe338,data/processed/bnpb/m26_capacity_component/idn-13-1305.request.json,d92a8865f304b90d22c70421ffd0126ed14f4e061dd7110d260642fc2343a84e,28717,598,423,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1306,data/processed/bnpb/m26_capacity_component/idn-13-1306.tif,5f9cdc655765650196700c60f0d2764483673dbebccaabd9c329e9b5edaf00ce,data/processed/bnpb/m26_capacity_component/idn-13-1306.request.json,ca30c5c809118196d5ee91be83806a6440ce5f546a5643c432d8281d9d278b68,35345,554,614,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",0.999955285,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1307,data/processed/bnpb/m26_capacity_component/idn-13-1307.tif,d918ca3bafa15bb73a0fe9716bf4527373e0c64cfa98cc8021288936baa29dda,data/processed/bnpb/m26_capacity_component/idn-13-1307.request.json,6a49e0f72a72a0effff39ffac8a70001212e7b6703c7d2737136cbebc05e50f5,38246,861,497,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1308,data/processed/bnpb/m26_capacity_component/idn-13-1308.tif,90826738ead6d47034a3d60ac79bf1a7ff530f7d1ce9c1d0a155aee857e93c5a,data/processed/bnpb/m26_capacity_component/idn-13-1308.request.json,d64cd201599a56a6381f5358e3838715cd2077acd65b10d416c62a9e3fd758eb,55520,668,881,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1309,data/processed/bnpb/m26_capacity_component/idn-13-1309.tif,c71b5af61ad9fc9b1301386f62d14ae9e42f15fc5b757fd8e3d2994f3c04e447,data/processed/bnpb/m26_capacity_component/idn-13-1309.request.json,6971b8d5c79b4df861176ea8c948f87a4cdc647334d8f7198dbc92bafef9541b,67497,680,1127,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
idn.13.1310,data/processed/bnpb/m26_capacity_component/idn-13-1310.tif,990dae98590b855f76400b5f210b2a8aa107345f390230f56888b5aeacfccb25,data/processed/bnpb/m26_capacity_component/idn-13-1310.request.json,5b0d413e1d756f2fccf20a8da93ab3e343f1deaa79e1b664d4e0f98f427da6af,60571,874,798,3395,100,mean_of_valid_native_grid_cells_with_centers_inside_fixed_boundary,pixel_center_inside_polygon,"a candidate pixel is valid only when it is inside the fixed-boundary polygon, finite, not equal to an explicit dataset NoData tag when present, and within the frozen source metadata minValues[0]..maxValues[0] interval",1.000000000,data/processed/bnpb/m26_capacity_component/capacity-index-scale.html,9e4d79bc8fc6035830a49912cc5e6c207af6c09b55cc89d792d498ee00725ab3
