geography_id,geography_name,source_permendagri_code,spatial_frame,population_reference_year,population_exposure_proxy_2020_persons,population_inside_pixel_count,population_valid_pixel_count,population_valid_fraction,population_partition_count,transport,claim_type,risk_synthesis_authorized
idn.13.1301,Kepulauan Mentawai,1309,BIG_June_2026_fixed_current_boundary,2020,88372.194198,598124,597542,0.999026958,115,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1302,Pesisir Selatan,1301,BIG_June_2026_fixed_current_boundary,2020,513334.531440,604885,604793,0.999847905,43,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1303,Solok,1302,BIG_June_2026_fixed_current_boundary,2020,389573.531608,359183,359183,1.000000000,29,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1304,Sijunjung,1303,BIG_June_2026_fixed_current_boundary,2020,239273.837731,315110,315110,1.000000000,23,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1305,Tanah Datar,1304,BIG_June_2026_fixed_current_boundary,2020,373624.040654,137719,137719,1.000000000,17,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1306,Padang Pariaman,1305,BIG_June_2026_fixed_current_boundary,2020,448673.153918,134206,134192,0.999895683,14,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1307,Agam,1306,BIG_June_2026_fixed_current_boundary,2020,527278.105753,222512,222497,0.999932588,19,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1308,Lima Puluh Kota,1307,BIG_June_2026_fixed_current_boundary,2020,385493.142110,327375,327375,1.000000000,25,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1309,Pasaman,1308,BIG_June_2026_fixed_current_boundary,2020,309452.694580,390270,390270,1.000000000,22,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1310,Solok Selatan,1311,BIG_June_2026_fixed_current_boundary,2020,182405.897245,328401,328401,1.000000000,27,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1311,Dharmasraya,1310,BIG_June_2026_fixed_current_boundary,2020,212328.607973,292173,292173,1.000000000,32,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1312,Pasaman Barat,1312,BIG_June_2026_fixed_current_boundary,2020,440046.175719,385149,385085,0.999833831,28,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1371,Kota Padang,1371,BIG_June_2026_fixed_current_boundary,2020,908707.468931,69460,69417,0.999380939,10,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1372,Kota Solok,1372,BIG_June_2026_fixed_current_boundary,2020,74567.000415,5879,5879,1.000000000,3,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1373,Kota Sawahlunto,1373,BIG_June_2026_fixed_current_boundary,2020,66184.559252,23191,23191,1.000000000,4,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1374,Kota Padang Panjang,1374,BIG_June_2026_fixed_current_boundary,2020,57315.449601,2354,2354,1.000000000,2,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1375,Kota Bukittinggi,1375,BIG_June_2026_fixed_current_boundary,2020,124040.846858,2421,2421,1.000000000,1,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1376,Kota Payakumbuh,1376,BIG_June_2026_fixed_current_boundary,2020,138612.848045,7446,7446,1.000000000,2,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
idn.13.1377,Kota Pariaman,1377,BIG_June_2026_fixed_current_boundary,2020,79900.212557,6469,6458,0.998299583,4,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,modeled_population_exposure_proxy,false
