provenance_id,source_id,component_class,geography_id,reference_year,aggregation,transport,partition_count,source_service_url,source_metadata_path,source_metadata_sha256,semantic_evidence_path,semantic_evidence_sha256,partition_manifest_path,partition_manifest_sha256,equivalence_manifest_path,equivalence_manifest_sha256,retrieval_index_path,retrieval_index_sha256
m26pop_6cdcad7be26bd8a539666e7d,inarisk_population_2020,exposure,idn.13.1301,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,115,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_506a14caeffae0964e01308a,inarisk_population_2020,exposure,idn.13.1302,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,43,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_e5c47fde7398753035e83908,inarisk_population_2020,exposure,idn.13.1303,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,29,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_a7458e558ca3fa42f7f4c6fa,inarisk_population_2020,exposure,idn.13.1304,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,23,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_a324a413c7354a45cac3fb9f,inarisk_population_2020,exposure,idn.13.1305,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,17,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_d11f0cd82d21c93aa2954989,inarisk_population_2020,exposure,idn.13.1306,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,14,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_a645e82d2722822bbb9c507b,inarisk_population_2020,exposure,idn.13.1307,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,19,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_79496447b2182da675736cf2,inarisk_population_2020,exposure,idn.13.1308,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,25,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_b172fad6989df67c4f413000,inarisk_population_2020,exposure,idn.13.1309,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,22,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
m26pop_fa96437c1fe977acf5f8f598,inarisk_population_2020,exposure,idn.13.1310,2020,sum_of_nonnegative_native_grid_cell_person_values_with_centers_inside_fixed_boundary,ImageServer_computeStatisticsHistograms_with_MapServer_NoData_confirmation,27,https://gis.bnpb.go.id/server/rest/services/inarisk/INARISKPOP_2020/ImageServer,data/processed/bnpb/m26_source_qualification/inarisk_population_2020.json,8192ad1f91509b40ba9de044f2dcce2a9c931a675ec479b133575f9a933aad1b,data/processed/bnpb/m26_population_component_stats/population-grid-cell-semantics.html,61405cdd37e526b7e0cef3df94ddaeaa81221f3bc729ed96fd7af82063993863,data/manifests/milestone26_population_stats_partitions.json,0224bb314fec4af53ca91ed60fbe79720e97be6dd0f27e67281722fe73265fdf,data/manifests/milestone26_population_stats_equivalence.json,23eb25fbb07b28dd60fa309473f1de2c30ffc209f08dacee93a103da52029ffe,data/processed/bnpb/m26_population_component_stats/retrieval-index.json,00ecc79e8120c40025f00418909d190b04602a364ae8792029dd9e17b5e420b7
