regime_id,geography_id,geography_name,target_year,feature_year,poverty_rate,unemployment_rate,real_grdp_growth,lag1_poverty_rate,lag1_unemployment_rate,lag1_real_grdp_growth,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_rice_yield
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2019,2018,14.43,2.92,4.73,14.44,2.31,4.89,6.95,75.0,2.6350000000000002
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2020,2019,14.35,3.98,-1.85,14.43,2.92,4.73,7.08,83.1,2.5170000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2021,2020,14.84,2.79,2.87,14.35,3.98,-1.85,7.09,81.65,2.471
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2022,2021,13.97,1.39,4.94,14.84,2.79,2.87,7.2,82.57,2.497
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2023,2022,13.72,1.33,4.04,13.97,1.39,4.94,7.48,78.25,2.298
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2024,2023,13.89,1.44,3.97,13.72,1.33,4.04,7.76,80.07,2.4730000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1301,Kepulauan Mentawai,2025,2024,13.22,1.53,2.93,13.89,1.44,3.97,8.03,83.47,2.6510000000000002
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2019,2018,7.88,6.02,4.78,7.59,6.03,5.32,8.14,66.63,5.027000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2020,2019,7.61,7.0,-1.11,7.88,6.02,4.78,8.25,68.82,5.106000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2021,2020,7.92,5.97,3.35,7.61,7.0,-1.11,8.26,65.0,4.805
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2022,2021,7.11,4.61,4.01,7.92,5.97,3.35,8.27,66.59,4.801
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2023,2022,7.34,4.75,4.19,7.11,4.61,4.01,8.43,66.95,5.617000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2024,2023,7.49,5.06,3.84,7.34,4.75,4.19,8.58,65.0,5.188000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1302,Pesisir Selatan,2025,2024,6.52,5.1,3.62,7.49,5.06,3.84,8.81,66.0,4.878
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2019,2018,7.98,4.72,5.04,8.88,6.12,5.19,7.84,68.35,5.061
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2020,2019,7.81,4.65,-1.14,7.98,4.72,5.04,7.85,70.83,4.938000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2021,2020,8.01,4.67,3.28,7.81,4.65,-1.14,7.86,74.64,4.644
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2022,2021,7.12,5.89,4.28,8.01,4.67,3.28,7.87,71.21,5.263000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2023,2022,7.13,4.99,4.36,7.12,5.89,4.28,7.89,74.44,5.45
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2024,2023,7.31,4.91,3.91,7.13,4.99,4.36,7.9,76.74,5.264
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1303,Solok,2025,2024,6.52,4.7,3.01,7.31,4.91,3.91,7.91,76.8,4.728000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2019,2018,7.04,3.64,4.81,7.11,3.22,5.07,7.77,68.43,3.9890000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2020,2019,6.78,5.3,-1.1,7.04,3.64,4.81,8.1,70.17,3.4170000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2021,2020,6.8,3.57,3.14,6.78,5.3,-1.1,8.11,70.7,3.91
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2022,2021,6.0,4.87,3.93,6.8,3.57,3.14,8.12,70.06,3.6670000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2023,2022,5.88,4.71,4.26,6.0,4.87,3.93,8.3,68.17,3.8450000000000006
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2024,2023,5.78,4.73,3.89,5.88,4.71,4.26,8.57,68.51,3.6490000000000005
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1304,Sijunjung,2025,2024,5.15,4.59,3.26,5.78,4.73,3.89,8.62,70.18,3.8560000000000003
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2019,2018,4.66,3.2,4.99,5.32,4.01,5.04,8.44,69.03,5.267
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2020,2019,4.4,4.79,-1.12,4.66,3.2,4.99,8.45,69.25,5.612
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2021,2020,4.54,4.63,3.27,4.4,4.79,-1.12,8.61,69.42,5.335000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2022,2021,4.26,5.91,4.16,4.54,4.63,3.27,8.62,66.88,5.639
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2023,2022,4.16,5.35,4.44,4.26,5.91,4.16,8.9,70.9,5.476
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2024,2023,4.28,5.3,3.85,4.16,5.35,4.44,9.02,69.43,5.461
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1305,Tanah Datar,2025,2024,3.59,5.26,2.66,4.28,5.3,3.85,9.29,71.23,4.787
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2019,2018,7.1,6.08,2.4,8.04,7.03,5.44,7.5,65.56,4.6049999999999995
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2020,2019,6.95,8.13,-10.46,7.1,6.08,2.4,7.86,63.23,4.804
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2021,2020,7.22,8.41,2.15,6.95,8.13,-10.46,7.87,67.18,4.6979999999999995
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2022,2021,6.25,6.6,6.83,7.22,8.41,2.15,7.88,64.64,4.537
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2023,2022,6.34,6.69,5.46,6.25,6.6,6.83,8.16,70.44,4.958
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1306,Padang Pariaman,2024,2023,6.27,6.59,4.57,6.34,6.69,5.46,8.41,65.18,4.914000000000001
