regime_id,geography_id,geography_name,target_year,feature_year,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_agriculture_share_grdp,lag1_manufacturing_share_grdp,lag1_rice_yield,lag1_annual_rainfall,poverty_rate,unemployment_rate,real_grdp_growth
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2019,2018,6.95,75,47.604076021,2.68051558212,2.635,3567.246432,14.43,2.92,4.73
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2020,2019,7.08,83.1,46.4839281901,2.33201438797,2.517,2362.541341,14.35,3.98,-1.85
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2021,2020,7.09,81.65,48.6502573418,2.42455143813,2.471,3626.960488,14.84,2.79,2.87
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2022,2021,7.2,82.57,48.8645358781,2.57248004994,2.497,3704.889656,13.97,1.39,4.94
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2023,2022,7.48,78.25,48.0176761546,2.48115099295,2.298,3782.009938,13.72,1.33,4.04
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1301,Kepulauan Mentawai,2024,2023,7.76,80.07,48.4488181812,2.45236049116,2.473,2625.301919,13.89,1.44,3.97
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2019,2018,8.14,66.63,39.2803221176,7.73048848232,5.027,2806.760469,7.88,6.02,4.78
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2020,2019,8.25,68.82,38.270649861,6.3999480361,5.106,2378.287854,7.61,7,-1.11
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2021,2020,8.26,65,37.7610412948,6.42592649065,4.805,3086.659964,7.92,5.97,3.35
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2022,2021,8.27,66.59,37.2216725589,6.80069798046,4.801,3436.715819,7.11,4.61,4.01
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2023,2022,8.43,66.95,36.9507950434,6.80280291325,5.617,3619.80713,7.34,4.75,4.19
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1302,Pesisir Selatan,2024,2023,8.58,65,36.4904857779,6.63353233402,5.188,2705.082515,7.49,5.06,3.84
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2019,2018,7.84,68.35,36.2891436562,5.24671007208,5.061,2745.575618,7.98,4.72,5.04
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2020,2019,7.85,70.83,34.8158243583,4.72032550652,4.938,2253.071476,7.81,4.65,-1.14
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2021,2020,7.86,74.64,35.0134962542,4.75508109296,4.644,2824.854401,8.01,4.67,3.28
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2022,2021,7.87,71.21,34.0676943144,4.78222482336,5.263,3100.123998,7.12,5.89,4.28
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2023,2022,7.89,74.44,33.3124300697,4.75150098407,5.45,3648.037132,7.13,4.99,4.36
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1303,Solok,2024,2023,7.9,76.74,33.1575577012,4.71831151626,5.264,2818.463029,7.31,4.91,3.91
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2019,2018,7.77,68.43,29.4706551138,2.98567704565,3.989,2859.438849,7.04,3.64,4.81
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2020,2019,8.1,70.17,28.0285248981,2.52142880845,3.417,2470.751141,6.78,5.3,-1.1
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2021,2020,8.11,70.7,27.8175388232,2.59972043109,3.91,2803.058049,6.8,3.57,3.14
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2022,2021,8.12,70.06,27.4526587664,2.72997217989,3.667,3087.590832,6,4.87,3.93
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2023,2022,8.3,68.17,26.7965605418,2.76725473336,3.845,3743.084717,5.88,4.71,4.26
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1304,Sijunjung,2024,2023,8.57,68.51,26.7581712034,2.73905685432,3.649,2940.515772,5.78,4.73,3.89
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2019,2018,8.44,69.03,30.6592332547,11.0347251232,5.267,2606.593248,4.66,3.2,4.99
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2020,2019,8.45,69.25,29.76750085,10.5012656361,5.612,2083.254792,4.4,4.79,-1.12
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2021,2020,8.61,69.42,29.8197350606,10.4845983999,5.335,2639.181013,4.54,4.63,3.27
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2022,2021,8.62,66.88,28.5720121537,10.7228009327,5.639,2757.306452,4.26,5.91,4.16
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2023,2022,8.9,70.9,27.8040912669,10.6791191946,5.476,3501.612179,4.16,5.35,4.44
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1305,Tanah Datar,2024,2023,9.02,69.43,27.6125975821,10.4635476677,5.461,2729.635347,4.28,5.3,3.85
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2019,2018,7.5,65.56,18.6502036815,9.63032303668,4.605,4146.259922,7.1,6.08,2.4
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2020,2019,7.86,63.23,19.2072190287,9.3506591371,4.804,3142.963671,6.95,8.13,-10.46
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2021,2020,7.87,67.18,22.6795071525,11.1938722244,4.698,4146.372331,7.22,8.41,2.15
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2022,2021,7.88,64.64,22.6502752152,11.9481403525,4.537,4501.844729,6.25,6.6,6.83
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2023,2022,8.16,70.44,21.3683024124,10.9155525539,4.958,5260.041094,6.34,6.69,5.46
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1306,Padang Pariaman,2024,2023,8.41,65.18,20.5516786228,10.480929446,4.914,3949.497823,6.27,6.59,4.57
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2019,2018,8.69,68.56,31.5160867837,10.7325703909,5.167,3019.356902,6.75,4.78,4.78
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2020,2019,8.85,69.59,30.0990958753,9.82429325865,4.932,2324.389282,6.75,4.61,-1.37
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2021,2020,8.96,70.29,30.0031568855,9.72625905972,5.236,2943.171289,6.85,5.06,3.7
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2022,2021,8.97,66.49,29.5297826094,9.89562553406,5.14,3054.359145,6.22,4.93,4.21
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2023,2022,8.98,73.05,28.7047074801,9.98890758778,4.954,3760.57359,6.6,4.96,4.52
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1307,Agam,2024,2023,9.22,69.16,28.2013574884,10.2347427827,4.873,2907.477107,6.83,4.73,4.12
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2019,2018,7.97,73.1,34.7331581818,6.9035952574,4.307,2748.913529,6.97,2.3,5.06
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2020,2019,7.98,73.28,33.4850227858,6.2288955878,4.149,2177.441026,6.86,3.03,-1.16
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2021,2020,7.99,72.71,33.2161569837,6.35654433534,4.36,2625.799332,7.29,2.25,3.33
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2022,2021,8.07,71.33,32.189296735,6.49243274516,4.399,2740.063992,6.59,3.72,4.02
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2023,2022,8.08,74.54,31.4438979282,6.47332439048,4.646,3506.769514,6.8,3.95,4.55
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1308,Lima Puluh Kota,2024,2023,8.12,72.63,31.0801976726,6.51104107248,4.813,2875.883297,6.92,3.68,4.03
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2019,2018,7.66,67.2,49.4719795015,4.24586817069,4.263,3477.240348,7.21,5.28,4.8
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2020,2019,7.86,70.91,47.9219347696,3.92314292856,4.362,2693.696458,7.16,5.04,-0.87
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2021,2020,8.09,72.97,47.9576882233,3.84803701017,4.5,3188.559896,7.48,4.92,3.35
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2022,2021,8.1,69.35,47.0280922451,3.97562426235,4.593,3303.601986,6.85,5.38,4.08
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2023,2022,8.11,74.97,46.3772853861,3.9294850946,4.884,3965.730773,6.8,5.09,4.41
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1309,Pasaman,2024,2023,8.13,73.05,46.049783054,3.83899633206,4.659,3431.683071,6.74,5.25,3.95
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2019,2018,8.15,74.89,34.3172131198,5.20913776823,4.249,2656.214017,7.33,4.91,4.86
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2020,2019,8.16,72.56,29.2310408596,4.21292485737,4.233,2272.264684,7.15,5.62,-1.24
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2021,2020,8.28,72.67,28.8040743856,4.2979319544,3.554,2839.225367,7.52,4.84,3.32
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2022,2021,8.32,72.11,28.4172172323,4.40301214512,4.007,3128.814974,6.51,3.71,4.01
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2023,2022,8.41,77.99,27.6852162949,4.26492833263,4.13,3535.487002,6.45,2.57,4.57
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1310,Solok Selatan,2024,2023,8.69,76.52,27.1950990315,4.17292920469,4.109,2800.576874,6.56,2.3,4.09
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2019,2018,8.25,68.56,30.2299340393,5.7307161259,4.32,3046.330199,6.29,5.06,4.94
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2020,2019,8.46,70.49,28.0232882254,4.92063327836,4.629,2641.196193,6.23,5.31,-1.39
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2021,2020,8.47,72.72,27.1980586856,4.99902576074,4.459,3039.796046,6.67,5,3.4
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2022,2021,8.55,73.04,27.4744490146,5.36145002866,4.886,3360.740287,5.56,6.23,4.27
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2023,2022,8.56,71.65,26.6058886074,5.24795618101,4.763,3815.293034,5.56,6.22,4.35
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1311,Dharmasraya,2024,2023,8.71,73.93,25.9773779425,5.14501582204,4.577,3199.790741,5.32,6.02,3.86
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2019,2018,7.86,66.96,42.8037971214,14.8096558871,4.951,4066.942671,7.14,4.74,4.45
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2020,2019,8.06,65.76,41.0057685332,13.0743610773,4.57,3237.458841,7.04,4.69,-1.34
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2021,2020,8.19,67.47,39.8716851444,13.2895862346,4.698,3748.958598,7.51,5.02,3.71
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2022,2021,8.27,66.93,39.7493428057,13.765815103,4.74,3718.636822,6.93,6.33,4.13
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2023,2022,8.55,63.88,39.1063901819,13.6248557355,5.019,4331.760164,6.92,6.01,4.33
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2024,2023,8.81,66.42,38.8837089992,13.2257433087,4.882,3782.060938,7,6.34,4.08
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2019,2018,11.33,62.78,5.22053330537,13.1473145034,4.671,3788.53137,4.48,8.74,5.64
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2020,2019,11.34,61.98,5.29611729385,11.7481840231,5.013,2839.940826,4.4,13.64,-1.86
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2021,2020,11.58,64.31,5.41138188673,11.8814425751,4.548,3833.450096,4.94,13.37,3.65
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2022,2021,11.59,63.78,5.2867285583,11.7735714173,5.043,4272.073887,4.26,11.69,4.31
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2023,2022,11.6,62.81,5.12159905345,11.2553174135,5.108,4965.282037,4.17,10.86,4.54
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2024,2023,11.62,66.99,5.01671563029,10.877566156,5.269,3578.425027,4.06,9.88,4.65
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2019,2018,11.01,64.76,5.61110556249,4.75148575888,5.209,2975.660545,3.24,7.06,5.49
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2020,2019,11.02,62.51,5.44850837362,4.09950387525,5.757,2349.436808,2.77,8.35,-1.42
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2021,2020,11.03,66.77,5.51195603571,4.13757107134,6.467,3004.073527,3.12,5.15,3.55
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2022,2021,11.04,66.51,5.20145739525,4.30557022353,5.872,3274.03972,3.02,3.9,4.6
