target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
poverty_rate,idn.13.1301,primary,100,intercept,intercept_base_2019,5.81467656515
poverty_rate,idn.13.1301,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.3849074322
poverty_rate,idn.13.1301,primary,100,standardized_continuous_feature,labor_force_participation,0.0158824513778
poverty_rate,idn.13.1301,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.101708909803
poverty_rate,idn.13.1301,primary,100,standardized_continuous_feature,mean_years_schooling,-0.340328651644
poverty_rate,idn.13.1301,primary,100,standardized_continuous_feature,rice_yield,-0.163472386228
poverty_rate,idn.13.1301,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1301,primary,100,target_year_effect,2020,-0.123750641608
poverty_rate,idn.13.1301,primary,100,target_year_effect,2021,0.228955193121
poverty_rate,idn.13.1301,primary,100,target_year_effect,2022,-0.329968157548
poverty_rate,idn.13.1301,primary,100,target_year_effect,2023,-0.228865128513
poverty_rate,idn.13.1301,primary,100,target_year_effect,2024,-0.215541767438
poverty_rate,idn.13.1302,primary,100,intercept,intercept_base_2019,6.20136705541
poverty_rate,idn.13.1302,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.466227475324
poverty_rate,idn.13.1302,primary,100,standardized_continuous_feature,labor_force_participation,0.3798010085
poverty_rate,idn.13.1302,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.204545734617
poverty_rate,idn.13.1302,primary,100,standardized_continuous_feature,mean_years_schooling,-0.327195715812
poverty_rate,idn.13.1302,primary,100,standardized_continuous_feature,rice_yield,-0.532525167154
poverty_rate,idn.13.1302,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1302,primary,100,target_year_effect,2020,-0.125353849352
poverty_rate,idn.13.1302,primary,100,target_year_effect,2021,0.121734883379
poverty_rate,idn.13.1302,primary,100,target_year_effect,2022,-0.238574504843
poverty_rate,idn.13.1302,primary,100,target_year_effect,2023,-0.230132709157
poverty_rate,idn.13.1302,primary,100,target_year_effect,2024,-0.303098374728
poverty_rate,idn.13.1303,primary,100,intercept,intercept_base_2019,6.16398818822
poverty_rate,idn.13.1303,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.491997132771
poverty_rate,idn.13.1303,primary,100,standardized_continuous_feature,labor_force_participation,0.336892383858
poverty_rate,idn.13.1303,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.205367104721
poverty_rate,idn.13.1303,primary,100,standardized_continuous_feature,mean_years_schooling,-0.338093972187
poverty_rate,idn.13.1303,primary,100,standardized_continuous_feature,rice_yield,-0.527123665801
poverty_rate,idn.13.1303,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1303,primary,100,target_year_effect,2020,-0.120803744491
poverty_rate,idn.13.1303,primary,100,target_year_effect,2021,0.179394171443
poverty_rate,idn.13.1303,primary,100,target_year_effect,2022,-0.231631637694
poverty_rate,idn.13.1303,primary,100,target_year_effect,2023,-0.162415041057
poverty_rate,idn.13.1303,primary,100,target_year_effect,2024,-0.216250655315
poverty_rate,idn.13.1304,primary,100,intercept,intercept_base_2019,6.20845579135
poverty_rate,idn.13.1304,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.482979872532
poverty_rate,idn.13.1304,primary,100,standardized_continuous_feature,labor_force_participation,0.297495672314
poverty_rate,idn.13.1304,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.263305523843
poverty_rate,idn.13.1304,primary,100,standardized_continuous_feature,mean_years_schooling,-0.368045544836
poverty_rate,idn.13.1304,primary,100,standardized_continuous_feature,rice_yield,-0.56945957376
poverty_rate,idn.13.1304,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1304,primary,100,target_year_effect,2020,-0.109253306376
poverty_rate,idn.13.1304,primary,100,target_year_effect,2021,0.168469806783
poverty_rate,idn.13.1304,primary,100,target_year_effect,2022,-0.201102848192
poverty_rate,idn.13.1304,primary,100,target_year_effect,2023,-0.114318434153
poverty_rate,idn.13.1304,primary,100,target_year_effect,2024,-0.16897441061
poverty_rate,idn.13.1305,primary,100,intercept,intercept_base_2019,6.37223797937
poverty_rate,idn.13.1305,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.521426376319
poverty_rate,idn.13.1305,primary,100,standardized_continuous_feature,labor_force_participation,0.347135763113
poverty_rate,idn.13.1305,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.165833178482
poverty_rate,idn.13.1305,primary,100,standardized_continuous_feature,mean_years_schooling,-0.375613290029
poverty_rate,idn.13.1305,primary,100,standardized_continuous_feature,rice_yield,-0.480281254625
poverty_rate,idn.13.1305,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1305,primary,100,target_year_effect,2020,-0.131793937516
poverty_rate,idn.13.1305,primary,100,target_year_effect,2021,0.154911084132
poverty_rate,idn.13.1305,primary,100,target_year_effect,2022,-0.286592927465
poverty_rate,idn.13.1305,primary,100,target_year_effect,2023,-0.207644079196
poverty_rate,idn.13.1305,primary,100,target_year_effect,2024,-0.27119690505
poverty_rate,idn.13.1306,primary,100,intercept,intercept_base_2019,6.2568044126
poverty_rate,idn.13.1306,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.516056812227
poverty_rate,idn.13.1306,primary,100,standardized_continuous_feature,labor_force_participation,0.36690262958
