target_id,geography_id,target_year,k_neighbors,favorable_neighbor_count,favorable_neighbor_ids,favorable_neighbor_outcomes,favorable_neighbor_distances,favorable_reference,distance_to_favorable_reference,difference_vs_locked_k6_reference,sensitivity_can_replace_locked_k6
poverty_rate,idn.13.1301,2019,5,2,idn.13.1311|idn.13.1308,6.29|6.97,4.68566959644|4.15312336896,6.63,7.8,0,false
poverty_rate,idn.13.1301,2019,7,2,idn.13.1376|idn.13.1311,5.68|6.29,6.12172635424|4.68566959644,5.985,8.445,-0.645,false
poverty_rate,idn.13.1301,2020,5,2,idn.13.1311|idn.13.1304,6.23|6.78,5.30525344794|4.5015911259,6.505,7.845,0,false
poverty_rate,idn.13.1301,2020,7,2,idn.13.1311|idn.13.1304,6.23|6.78,5.30525344794|4.5015911259,6.505,7.845,0,false
poverty_rate,idn.13.1301,2021,5,2,idn.13.1304|idn.13.1308,6.8|7.29,4.46854278748|4.36507132098,7.045,7.795,0.31,false
poverty_rate,idn.13.1301,2021,7,2,idn.13.1311|idn.13.1304,6.67|6.8,4.54196168379|4.46854278748,6.735,8.105,0,false
poverty_rate,idn.13.1301,2022,5,2,idn.13.1311|idn.13.1304,5.56|6,4.95134272945|4.8483335183,5.78,8.19,0,false
poverty_rate,idn.13.1301,2022,7,2,idn.13.1311|idn.13.1376,5.56|5.66,4.95134272945|6.44186855695,5.61,8.36,-0.17,false
poverty_rate,idn.13.1301,2023,5,2,idn.13.1311|idn.13.1304,5.56|5.88,3.95697351074|3.50489141731,5.72,8,0,false
poverty_rate,idn.13.1301,2023,7,2,idn.13.1311|idn.13.1304,5.56|5.88,3.95697351074|3.50489141731,5.72,8,0,false
poverty_rate,idn.13.1301,2024,5,2,idn.13.1311|idn.13.1304,5.32|5.78,3.90150223466|4.09578194307,5.55,8.34,0,false
poverty_rate,idn.13.1301,2024,7,2,idn.13.1377|idn.13.1311,4.26|5.32,5.42460360314|3.90150223466,4.79,9.1,-0.76,false
poverty_rate,idn.13.1302,2019,5,2,idn.13.1305|idn.13.1311,4.66|6.29,1.37860562432|1.4725042048,5.475,2.405,0,false
poverty_rate,idn.13.1302,2019,7,2,idn.13.1305|idn.13.1377,4.66|4.76,1.37860562432|2.00407850519,4.71,3.17,-0.765,false
poverty_rate,idn.13.1302,2020,5,2,idn.13.1311|idn.13.1307,6.23|6.75,1.06808124675|1.29593950961,6.49,1.12,1.175,false
poverty_rate,idn.13.1302,2020,7,2,idn.13.1305|idn.13.1311,4.4|6.23,1.52121420875|1.06808124675,5.315,2.295,0,false
poverty_rate,idn.13.1302,2021,5,2,idn.13.1377|idn.13.1305,4.38|4.54,2.07529499272|1.8546435286,4.46,3.46,0,false
poverty_rate,idn.13.1302,2021,7,2,idn.13.1377|idn.13.1305,4.38|4.54,2.07529499272|1.8546435286,4.46,3.46,0,false
poverty_rate,idn.13.1302,2022,5,2,idn.13.1305|idn.13.1307,4.26|6.22,1.57668346691|1.20320222402,5.24,1.87,0.33,false
poverty_rate,idn.13.1302,2022,7,2,idn.13.1305|idn.13.1311,4.26|5.56,1.57668346691|1.67769870338,4.91,2.2,0,false
poverty_rate,idn.13.1302,2023,5,2,idn.13.1305|idn.13.1311,4.16|5.56,1.63186760444|1.5714802216,4.86,2.48,0,false
poverty_rate,idn.13.1302,2023,7,2,idn.13.1305|idn.13.1377,4.16|4.2,1.63186760444|2.11998059474,4.18,3.16,-0.68,false
poverty_rate,idn.13.1302,2024,5,2,idn.13.1305|idn.13.1306,4.28|6.27,1.80786403304|1.6618098395,5.275,2.215,0.245,false
poverty_rate,idn.13.1302,2024,7,2,idn.13.1305|idn.13.1304,4.28|5.78,1.80786403304|2.29169763003,5.03,2.46,0,false
poverty_rate,idn.13.1303,2019,5,2,idn.13.1305|idn.13.1311,4.66|6.29,1.79071669948|1.23183877469,5.475,2.505,0,false
poverty_rate,idn.13.1303,2019,7,2,idn.13.1305|idn.13.1311,4.66|6.29,1.79071669948|1.23183877469,5.475,2.505,0,false
poverty_rate,idn.13.1303,2020,5,2,idn.13.1311|idn.13.1308,6.23|6.86,0.722011420388|1.14527918398,6.545,1.265,0.055,false
poverty_rate,idn.13.1303,2020,7,2,idn.13.1311|idn.13.1307,6.23|6.75,0.722011420388|1.79858061726,6.49,1.32,0,false
poverty_rate,idn.13.1303,2021,5,2,idn.13.1311|idn.13.1304,6.67|6.8,0.85677269069|1.53351415089,6.735,1.275,0,false
poverty_rate,idn.13.1303,2021,7,2,idn.13.1305|idn.13.1311,4.54|6.67,2.39447001487|0.85677269069,5.605,2.405,-1.13,false
poverty_rate,idn.13.1303,2022,5,2,idn.13.1311|idn.13.1310,5.56|6.51,0.881508938313|1.41903240185,6.035,1.085,0.255,false
poverty_rate,idn.13.1303,2022,7,2,idn.13.1311|idn.13.1304,5.56|6,0.881508938313|1.85486447592,5.78,1.34,0,false
poverty_rate,idn.13.1303,2023,5,2,idn.13.1311|idn.13.1310,5.56|6.45,1.11726738718|1.56783971659,6.005,1.125,0,false
poverty_rate,idn.13.1303,2023,7,2,idn.13.1305|idn.13.1311,4.16|5.56,2.13594431865|1.11726738718,4.86,2.27,-1.145,false
poverty_rate,idn.13.1303,2024,5,2,idn.13.1305|idn.13.1311,4.28|5.32,2.77411484324|1.28085776819,4.8,2.51,0,false
poverty_rate,idn.13.1303,2024,7,2,idn.13.1305|idn.13.1311,4.28|5.32,2.77411484324|1.28085776819,4.8,2.51,0,false
