analysis_year,geography_count,unweighted_mean_rainfall_mm,min_geography_rainfall_mm,max_geography_rainfall_mm,claim_type,spatial_frame
1981,19,3188.8579416842103,2207.982015,4503.65533,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1982,19,2268.7765069473685,1784.260177,3142.845739,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1983,19,2813.850737368421,1985.453517,3882.426501,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1984,19,3624.3239000526314,2523.296948,4831.861099,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1985,19,3023.277639105263,2163.754885,4276.995121,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1986,19,3417.3058790526316,2362.608325,4857.015992,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1987,19,2848.5388941052634,1898.231422,4763.77031,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1988,19,3283.8555124210525,2213.754386,4890.043103,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1989,19,2940.788474736842,2153.526481,3899.218814,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1990,19,2871.707393631579,1970.650405,4164.467059,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1991,19,2852.019394842105,2085.133099,4341.468879,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1992,19,2875.2012147368423,2045.683738,3974.295521,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1993,19,2376.864095,1745.329956,3126.949978,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1994,19,1746.2510098947369,1297.462995,2448.850728,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1995,19,2920.3140517894735,2292.52151,3729.341893,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1996,19,2620.7742048421055,1896.09368,3574.732254,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1997,19,1416.452687263158,1004.027669,2034.227997,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1998,19,2781.125165526316,1934.576864,3763.368165,model_estimate_spatial_mean,fixed_current_boundary_june_2026
1999,19,3693.8402466842103,2827.32458,5301.038264,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2000,19,3211.5683893157893,2298.742123,4333.896914,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2001,19,2783.794373894737,2035.882141,3397.296139,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2002,19,2991.712628263158,2002.465689,4537.778079,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2003,19,3305.8860946842105,2460.736545,4780.714807,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2004,19,2810.053396,1982.806587,4014.833267,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2005,19,3204.9828756315787,2256.328443,4607.964924,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2006,19,2540.1901606842107,1816.28513,3550.697276,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2007,19,3234.261319789474,2368.534818,4343.716459,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2008,19,3318.805418368421,2413.486217,4425.92096,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2009,19,2987.297840473684,2185.260988,4020.503941,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2010,19,3606.256427631579,2659.024126,4893.639209,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2011,19,2814.9743510526314,2073.774883,3724.157907,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2012,19,3289.8923574210526,2517.870684,4552.869251,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2013,19,3303.590664526316,2484.998244,4632.414056,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2014,19,2903.2324504736844,2173.565751,4285.227243,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2015,19,2498.0857569473683,1745.667984,3789.112792,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2016,19,3372.367315368421,2470.731357,4888.516324,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2017,19,3352.699260105263,2540.51531,4506.455565,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2018,19,3116.719071210526,2342.492157,4484.663075,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2019,19,2463.257365842105,1779.855058,3462.772703,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2020,19,3101.177974789474,2261.885902,4428.394673,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2021,19,3324.544164368421,2362.419395,4955.780563,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2022,19,3931.9029134736843,3069.58042,5719.996265,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2023,19,3053.960461105263,2354.011592,4147.905615,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2024,19,3614.610317105263,2609.651163,5366.19263,model_estimate_spatial_mean,fixed_current_boundary_june_2026
2025,19,3488.0077737894735,2493.838174,4572.056189,model_estimate_spatial_mean,fixed_current_boundary_june_2026
