dimension_tuple_sha256,multiplicity,page_count,page_paths,distinct_full_row_hash_count,full_row_hashes,exact_full_row_duplicate,crosses_page_boundary,differing_non_dimension_fields
004298d3e1d3644d9538cfb55bbb485eb696099a61490d2e75dc29209aef6ca4,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,b23e1320f896addc9f77d596e78710f5450a8e59d7856ebe51a9db4600564b92,true,false,
033e77d4253f75dc4e11e7f7e76d5051ce8ff0543af5ed10fa48d5cf45ff0c4f,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,139abd07c8d56488e58dfc5a7f6ce611d1bd35bb32fa5130b99e8bda0d40bed8|14b2217d23c018d4309171c8bd8e559e7b617dcc0831bdc8fc262c73d08816bb,false,false,investasi_rp_juta|investasi_us_ribu
04938a6c685c886148bf0cfa6b3b3f94f08d6dc0b9e7d340cd9f6602e176c6a2,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,a4b6ec004cd864f1fa960eac8ac68972515b06a34fea2033fa3bd3e5279c8bf7,true,false,
07d9fe88122a2fc9a477732258cfd8202be076104fc9b927dc225410b624ff81,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,48a80d358ec62f0d34e15d426102f4f047e04876b2c197cbc18a66b19dca345c,true,false,
091a0b5b461689b374e7f911d98d5ad14ea8b32cf06c822dc1d3d88364cabd63,5,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,4,31566be3c9bffef45a5044f20211a4d4a16cac27d2f5677a144f798b0f1ac987|bb8cdf66cb3c7df01e30154cdff5b899d524b7b9efc67dd4ae3cf42fb0c5caa1|de155c0916bddaba5d2ac946aae130fccf04784cc9c4efe15ba59cdff333b7ad|e2fe9716753d2b795896a2d9e7e2e200fbfec7f247471e640a79702951855c3b,false,false,investasi_rp_juta|investasi_us_ribu|tki
09770af77abc89eb334dd831949266776d605512676fda12eb0cc2376d4a4430,23,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,10,3f6227c85689d21e3b49406d97959a09530bef628e2efe394fb6a2b7b99ffcb4|403905ffbdcbf309fe869cdf6512cf461ef557d6231b7819d9cf86fcc899be55|4df1ab8821061ed919d0ab62b70458b78bd3f115ed855a40c6c977c947cacb5a|5f45e061018d1861c768983a6420ac4450aa3ed0335aef877d04404efe8c4519|69e7b9affe9dea7d6eec0bb650e79da115b25cde1614db35f68f59723d83dcb3|7162b41bbb8b96b28ce8be8b7e28099c780f8fb36afc478eb82a16b88b306e6b|84e31dbcf7b2676fa2ffd71db50739b097d127f8c1b243aeaa98c03dd4e5a01f|9b9e271d693f2594c87168cd97a362f1606c2c52174a947f00f076a95f8c40f6|d3fd571c7cc64eb2d88747559571a3eb90a9b73c243d27daa6b97b480d310e19|eef3a6c8ee5c912575b590e5fc56b3d1b5d069bac35e9e9bd41d01c410d76151,false,true,investasi_rp_juta|investasi_us_ribu|tki
0a35f0815709f88799cb4d68a680ae3847d960c31c9208df50fb523ec26a9535,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,f2f6094043b47c5b2f923431e1cf2b0fd6ccf286e7da2c1d21830b7bc6bfeabe,true,false,
0a57c6cf52f3d1ee4ea54c4a7a6d213df1f9ad13254d333820cac46468acb95d,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,9368a18142e4d87678c66809f53081e5d1c3d2da108697bbcaaa5ac2fce7a714,true,false,
0ee7303a7b43a07d1a4d6c189eb01f8356d06d664d232ab6fb165006f71fd300,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,4b1647001a14db0c18451a15f2845db4d9fe480587e5419370f8cce384071105|87e70028ccf4a0ce93e656491168be9829d6bccb8b1f7c8b6940f94c1c618b2a,false,false,investasi_rp_juta|investasi_us_ribu|tki
1754d8c5ea78dad8fd67ef0c34fef65f7169f0ddf41bf19fe9430b7535260d1b,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,4f0ebc1c56f288d33c8ac44b1fb855883a43cb3db067e01a0856ff03e6122f72,true,false,
