year,quarter,sumbar_source_row_count,reconstructed_source_row_count,mapped_geography_count,emitted_geography_status_observation_count,classification,qualified,fail_reasons
2010,I,1,1,1,1,qualified_numeric_quarter,True,
2010,II,9,9,8,9,qualified_numeric_quarter,True,
2010,III,11,11,8,10,qualified_numeric_quarter,True,
2010,IV,5,5,5,5,qualified_numeric_quarter,True,
2011,I,3,3,1,1,qualified_numeric_quarter,True,
2011,II,19,19,9,12,qualified_numeric_quarter,True,
2011,III,20,20,9,12,qualified_numeric_quarter,True,
2011,IV,23,23,11,13,qualified_numeric_quarter,True,
2012,I,7,7,7,7,qualified_numeric_quarter,True,
2012,II,19,19,10,11,qualified_numeric_quarter,True,
2012,III,9,9,7,8,qualified_numeric_quarter,True,
2012,IV,38,38,12,18,qualified_numeric_quarter,True,
2013,I,20,20,9,11,qualified_numeric_quarter,True,
2013,II,33,33,10,13,qualified_numeric_quarter,True,
2013,III,20,20,8,10,qualified_numeric_quarter,True,
2013,IV,35,35,10,13,qualified_numeric_quarter,True,
2014,I,27,27,11,12,qualified_numeric_quarter,True,
2014,II,39,39,12,16,qualified_numeric_quarter,True,
2014,III,30,30,10,12,qualified_numeric_quarter,True,
2014,IV,54,54,14,20,qualified_numeric_quarter,True,
2015,I,39,39,13,18,qualified_numeric_quarter,True,
2015,II,31,31,12,15,qualified_numeric_quarter,True,
2015,III,47,47,13,17,qualified_numeric_quarter,True,
2015,IV,61,61,13,20,qualified_numeric_quarter,True,
2016,I,32,32,14,18,qualified_numeric_quarter,True,
2016,II,93,93,15,24,qualified_numeric_quarter,True,
2016,III,57,57,14,23,qualified_numeric_quarter,True,
2016,IV,94,94,14,25,qualified_numeric_quarter,True,
2017,I,59,59,14,23,qualified_numeric_quarter,True,
2017,II,100,100,15,26,qualified_numeric_quarter,True,
2017,III,84,84,16,27,qualified_numeric_quarter,True,
2017,IV,105,105,14,25,qualified_numeric_quarter,True,
2018,I,87,87,14,25,qualified_numeric_quarter,True,
2018,II,119,119,17,31,qualified_numeric_quarter,True,
2018,III,92,92,15,27,qualified_numeric_quarter,True,
2018,IV,112,112,15,25,qualified_numeric_quarter,True,
2019,I,120,120,17,27,qualified_numeric_quarter,True,
2019,II,131,131,18,29,qualified_numeric_quarter,True,
2019,III,147,147,18,33,qualified_numeric_quarter,True,
2019,IV,155,155,18,31,qualified_numeric_quarter,True,
2020,I,97,97,17,28,qualified_numeric_quarter,True,
2020,II,136,136,18,31,qualified_numeric_quarter,True,
2020,III,199,199,19,33,qualified_numeric_quarter,True,
2020,IV,207,207,19,33,qualified_numeric_quarter,True,
2021,I,231,231,19,33,qualified_numeric_quarter,True,
2021,II,222,222,19,30,qualified_numeric_quarter,True,
2021,III,289,289,19,31,qualified_numeric_quarter,True,
2021,IV,313,313,19,31,qualified_numeric_quarter,True,
2022,I,297,297,19,32,qualified_numeric_quarter,True,
2022,II,195,195,18,29,qualified_numeric_quarter,True,
2022,III,265,265,19,29,qualified_numeric_quarter,True,
2022,IV,249,249,19,30,qualified_numeric_quarter,True,
2023,I,345,345,19,32,qualified_numeric_quarter,True,
2023,II,335,335,19,32,qualified_numeric_quarter,True,
2023,III,367,367,19,33,qualified_numeric_quarter,True,
2023,IV,369,369,19,33,qualified_numeric_quarter,True,
2024,I,1107,1107,19,0,held_failed_validation,False,duplicate_complete_source_dimension_tuple
2024,II,440,440,19,32,qualified_numeric_quarter,True,
2024,III,500,500,19,34,qualified_numeric_quarter,True,
2024,IV,492,492,19,34,qualified_numeric_quarter,True,
2025,I,519,519,19,33,qualified_numeric_quarter,True,
2025,II,642,642,19,34,qualified_numeric_quarter,True,
2025,III,542,542,19,35,qualified_numeric_quarter,True,
2025,IV,517,517,19,35,qualified_numeric_quarter,True,
