year,quarter,quarter_number,dataset_title,dataset_identifier,dataset_detail_url,listing_pages,release_date,modified_date,public_access_level,update_frequency,collection_frequency,collection_method,resource_name,resource_format,resource_transport_locator_count,resource_transport_locators,declared_expected_variable_count,declared_expected_variables,declared_expected_schema_complete,promotion_state,resource_file_downloaded,target_investment_values_inspected,investment_value_aggregation_performed
2010,I,1,Data Realisasi Investasi Triwulan I Tahun 2010,Data-realisasi-investasi-triwulan-i-tahun-2010-4BkVd0G,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2010-4BkVd0G,12,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2010,II,2,Data Realisasi Investasi Triwulan II Tahun 2010,Data-realisasi-investasi-triwulan-ii-tahun-2010-YklG0z5,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2010-YklG0z5,12,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2010,III,3,Data Realisasi Investasi Triwulan III Tahun 2010,Data-realisasi-investasi-triwulan-iii-tahun-2010-nVHP1xj,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2010-nVHP1xj,12,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2010,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2010,Data-realisasi-investasi-triwulan-iv-tahun-2010-geKW4zP,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2010-geKW4zP,11,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2011,I,1,Data Realisasi Investasi Triwulan I Tahun 2011,Data-realisasi-investasi-triwulan-i-tahun-2011-mSRN48k,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2011-mSRN48k,11,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2011,II,2,Data Realisasi Investasi Triwulan II Tahun 2011,Data-realisasi-investasi-triwulan-ii-tahun-2011-YyoIut5,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2011-YyoIut5,11,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2011,III,3,Data Realisasi Investasi Triwulan III Tahun 2011,Data-realisasi-investasi-triwulan-iii-tahun-2011-saAyXj3,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iii-tahun-2011-saAyXj3,11,29 November 2024,26 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2011,IV,4,Data Realisasi Investasi Triwulan IV Tahun 2011,Data-realisasi-investasi-triwulan-iv-tahun-2011-pigkn7y,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-iv-tahun-2011-pigkn7y,11,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2012,I,1,Data Realisasi Investasi Triwulan I Tahun 2012,Data-realisasi-investasi-triwulan-i-tahun-2012-9ns2Dhf,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-i-tahun-2012-9ns2Dhf,11,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
2012,II,2,Data Realisasi Investasi Triwulan II Tahun 2012,Data-realisasi-investasi-triwulan-ii-tahun-2012-KORfoaF,https://data.bkpm.go.id/dataset-detail/data-realisasi-investasi-triwulan-ii-tahun-2012-KORfoaF,11,29 November 2024,27 Maret 2026,Publik,Triwulanan,Triwulanan,Pengumpulan Online melalui Sistem OSS,Tipe Data : Upload File,CSV,2,https://data.bkpm.go.id/storage/image/setting/233cda5b-67e0-4829-8ed3-a2d8483aa9b7.webp;https://data.bkpm.go.id/storage/image/setting/e40e20af-6d33-4ebf-908b-d1c7ac96f9e8.webp,14,periode;status_penanaman_modal;regional;negara;sektor_utama;nama_sektor;deskripsi_kbli_2digit;provinsi;kabupaten_kota;jawa_luar_jawa;pulau;investasi_rp_juta;investasi_us_ribu;tki,true,metadata_and_transport_qualified_schema_pending,false,false,false
