year,quarter,quarter_number,dataset_identifier,description_period_match,lkpm_source_identity_match,period_field_semantics_match,rupiah_increment_semantics_match,usd_increment_semantics_match,update_frequency_quarterly_match,collection_frequency_quarterly_match,semantic_family_state,target_investment_values_inspected,annual_sum_authorized
2010,I,1,Data-realisasi-investasi-triwulan-i-tahun-2010-4BkVd0G,true,true,true,true,true,true,true,semantic_family_match,false,false
2010,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2010-YklG0z5,true,true,true,true,true,true,true,semantic_family_match,false,false
2010,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2010-nVHP1xj,true,true,true,true,true,true,true,semantic_family_match,false,false
2010,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2010-geKW4zP,true,true,true,true,true,true,true,semantic_family_match,false,false
2011,I,1,Data-realisasi-investasi-triwulan-i-tahun-2011-mSRN48k,true,true,true,true,true,true,true,semantic_family_match,false,false
2011,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2011-YyoIut5,true,true,true,true,true,true,true,semantic_family_match,false,false
2011,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2011-saAyXj3,true,true,true,true,true,true,true,semantic_family_match,false,false
2011,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2011-pigkn7y,true,true,true,true,true,true,true,semantic_family_match,false,false
2012,I,1,Data-realisasi-investasi-triwulan-i-tahun-2012-9ns2Dhf,true,true,true,true,true,true,true,semantic_family_match,false,false
2012,II,2,Data-realisasi-investasi-triwulan-ii-tahun-2012-KORfoaF,true,true,true,true,true,true,true,semantic_family_match,false,false
2012,III,3,Data-realisasi-investasi-triwulan-iii-tahun-2012-e7Yu1Li,true,true,true,true,true,true,true,semantic_family_match,false,false
2012,IV,4,Data-realisasi-investasi-triwulan-iv-tahun-2012-yg0KpKS,true,true,true,true,true,true,true,semantic_family_match,false,false
2013,I,1,Data-realisasi-investasi-triwulan-i-tahun-2013-aZedHow,true,true,true,true,true,true,true,semantic_family_match,false,false
