regime_id,geography_id,analysis_year,indicator_id,value_numeric,unit,claim_type,observation_id,provenance_id,time_start,time_end,reference_period_pattern,comparable,methodology_version,price_basis,source_artifact,source_path,source_notes
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,expected_years_schooling,12.39,years,observed,bpsobs_7671025cf0edbaf7328ff7cf,bpsprov_1c9e409f73f417d3bb806144,2018-03-01,2018-03-31,march_reference,true,BPS HDI new method; Susenas March,,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,qualification_id=q_hls_susenas_march; source_universe=Population age 7 / child aged 7 under BPS HDI methodology; reference_period_rule=calendar_month_march; source_geography=1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain method label and age universe
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,mean_years_schooling,6.95,years,observed,bpsobs_3b6c90b9403b7081e63bd87c,bpsprov_7b2838a6b20a2d227a05b86a,2018-03-01,2018-03-31,march_reference,true,BPS HDI new method; Susenas March,,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,qualification_id=q_rls_susenas_march; source_universe=Population age 25+; reference_period_rule=calendar_month_march; source_geography=1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain method label and age universe
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,labor_force_participation,75.0,percent,observed,bpsobs_0a4bf2b4b204188fedd34f64,bpsprov_22a2958ae7ad027a09947938,2018-08-01,2018-08-31,august_reference,,Sakernas August,,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,qualification_id=q_labor_tpak_august; source_universe=Population age 15+; labor force divided by working-age population; reference_period_rule=calendar_month_august; source_geography=1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain BPS weighting-method notes; source_definition=Catatan: 2011-2017: menggunakan penimbang hasil proyeksi penduduk tahun 2010-2035.  Tahun 2016 : Data tenaga kerja per Kabupaten/Kota tidak tersedia karena sampel tidak mencukupi.  Tahun 2018-2021: menggunakan estimasi dari hasil proyeksi SUPAS 2015
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,unemployment_rate,2.31,percent,observed,bpsobs_2295d468fbdd19e36f91a442,bpsprov_a520a7adb1d65c06bcc0f6e1,2018-08-01,2018-08-31,august_reference,,Sakernas August,,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,"qualification_id=q_labor_tpt_august; source_universe=Population age 15+; TPT denominator is labor force; reference_period_rule=calendar_month_august; source_geography=1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain BPS weighting-method notes; source_definition=Catatan:  2011-2017: menggunakan penimbang hasil proyeksi penduduk tahun 2010-2035. Tahun 2016, Data tenaga kerja per Kabupaten/Kota tidak tersedia karena sampel tidak mencukupi.  2018-2021 menggunakan estimasi dari hasil proyeksi SUPAS 2015"
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,poverty_rate,14.44,percent,observed,bpsobs_e99e1cf26f47a48976ca42e9,bpsprov_05a9e56abf9bf8d3f7bac8c1,2018-03-01,2018-03-31,march_reference,true,Susenas March,,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,qualification_id=q_poverty_march; source_universe=Population under the official BPS poverty line; reference_period_rule=calendar_month_march; source_geography=1301:Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain poverty-methodology/source notes
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,real_grdp_growth,4.89,percent,observed,bpsobs_0a7332b9c49d0f623a155941,bpsprov_334a15296b02b74a48ac724e,2018-01-01,2018-12-31,calendar_year,true,ADHK 2010,constant_2010,bps_canonical_panel,data/processed/bps/panel/bps-canonical-observations.csv,qualification_id=q_grdp_growth_adhk2010; source_universe=Regional economy under BPS GRDP production boundary; reference_period_rule=calendar_year; source_geography=1301:Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=mark 2024 very_provisional and 2025 very_very_provisional; preserve base year 2010
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,agriculture_share_grdp,47.604076021015686,percent,derived,bpsexpobs_e3de02ad0e1f0d3f1c14eb9a,bpsexpprov_ac4cc8d5cae12e620dffc9f2,2018-01-01,2018-12-31,calendar_year,true,GRDP series 2010 ADHB,current_prices_series_2010,bps_expansion_canonical,data/processed/bps/expansion/bps-expansion-canonical-observations.csv,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:464:Kabupaten Kepulauan Mentawai; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:464:Kabupaten Kepulauan Mentawai; transform=share_percent; source_denominator=4252824; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,manufacturing_share_grdp,2.68051558211673,percent,derived,bpsexpobs_ac2d669413cfadc6d78e8b3c,bpsexpprov_ac4cc8d5cae12e620dffc9f2,2018-01-01,2018-12-31,calendar_year,true,GRDP series 2010 ADHB,current_prices_series_2010,bps_expansion_canonical,data/processed/bps/expansion/bps-expansion-canonical-observations.csv,qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:464:Kabupaten Kepulauan Mentawai; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:300:C. Industri Pengolahan|turvar:464:Kabupaten Kepulauan Mentawai; transform=share_percent; source_denominator=4252824; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,rice_yield,2.6350000000000002,tonnes_per_hectare,derived,bpsexpobs_faeb55d88a92b55661a3b0e6,bpsexpprov_94477055811325289e147e4f,2018-01-01,2018-12-31,calendar_year,true,KSA,,bps_expansion_canonical,data/processed/bps/expansion/bps-expansion-canonical-observations.csv,qualification_id=q_rice_yield_ksa; source_universe=Rice harvested area and production under BPS KSA methodology; source_geography=vervar:1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; source_selector=vervar:1301:Kab. Kepulauan Mentawai|turvar:244:Produktivitas (Kuintal/Hektar); transform=quintal_per_hectare_to_tonnes_per_hectare; quality_rule=convert productivity from quintal per hectare to tonnes per hectare by exact factor 0.1; retain KSA revision notes and 2025 Kota Pariaman LBS caveat
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,2018,underemployment_rate,12.17,percent,observed,bpsexpobs_e9150176df84682491b91c62,bpsexpprov_5b8e8c914fb6f4aed45ae1c5,2018-08-01,2018-08-31,august_reference,,August Sakernas,,bps_expansion_canonical,data/processed/bps/expansion/bps-expansion-canonical-observations.csv,qualification_id=q_underemployment_august; source_universe=Employed persons meeting BPS underemployment criteria; source_geography=vervar:1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; source_selector=vervar:1301:Kab. Kepulauan Mentawai|turvar:1081:Setengah Pengangguran; transform=identity; quality_rule=retain source weighting-regime notes and leave cross-regime comparability unresolved
