regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2018,12.39,6.95,,75.0,2.31,14.44,4.89,47.604076021015686,2.68051558211673,2.6350000000000002,12.17,,3567.246432,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2019,12.76,7.08,,83.1,2.92,14.43,4.73,46.48392819005129,2.332014387973362,2.5170000000000003,12.63,,2362.541341,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2020,12.82,7.09,70.73,81.65,3.98,14.35,-1.85,48.65025734182846,2.4245514381296247,2.471,20.72,87623.0,3626.960488,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2021,12.89,7.2,70.73,82.57,2.79,14.84,2.87,48.86453587805786,2.5724800499397804,2.497,21.96,,3704.889656,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2022,12.89,7.48,70.91,78.25,1.39,13.97,4.94,48.01767615464537,2.4811509929489297,2.298,21.67,,3782.009938,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2023,12.9,7.76,71.06,80.07,1.33,13.72,4.04,48.4488181812154,2.4523604911612615,2.4730000000000003,19.5,,2625.301919,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2024,12.91,8.03,71.21,83.47,1.44,13.89,3.97,,,2.6510000000000002,16.56,,4202.103285,2,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1301,Kepulauan Mentawai,2025,13.17,8.21,71.4,82.33,1.53,13.22,2.93,,,2.837,,,3677.797185,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2018,13.3,8.14,,66.63,6.03,7.59,5.32,39.280322117564594,7.730488482316655,5.027000000000001,14.1,,2806.760469,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2019,13.31,8.25,,68.82,6.02,7.88,4.78,38.2706498609524,6.399948036096436,5.106000000000001,11.21,,2378.287854,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2020,13.32,8.26,73.02,65.0,7.0,7.61,-1.11,37.761041294842805,6.425926490652303,4.805,14.28,504418.0,3086.659964,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2021,13.33,8.27,73.12,66.59,5.97,7.92,3.35,37.22167255893918,6.800697980460294,4.801,10.02,,3436.715819,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2022,13.35,8.43,73.2,66.95,4.61,7.11,4.01,36.95079504338636,6.802802913250822,5.617000000000001,11.58,,3619.807130,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2023,13.36,8.58,73.27,65.0,4.75,7.34,4.19,36.49048577789883,6.633532334021815,5.188000000000001,14.04,,2705.082515,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2024,13.37,8.81,73.44,66.0,5.06,7.49,3.84,,,4.878,12.85,,3320.943657,15,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1302,Pesisir Selatan,2025,13.38,9.06,73.68,70.4,5.1,6.52,3.62,,,5.188000000000001,,,3437.205954,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2018,13.02,7.84,,68.35,6.12,8.88,5.19,36.28914365616826,5.246710072077912,5.061,7.49,,2745.575618,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2019,13.03,7.85,,70.83,4.72,7.98,5.04,34.81582435830543,4.720325506524937,4.938000000000001,8.51,,2253.071476,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1303,Solok,2020,13.04,7.86,71.51,74.64,4.65,7.81,-1.14,35.01349625416376,4.755081092964802,4.644,12.76,391497.0,2824.854401,,
