scenario_id,feature_id,target_id,target_direction,outer_fold_count,perturbation_standardized_units,plus_half_sd_delta_min,plus_half_sd_delta_p10,plus_half_sd_delta_median,plus_half_sd_delta_p90,plus_half_sd_delta_max,minus_half_sd_delta_min,minus_half_sd_delta_p10,minus_half_sd_delta_median,minus_half_sd_delta_p90,minus_half_sd_delta_max,plus_delta_positive_fold_share,plus_delta_negative_fold_share,plus_delta_zero_fold_share,dominant_sign_retention,model_delta_unit,uncertainty_basis,causal_interpretation_authorized,policy_effect_interpretation_authorized
m17_s1_mean_years_schooling,mean_years_schooling,poverty_rate,lower_is_favorable,19,0.5,-0.1985099296055,-0.1847795469373,-0.1716697347165,-0.1579711724479,-0.1538854353735,0.1538854353735,0.1579711724479,0.1716697347165,0.18477954693729998,0.1985099296055,0.0,1.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s1_mean_years_schooling,mean_years_schooling,unemployment_rate,lower_is_favorable,19,0.5,-0.1124837710755,0.0936669916289,0.1087630516195,0.12115562901699999,0.1359564516355,-0.1359564516355,-0.121155629017,-0.1087630516195,-0.09366699162890002,0.1124837710755,0.9473684210526315,0.05263157894736842,0.0,0.9473684210526315,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s1_mean_years_schooling,mean_years_schooling,real_grdp_growth,higher_is_favorable,19,0.5,0.0586734132125,0.0594968022786,0.061724695987,0.2305130523135,0.2509771887385,-0.2509771887385,-0.2305130523135,-0.061724695987,-0.0594968022786,-0.0586734132125,1.0,0.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s2_labor_force_participation,labor_force_participation,poverty_rate,lower_is_favorable,19,0.5,0.0079412256889,0.15333706124059998,0.1692260134905,0.18474115268199998,0.2075253388515,-0.2075253388515,-0.18474115268199998,-0.1692260134905,-0.1533370612406,-0.0079412256889,1.0,0.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s2_labor_force_participation,labor_force_participation,unemployment_rate,lower_is_favorable,19,0.5,-0.3796343449205,-0.23363335444650002,-0.2179055189625,-0.2036188218158,-0.195080545,0.195080545,0.2036188218158,0.2179055189625,0.23363335444649996,0.3796343449205,0.0,1.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s2_labor_force_participation,labor_force_participation,real_grdp_growth,higher_is_favorable,19,0.5,0.01902082116045,0.03559669247012,0.0377572715246,0.1065978804557,0.117476890904,-0.117476890904,-0.1065978804557,-0.0377572715246,-0.03559669247012,-0.01902082116045,1.0,0.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s3_agriculture_share_grdp,agriculture_share_grdp,poverty_rate,lower_is_favorable,19,0.5,0.1924537161,0.22731708774269999,0.2493562221315,0.25856536252269996,0.275332760362,-0.275332760362,-0.25856536252269996,-0.2493562221315,-0.2273170877427,-0.1924537161,1.0,0.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s3_agriculture_share_grdp,agriculture_share_grdp,unemployment_rate,lower_is_favorable,19,0.5,-0.3328180930305,-0.1376749443027,-0.1215077065985,-0.1077763568957,-0.106835158864,0.106835158864,0.1077763568957,0.1215077065985,0.13767494430269997,0.3328180930305,0.0,1.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s3_agriculture_share_grdp,agriculture_share_grdp,real_grdp_growth,higher_is_favorable,19,0.5,-0.002534142794045,-0.0014605118025559998,-9.9848033016e-05,0.1246992375363,0.1305446202255,-0.1305446202255,-0.1246992375363,9.9848033016e-05,0.0014605118025559994,0.002534142794045,0.47368421052631576,0.5263157894736842,0.0,0.5263157894736842,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
m17_s4_manufacturing_share_grdp,manufacturing_share_grdp,poverty_rate,lower_is_favorable,19,0.5,-0.138624611653,-0.1322646818279,-0.110715344365,-0.07650416237310002,-0.047808089632,0.047808089632,0.0765041623731,0.110715344365,0.1322646818279,0.138624611653,0.0,1.0,0.0,1.0,target_percentage_points,dispersion_across_19_outer_fold_predictive_coefficients,False,False
