geography_id,geography_name,bps_province_code,year,feature_id,feature_group,value,unit,bps_var_id,bps_turvar_id,bps_turth_id,source_key
idn.11,Aceh,11,2024,m7_hls_method_new,human_capital_expected_schooling,14.39,years,417,0,0,110041701240
idn.11,Aceh,11,2024,m7_household_internet_access,digital_connectivity,88.95,percent_households,398,191,0,11003981911240
idn.11,Aceh,11,2024,m7_household_pln_lighting,electricity_access,99.73,percent_households,856,191,0,11008561911240
idn.11,Aceh,11,2024,m7_rls_age15_plus,human_capital_schooling,9.95,years,1429,0,0,1100142901240
idn.12,Sumatera Utara,12,2024,m7_hls_method_new,human_capital_expected_schooling,13.49,years,417,0,0,120041701240
idn.12,Sumatera Utara,12,2024,m7_household_internet_access,digital_connectivity,92.3,percent_households,398,191,0,12003981911240
idn.12,Sumatera Utara,12,2024,m7_household_pln_lighting,electricity_access,99.23,percent_households,856,191,0,12008561911240
idn.12,Sumatera Utara,12,2024,m7_rls_age15_plus,human_capital_schooling,10.18,years,1429,0,0,1200142901240
idn.13,Sumatera Barat,13,2024,m7_hls_method_new,human_capital_expected_schooling,14.3,years,417,0,0,130041701240
idn.13,Sumatera Barat,13,2024,m7_household_internet_access,digital_connectivity,91.89,percent_households,398,191,0,13003981911240
idn.13,Sumatera Barat,13,2024,m7_household_pln_lighting,electricity_access,98.95,percent_households,856,191,0,13008561911240
idn.13,Sumatera Barat,13,2024,m7_rls_age15_plus,human_capital_schooling,9.72,years,1429,0,0,1300142901240
idn.14,Riau,14,2024,m7_hls_method_new,human_capital_expected_schooling,13.42,years,417,0,0,140041701240
idn.14,Riau,14,2024,m7_household_internet_access,digital_connectivity,94.16,percent_households,398,191,0,14003981911240
idn.14,Riau,14,2024,m7_household_pln_lighting,electricity_access,96.6,percent_households,856,191,0,14008561911240
idn.14,Riau,14,2024,m7_rls_age15_plus,human_capital_schooling,9.69,years,1429,0,0,1400142901240
idn.15,Jambi,15,2024,m7_hls_method_new,human_capital_expected_schooling,13.14,years,417,0,0,150041701240
idn.15,Jambi,15,2024,m7_household_internet_access,digital_connectivity,90.59,percent_households,398,191,0,15003981911240
idn.15,Jambi,15,2024,m7_household_pln_lighting,electricity_access,98.9,percent_households,856,191,0,15008561911240
idn.15,Jambi,15,2024,m7_rls_age15_plus,human_capital_schooling,9.26,years,1429,0,0,1500142901240
idn.16,Sumatera Selatan,16,2024,m7_hls_method_new,human_capital_expected_schooling,12.64,years,417,0,0,160041701240
idn.16,Sumatera Selatan,16,2024,m7_household_internet_access,digital_connectivity,90.94,percent_households,398,191,0,16003981911240
