geography_id,geography_name,bps_province_code,year,m7_rls_age15_plus,m7_hls_method_new,m7_household_internet_access,m7_household_pln_lighting,real_grdp_per_capita,log_real_grdp_per_capita
idn.11,Aceh,11,2024,9.95,14.39,88.95,99.73,27.68418,3.32086113091
idn.12,Sumatera Utara,12,2024,10.18,13.49,92.3,99.23,40.57695,3.7032001714
idn.13,Sumatera Barat,13,2024,9.72,14.3,91.89,98.95,34.16975,3.53134074974
idn.14,Riau,14,2024,9.69,13.42,94.16,96.6,84.90325,4.44151237291
idn.15,Jambi,15,2024,9.26,13.14,90.59,98.9,47.49059,3.86053158615
idn.16,Sumatera Selatan,16,2024,8.98,12.64,90.94,97.02,42.89993,3.75887019423
idn.17,Bengkulu,17,2024,9.4,13.75,90.62,99.75,25.78058,3.24962149532
idn.18,Lampung,18,2024,8.8,12.78,91.57,99.21,29.89063,3.39754505336
idn.19,Kepulauan Bangka Belitung,19,2024,8.78,12.49,92.14,99.66,39.70009,3.68135345469
idn.21,Kepulauan Riau,21,2024,10.65,13.27,97.57,98.39,96.15712,4.56598352026
idn.31,DKI Jakarta,31,2024,11.49,13.51,98.18,99.97,201.32987,5.30494470713
idn.32,Jawa Barat,32,2024,9.24,12.8,90.58,99.9,34.80222,3.54968117785
idn.33,Jawa Tengah,33,2024,8.47,12.86,88.89,99.94,30.53389,3.41883721429
idn.34,DI Yogyakarta,34,2024,10.23,15.7,89.5,100,33.14014,3.50074523649
idn.35,Jawa Timur,35,2024,8.69,13.43,86.9,99.71,46.29519,3.83503806801
idn.36,Banten,36,2024,9.55,13.1,93.02,99.79,42.77359,3.75592085606
idn.51,Bali,51,2024,9.87,13.62,92.16,99.9,37.94016,3.63601018168
idn.52,Nusa Tenggara Barat,52,2024,8.5,13.98,86.54,99.89,19.3792,2.96420032594
idn.53,Nusa Tenggara Timur,53,2024,8.48,13.23,82.45,91.01,13.81914,2.62605458775
idn.61,Kalimantan Barat,61,2024,8.28,12.68,92.65,92.95,28.5445,3.35146427306
idn.62,Kalimantan Tengah,62,2024,9.17,12.77,92.13,89.04,42.24024,3.7433733212
idn.63,Kalimantan Selatan,63,2024,9.02,12.87,89.22,98.89,36.68506,3.60236958771
idn.64,Kalimantan Timur,64,2024,10.22,14.03,95.45,96.5,141.08849,4.94938728218
idn.65,Kalimantan Utara,65,2024,9.58,13.21,94.58,96.18,98.85994,4.59370410096
idn.71,Sulawesi Utara,71,2024,10.02,12.97,89.31,99.67,39.81639,3.68427863657
idn.72,Sulawesi Tengah,72,2024,9.28,13.34,87.94,96.6,68.00075,4.21951873453
idn.73,Sulawesi Selatan,73,2024,9.22,13.55,92.18,98.23,41.86047,3.73434194486
idn.74,Sulawesi Tenggara,74,2024,9.74,13.71,91.7,97.83,40.81151,3.70896414947
idn.75,Gorontalo,75,2024,8.64,13.17,90.17,98.99,26.83833,3.2898310896
idn.76,Sulawesi Barat,76,2024,8.56,12.89,89.67,94.99,24.67179,3.20566048567
idn.81,Maluku,81,2024,10.44,14.09,87.27,95.37,19.12476,2.95098383061
idn.82,Maluku Utara,82,2024,9.7,13.75,87.28,94.27,41.11836,3.71645473708
idn.91,Papua Barat,91,2024,9.87,13.17,85.51,82.31,85.51335,4.4486725041
idn.92,Papua Barat Daya,92,2024,10.48,13.88,88.49,87.86,39.66297,3.68041800682
idn.94,Papua,94,2024,10.7,13.72,81.99,90.24,48.64184,3.88448406589
idn.95,Papua Selatan,95,2024,8.99,12.67,65.71,67.05,35.16397,3.56002197884
idn.96,Papua Tengah,96,2024,6.17,9.63,36.08,35.27,71.60813,4.27120861501
idn.97,Papua Pegunungan,97,2024,5.1,9.97,12.15,14.53,9.4058,2.24132652027
