year,geography_count,mean_annual_rainfall_mm,median_annual_rainfall_mm,minimum_annual_rainfall_mm,maximum_annual_rainfall_mm,claim_class,spatial_frame,historical_boundary_continuity_claimed,independent_station_validation,causal_claim
1981,19,3188.85794168,3118.322984,2207.982015,4503.65533,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1982,19,2268.77650695,2180.453534,1784.260177,3142.845739,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1983,19,2813.85073737,2671.561036,1985.453517,3882.426501,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1984,19,3624.32390005,3602.180463,2523.296948,4831.861099,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1985,19,3023.27763911,2819.269317,2163.754885,4276.995121,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1986,19,3417.30587905,3258.12905,2362.608325,4857.015992,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1987,19,2848.53889411,2437.115111,1898.231422,4763.77031,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1988,19,3283.85551242,3017.480515,2213.754386,4890.043103,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1989,19,2940.78847474,2805.718708,2153.526481,3899.218814,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1990,19,2871.70739363,2630.542827,1970.650405,4164.467059,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1991,19,2852.01939484,2597.130011,2085.133099,4341.468879,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1992,19,2875.20121474,2708.562256,2045.683738,3974.295521,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1993,19,2376.864095,2245.123754,1745.329956,3126.949978,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1994,19,1746.25100989,1635.156842,1297.462995,2448.850728,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1995,19,2920.31405179,2745.578259,2292.52151,3729.341893,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1996,19,2620.77420484,2410.94974,1896.09368,3574.732254,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1997,19,1416.45268726,1352.896348,1004.027669,2034.227997,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1998,19,2781.12516553,2674.791489,1934.576864,3763.368165,model_estimate,fixed_current_boundary_june_2026,false,pending,false
1999,19,3693.84024668,3465.35892,2827.32458,5301.038264,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2000,19,3211.56838932,3087.828711,2298.742123,4333.896914,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2001,19,2783.79437389,2676.780187,2035.882141,3397.296139,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2002,19,2991.71262826,2773.406408,2002.465689,4537.778079,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2003,19,3305.88609468,3088.22775,2460.736545,4780.714807,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2004,19,2810.053396,2702.560037,1982.806587,4014.833267,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2005,19,3204.98287563,3068.414093,2256.328443,4607.964924,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2006,19,2540.19016068,2449.720591,1816.28513,3550.697276,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2007,19,3234.26131979,3044.024186,2368.534818,4343.716459,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2008,19,3318.80541837,3189.447871,2413.486217,4425.92096,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2009,19,2987.29784047,2827.895203,2185.260988,4020.503941,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2010,19,3606.25642763,3411.1087,2659.024126,4893.639209,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2011,19,2814.97435105,2680.562107,2073.774883,3724.157907,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2012,19,3289.89235742,3148.047256,2517.870684,4552.869251,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2013,19,3303.59066453,3086.227011,2484.998244,4632.414056,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2014,19,2903.23245047,2672.378146,2173.565751,4285.227243,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2015,19,2498.08575695,2259.468041,1745.667984,3789.112792,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2016,19,3372.36731537,3202.926856,2470.731357,4888.516324,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2017,19,3352.69926011,3209.164432,2540.51531,4506.455565,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2018,19,3116.71907121,2859.438849,2342.492157,4484.663075,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2019,19,2463.25736584,2349.436808,1779.855058,3462.772703,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2020,19,3101.17797479,2943.171289,2261.885902,4428.394673,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2021,19,3324.54416437,3128.814974,2362.419395,4955.780563,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2022,19,3931.90291347,3756.138973,3069.58042,5719.996265,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2023,19,3053.96046111,2907.477107,2354.011592,4147.905615,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2024,19,3614.61031711,3337.779082,2609.651163,5366.19263,model_estimate,fixed_current_boundary_june_2026,false,pending,false
2025,19,3488.00777379,3481.642137,2493.838174,4572.056189,model_estimate,fixed_current_boundary_june_2026,false,pending,false
