exposure,event_time,calendar_year,coefficient_log_points_per_1sd_exposure,cr1_cluster_se
area_median_pga_pct_g,-4,2005,-0.013500616470857586,0.013182611058594182
area_median_pga_pct_g,-3,2006,-0.001386751944975627,0.0024845992033973013
area_median_pga_pct_g,-2,2007,-0.0008031168913855802,0.0012013374931155601
area_median_pga_pct_g,0,2009,-0.0038160520879728993,0.0015095680350160345
area_median_pga_pct_g,1,2010,-0.005200950636683123,0.0024754268253087378
area_median_pga_pct_g,2,2011,-0.005439062631455993,0.003336826794728624
area_median_pga_pct_g,3,2012,-0.005181768136289344,0.004036912978463402
area_median_pga_pct_g,4,2013,-0.004770228072058735,0.004362169365254236
area_p90_pga_pct_g,-4,2005,-0.01313208580000695,0.012840850911121951
area_p90_pga_pct_g,-3,2006,-0.0018307219298469748,0.002926540011703207
area_p90_pga_pct_g,-2,2007,-0.0009198489268263067,0.001375196198615506
area_p90_pga_pct_g,0,2009,-0.003599175638784311,0.0013526115731384823
area_p90_pga_pct_g,1,2010,-0.0051138270754315035,0.0021859654203872318
area_p90_pga_pct_g,2,2011,-0.005603309600860973,0.0029522624509137185
area_p90_pga_pct_g,3,2012,-0.0055161458859855905,0.0036351057785379455
area_p90_pga_pct_g,4,2013,-0.005286355206550297,0.003980446995491109
area_max_pga_pct_g,-4,2005,-0.011363336759092993,0.012085911211164632
area_max_pga_pct_g,-3,2006,-0.0015016192840649743,0.00355137916251692
area_max_pga_pct_g,-2,2007,-0.0006891102120352373,0.0015949766137845513
area_max_pga_pct_g,0,2009,-0.002898820118667226,0.0014828537512116633
area_max_pga_pct_g,1,2010,-0.004683141478758865,0.002246925568854475
area_max_pga_pct_g,2,2011,-0.005757231403915153,0.002844953287424609
area_max_pga_pct_g,3,2012,-0.006261102216948755,0.00343228989458035
area_max_pga_pct_g,4,2013,-0.006472129811987637,0.003765152239329505
area_mean_mmi,-4,2005,-0.01026990389608338,0.012559027195707473
area_mean_mmi,-3,2006,-0.00038045589131305773,0.002949395233278788
area_mean_mmi,-2,2007,-0.00034646548230152864,0.0014098866763654694
area_mean_mmi,0,2009,-0.003666572133190681,0.001517156031894503
area_mean_mmi,1,2010,-0.005006087285082608,0.0025506734842914163
area_mean_mmi,2,2011,-0.005091252083692099,0.0035255375300548807
area_mean_mmi,3,2012,-0.004802929700222114,0.004346570972069495
area_mean_mmi,4,2013,-0.004328086231465855,0.004833794183871085
