excluded_geography_id,excluded_geography_name,named_influence_gate_geography,event_time,calendar_year,coefficient_log_points_per_1sd_pga,full_sample_coefficient,change_from_full_sample,absolute_change_from_full_sample
idn.13.1301,Kepulauan Mentawai,False,-4,2005,-0.011353811298636924,-0.013294672141391524,0.0019408608427545996,0.0019408608427545996
idn.13.1301,Kepulauan Mentawai,False,-3,2006,-0.0002939695331056292,-0.0017209094519789242,0.001426939918873295,0.001426939918873295
idn.13.1301,Kepulauan Mentawai,False,-2,2007,-0.0002460321196208713,-0.0009598610224034408,0.0007138289027825695,0.0007138289027825695
idn.13.1301,Kepulauan Mentawai,False,0,2009,-0.0043221310245280245,-0.0037002512335674352,-0.0006218797909605892,0.0006218797909605892
idn.13.1301,Kepulauan Mentawai,False,1,2010,-0.006199556057234181,-0.004997115740192616,-0.0012024403170415648,0.0012024403170415648
idn.13.1301,Kepulauan Mentawai,False,2,2011,-0.006919291332541259,-0.00510864520700105,-0.0018106461255402084,0.0018106461255402084
idn.13.1301,Kepulauan Mentawai,False,3,2012,-0.007083385370150852,-0.004768365760008386,-0.002315019610142466,0.002315019610142466
idn.13.1301,Kepulauan Mentawai,False,4,2013,-0.0070143075515141096,-0.004329683022264108,-0.0026846245292500015,0.0026846245292500015
idn.13.1302,Pesisir Selatan,False,-4,2005,-0.013050444018793713,-0.013294672141391524,0.0002442281225978112,0.0002442281225978112
idn.13.1302,Pesisir Selatan,False,-3,2006,-0.0012266101862805964,-0.0017209094519789242,0.0004942992656983278,0.0004942992656983278
idn.13.1302,Pesisir Selatan,False,-2,2007,-0.0007280127522187511,-0.0009598610224034408,0.0002318482701846896,0.0002318482701846896
idn.13.1302,Pesisir Selatan,False,0,2009,-0.003984261450888871,-0.0037002512335674352,-0.0002840102173214355,0.0002840102173214355
idn.13.1302,Pesisir Selatan,False,1,2010,-0.00571682403414099,-0.004997115740192616,-0.0007197082939483738,0.0007197082939483738
idn.13.1302,Pesisir Selatan,False,2,2011,-0.006191340088799682,-0.00510864520700105,-0.0010826948817986319,0.0010826948817986319
idn.13.1302,Pesisir Selatan,False,3,2012,-0.0061807128567084035,-0.004768365760008386,-0.0014123470967000173,0.0014123470967000173
idn.13.1302,Pesisir Selatan,False,4,2013,-0.005943933941851887,-0.004329683022264108,-0.0016142509195877786,0.0016142509195877786
idn.13.1303,Solok,False,-4,2005,-0.013724283346076864,-0.013294672141391524,-0.00042961120468533974,0.00042961120468533974
idn.13.1303,Solok,False,-3,2006,-0.00200223074033959,-0.0017209094519789242,-0.0002813212883606656,0.0002813212883606656
idn.13.1303,Solok,False,-2,2007,-0.0011044742679822356,-0.0009598610224034408,-0.00014461324557879485,0.00014461324557879485
idn.13.1303,Solok,False,0,2009,-0.0035322582412144485,-0.0037002512335674352,0.00016799299235298673,0.00016799299235298673
idn.13.1303,Solok,False,1,2010,-0.004786016790585321,-0.004997115740192616,0.00021109894960729542,0.00021109894960729542
idn.13.1303,Solok,False,2,2011,-0.0048758904326735,-0.00510864520700105,0.00023275477432754994,0.00023275477432754994
idn.13.1303,Solok,False,3,2012,-0.0045209996848525336,-0.004768365760008386,0.00024736607515585263,0.00024736607515585263
idn.13.1303,Solok,False,4,2013,-0.004061220568214452,-0.004329683022264108,0.0002684624540496561,0.0002684624540496561
idn.13.1304,Sijunjung,False,-4,2005,-0.013334551492589448,-0.013294672141391524,-3.987935119792452e-05,3.987935119792452e-05
idn.13.1304,Sijunjung,False,-3,2006,-0.0014344587447152266,-0.0017209094519789242,0.00028645070726369764,0.00028645070726369764
idn.13.1304,Sijunjung,False,-2,2007,-0.0007314572619470627,-0.0009598610224034408,0.00022840376045637806,0.00022840376045637806
idn.13.1304,Sijunjung,False,0,2009,-0.003829061372488559,-0.0037002512335674352,-0.00012881013892112377,0.00012881013892112377
idn.13.1304,Sijunjung,False,1,2010,-0.005256830479612877,-0.004997115740192616,-0.00025971473942026056,0.00025971473942026056
idn.13.1304,Sijunjung,False,2,2011,-0.005506314391455836,-0.00510864520700105,-0.00039766918445478545,0.00039766918445478545
idn.13.1304,Sijunjung,False,3,2012,-0.005216202969770656,-0.004768365760008386,-0.0004478372097622696,0.0004478372097622696
idn.13.1304,Sijunjung,False,4,2013,-0.004811514199204003,-0.004329683022264108,-0.0004818311769398953,0.0004818311769398953
idn.13.1305,Tanah Datar,False,-4,2005,-0.013476353008748053,-0.013294672141391524,-0.00018168086735652865,0.00018168086735652865
idn.13.1305,Tanah Datar,False,-3,2006,-0.0016836120631846814,-0.0017209094519789242,3.729738879424283e-05,3.729738879424283e-05
idn.13.1305,Tanah Datar,False,-2,2007,-0.0009706851499296843,-0.0009598610224034408,-1.082412752624357e-05,1.082412752624357e-05
idn.13.1305,Tanah Datar,False,0,2009,-0.003845035557795239,-0.0037002512335674352,-0.0001447843242278037,0.0001447843242278037
idn.13.1305,Tanah Datar,False,1,2010,-0.005173181508083239,-0.004997115740192616,-0.00017606576789062304,0.00017606576789062304
idn.13.1305,Tanah Datar,False,2,2011,-0.0052361674979414154,-0.00510864520700105,-0.00012752229094036525,0.00012752229094036525
idn.13.1305,Tanah Datar,False,3,2012,-0.004768053256854143,-0.004768365760008386,3.125031542428047e-07,3.125031542428047e-07
