geography_id,geography_name,year,official_real_grdp_growth_percent,official_source,official_source_table,official_source_pdf_page,derived_real_grdp_growth_percent_from_resolved_levels,derived_minus_official_percentage_points,absolute_difference_percentage_points,claim_type_official,claim_type_derived
idn.13.1301,Kepulauan Mentawai,2009,4.67,m8_grdp_pre,4.3,43,4.672190085737915,0.002190085737915126,0.002190085737915126,observed_data,derived_statistic
idn.13.1301,Kepulauan Mentawai,2010,4.88,m8_grdp_post,13.1.3,414,4.875573014041912,-0.004426985958088103,0.004426985958088103,observed_data,derived_statistic
idn.13.1301,Kepulauan Mentawai,2011,4.92,m8_grdp_post,13.1.3,414,4.923732431613281,0.003732431613281406,0.003732431613281406,observed_data,derived_statistic
idn.13.1301,Kepulauan Mentawai,2012,5.25,m8_grdp_post,13.1.3,414,5.251235294244627,0.0012352942446272053,0.0012352942446272053,observed_data,derived_statistic
idn.13.1301,Kepulauan Mentawai,2013,5.51,m8_grdp_post,13.1.3,414,5.5100128721454755,1.2872145475739671e-05,1.2872145475739671e-05,observed_data,derived_statistic
idn.13.1302,Pesisir Selatan,2009,5.44,m8_grdp_pre,4.3,43,5.435175766501632,-0.004824233498368358,0.004824233498368358,observed_data,derived_statistic
idn.13.1302,Pesisir Selatan,2010,5.28,m8_grdp_post,13.1.3,414,5.284939747940176,0.00493974794017582,0.00493974794017582,observed_data,derived_statistic
idn.13.1302,Pesisir Selatan,2011,5.48,m8_grdp_post,13.1.3,414,5.481474469262282,0.0014744692622814526,0.0014744692622814526,observed_data,derived_statistic
idn.13.1302,Pesisir Selatan,2012,5.66,m8_grdp_post,13.1.3,414,5.66270584177786,0.0027058417778595967,0.0027058417778595967,observed_data,derived_statistic
idn.13.1302,Pesisir Selatan,2013,5.87,m8_grdp_post,13.1.3,414,5.872277386203595,0.0022773862035947445,0.0022773862035947445,observed_data,derived_statistic
idn.13.1303,Solok,2009,6.27,m8_grdp_pre,4.3,43,6.239794164346524,-0.030205835653475788,0.030205835653475788,observed_data,derived_statistic
idn.13.1303,Solok,2010,6.05,m8_grdp_post,13.1.3,414,6.046720106486547,-0.003279893513452592,0.003279893513452592,observed_data,derived_statistic
idn.13.1303,Solok,2011,6.13,m8_grdp_post,13.1.3,414,6.126313078609669,-0.0036869213903312215,0.0036869213903312215,observed_data,derived_statistic
idn.13.1303,Solok,2012,6.26,m8_grdp_post,13.1.3,414,6.258401015742243,-0.0015989842577566193,0.0015989842577566193,observed_data,derived_statistic
idn.13.1303,Solok,2013,6.29,m8_grdp_post,13.1.3,414,6.293039347337337,0.003039347337336906,0.003039347337336906,observed_data,derived_statistic
idn.13.1304,Sijunjung,2009,5.59,m8_grdp_pre,4.3,43,5.46862148316567,-0.12137851683432999,0.12137851683432999,observed_data,derived_statistic
idn.13.1304,Sijunjung,2010,5.63,m8_grdp_post,13.1.3,414,5.6336563384491445,0.0036563384491445916,0.0036563384491445916,observed_data,derived_statistic
idn.13.1304,Sijunjung,2011,5.74,m8_grdp_post,13.1.3,414,5.738359446071484,-0.001640553928516475,0.001640553928516475,observed_data,derived_statistic
idn.13.1304,Sijunjung,2012,6.08,m8_grdp_post,13.1.3,414,6.083655038132152,0.0036550381321518444,0.0036550381321518444,observed_data,derived_statistic
idn.13.1304,Sijunjung,2013,6.13,m8_grdp_post,13.1.3,414,6.130561020686143,0.0005610206861428324,0.0005610206861428324,observed_data,derived_statistic
idn.13.1305,Tanah Datar,2009,5.88,m8_grdp_pre,4.3,43,5.875050384458924,-0.004949615541075758,0.004949615541075758,observed_data,derived_statistic
idn.13.1305,Tanah Datar,2010,5.89,m8_grdp_post,13.1.3,414,5.891929688436681,0.0019296884366815092,0.0019296884366815092,observed_data,derived_statistic
idn.13.1305,Tanah Datar,2011,5.84,m8_grdp_post,13.1.3,414,5.838065271134041,-0.0019347288659590234,0.0019347288659590234,observed_data,derived_statistic
idn.13.1305,Tanah Datar,2012,5.71,m8_grdp_post,13.1.3,414,5.711814298132256,0.001814298132256198,0.001814298132256198,observed_data,derived_statistic
idn.13.1305,Tanah Datar,2013,5.93,m8_grdp_post,13.1.3,414,5.934774571931167,0.004774571931167593,0.004774571931167593,observed_data,derived_statistic
idn.13.1306,Padang Pariaman,2009,3.94,m8_grdp_pre,4.3,43,3.9399995855007086,-4.144992913346357e-07,4.144992913346357e-07,observed_data,derived_statistic
idn.13.1306,Padang Pariaman,2010,5.14,m8_grdp_post,13.1.3,414,5.143646390874612,0.003646390874612493,0.003646390874612493,observed_data,derived_statistic
idn.13.1306,Padang Pariaman,2011,5.58,m8_grdp_post,13.1.3,414,5.580701138447375,0.0007011384473747384,0.0007011384473747384,observed_data,derived_statistic
idn.13.1306,Padang Pariaman,2012,6.09,m8_grdp_post,13.1.3,414,6.092206029992986,0.002206029992986025,0.002206029992986025,observed_data,derived_statistic
idn.13.1306,Padang Pariaman,2013,6.67,m8_grdp_post,13.1.3,414,6.673331117964421,0.003331117964420649,0.003331117964420649,observed_data,derived_statistic
idn.13.1307,Agam,2009,4.9,m8_grdp_pre,4.3,43,4.901747012106283,0.0017470121062830302,0.0017470121062830302,observed_data,derived_statistic
idn.13.1307,Agam,2010,5.68,m8_grdp_post,13.1.3,414,5.67612025930091,-0.0038797406990900285,0.0038797406990900285,observed_data,derived_statistic
idn.13.1307,Agam,2011,5.94,m8_grdp_post,13.1.3,414,5.938624807323523,-0.0013751926764777878,0.0013751926764777878,observed_data,derived_statistic
idn.13.1307,Agam,2012,6.79,m8_grdp_post,13.1.3,414,6.792635327689367,0.0026353276893669175,0.0026353276893669175,observed_data,derived_statistic
idn.13.1307,Agam,2013,6.36,m8_grdp_post,13.1.3,414,6.357532530237298,-0.002467469762702734,0.002467469762702734,observed_data,derived_statistic
idn.13.1308,Lima Puluh Kota,2009,5.45,m8_grdp_pre,4.3,43,5.4510702428153035,0.0010702428153033239,0.0010702428153033239,observed_data,derived_statistic
idn.13.1308,Lima Puluh Kota,2010,6.02,m8_grdp_post,13.1.3,414,6.018931501996017,-0.0010684980039830094,0.0010684980039830094,observed_data,derived_statistic
idn.13.1308,Lima Puluh Kota,2011,6.31,m8_grdp_post,13.1.3,414,6.311685658761235,0.0016856587612350538,0.0016856587612350538,observed_data,derived_statistic
idn.13.1308,Lima Puluh Kota,2012,6.41,m8_grdp_post,13.1.3,414,6.4135547640774115,0.0035547640774113987,0.0035547640774113987,observed_data,derived_statistic
idn.13.1308,Lima Puluh Kota,2013,6.27,m8_grdp_post,13.1.3,414,6.265691988167621,-0.004308011832378611,0.004308011832378611,observed_data,derived_statistic
idn.13.1309,Pasaman,2009,6.12,m8_grdp_pre,4.3,43,6.122150521653413,0.0021505216534132288,0.0021505216534132288,observed_data,derived_statistic
idn.13.1309,Pasaman,2010,6.14,m8_grdp_post,13.1.3,414,6.142937282881955,0.002937282881955383,0.002937282881955383,observed_data,derived_statistic
idn.13.1309,Pasaman,2011,6.15,m8_grdp_post,13.1.3,414,6.146445986837046,-0.0035540131629545613,0.0035540131629545613,observed_data,derived_statistic
idn.13.1309,Pasaman,2012,6.16,m8_grdp_post,13.1.3,414,6.156073291818909,-0.003926708181091421,0.003926708181091421,observed_data,derived_statistic
idn.13.1309,Pasaman,2013,6.13,m8_grdp_post,13.1.3,414,6.129946420760102,-5.3579239898127184e-05,5.3579239898127184e-05,observed_data,derived_statistic
idn.13.1310,Solok Selatan,2009,6.1,m8_grdp_pre,4.3,43,6.096627419774525,-0.0033725802254744863,0.0033725802254744863,observed_data,derived_statistic
idn.13.1310,Solok Selatan,2010,6.28,m8_grdp_post,13.1.3,414,6.2848821735554505,0.0048821735554502865,0.0048821735554502865,observed_data,derived_statistic
idn.13.1310,Solok Selatan,2011,6.42,m8_grdp_post,13.1.3,414,6.346444488225944,-0.07355551177405584,0.07355551177405584,observed_data,derived_statistic
idn.13.1310,Solok Selatan,2012,6.44,m8_grdp_post,13.1.3,414,6.438941411487797,-0.0010585885122029737,0.0010585885122029737,observed_data,derived_statistic
idn.13.1310,Solok Selatan,2013,6.36,m8_grdp_post,13.1.3,414,6.4350481702380335,0.07504817023803323,0.07504817023803323,observed_data,derived_statistic
idn.13.1311,Dharmasraya,2009,6.67,m8_grdp_pre,4.3,43,6.636391445247325,-0.03360855475267499,0.03360855475267499,observed_data,derived_statistic
idn.13.1311,Dharmasraya,2010,6.51,m8_grdp_post,13.1.3,414,6.506994146837175,-0.0030058531628247565,0.0030058531628247565,observed_data,derived_statistic
idn.13.1311,Dharmasraya,2011,6.54,m8_grdp_post,13.1.3,414,6.544226708262402,0.004226708262401679,0.004226708262401679,observed_data,derived_statistic
idn.13.1311,Dharmasraya,2012,6.62,m8_grdp_post,13.1.3,414,6.623553984120267,0.003553984120267195,0.003553984120267195,observed_data,derived_statistic
idn.13.1311,Dharmasraya,2013,6.55,m8_grdp_post,13.1.3,414,6.554775419018144,0.004775419018144156,0.004775419018144156,observed_data,derived_statistic
idn.13.1312,Pasaman Barat,2009,6.26,m8_grdp_pre,4.3,43,6.256403567506275,-0.00359643249372521,0.00359643249372521,observed_data,derived_statistic
