geography_id,geography_name,source_permendagri_code,grid_point_count,area_mean_pga_pct_g,area_median_pga_pct_g,area_p90_pga_pct_g,area_max_pga_pct_g,area_mean_mmi,area_max_mmi
idn.13.1301,Kepulauan Mentawai,1309,1749,16.721762721555173,18.79,25.142,30.28,6.3571755288736425,7.3
idn.13.1302,Pesisir Selatan,1301,1770,15.037199999999999,11.83,28.022000000000002,48.44,6.229378531073446,8.2
idn.13.1303,Solok,1302,1049,21.476024785510013,21.1,30.704000000000004,41.73,6.772259294566254,7.7
idn.13.1304,Sijunjung,1303,925,18.601216216216216,18.19,25.046,27.82,6.607675675675676,7.2
idn.13.1305,Tanah Datar,1304,401,32.83947630922693,32.97,39.16,44.9,7.233915211970075,7.8
idn.13.1306,Padang Pariaman,1305,393,48.84687022900764,50.45,53.126000000000005,54.55,7.910687022900763,8.1
idn.13.1307,Agam,1306,650,38.93730769230769,39.175,47.38,53.09,7.393076923076923,8.0
idn.13.1308,Lima Puluh Kota,1307,959,24.183795620437955,23.34,29.942,32.98,6.8711157455683,7.3
idn.13.1309,Pasaman,1308,1143,20.003370078740158,19.31,30.361999999999995,39.04,6.630183727034121,7.6
idn.13.1310,Solok Selatan,1311,962,11.380748440748441,11.35,13.66,18.1,5.987733887733888,6.7
idn.13.1311,Dharmasraya,1310,847,10.72694214876033,10.19,14.014,16.19,5.91770956316411,6.5
idn.13.1312,Pasaman Barat,1312,1130,25.13241592920354,24.235,36.085,40.12,7.014159292035398,7.6
idn.13.1371,Kota Padang,1371,205,32.806682926829275,30.42,45.514,47.58,7.310731707317073,8.0
idn.13.1372,Kota Solok,1372,17,28.82470588235294,29.23,30.592,30.66,7.170588235294117,7.3
idn.13.1373,Kota Sawahlunto,1373,68,27.45823529411765,27.705,30.016000000000002,30.56,7.11029411764706,7.3
idn.13.1374,Kota Padang Panjang,1374,7,40.88428571428572,41.1,42.922,43.51,7.514285714285714,7.6
idn.13.1375,Kota Bukittinggi,1375,8,30.19875,29.62,31.613,31.76,6.4624999999999995,6.6
idn.13.1376,Kota Payakumbuh,1376,21,29.90190476190476,29.94,30.63,31.05,7.104761904761904,7.2
idn.13.1377,Kota Pariaman,1377,21,52.28809523809524,51.75,53.62,54.4,8.014285714285714,8.1
