observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bnpbobs_01069c49b80a997aef7b7016,flood_events,idn.13.1374,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1374:KOTA PADANG PANJANG; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_0748dbeb4c966a7e4bdab7cb,flood_events,idn.13.1372,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1372:KOTA SOLOK; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_0c1db0e96a32b36f42dffc46,flood_events,idn.13.1304,2024-01-01,2024-12-31,annual,5,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1303:SIJUNJUNG; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_13c186b57f5aea6bd98285c4,flood_events,idn.13.1375,2024-01-01,2024-12-31,annual,2,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1375:KOTA BUKITTINGGI; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_1ca1c8dcfdc95c6d00afe2e3,landslide_events,idn.13.1376,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1376:KOTA PAYAKUMBUH; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_1cafde1d3b88f9f6ec3612d8,landslide_events,idn.13.1312,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1312:PASAMAN BARAT; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_233c1a50ed1d2ec4c65290fb,flood_events,idn.13.1377,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1377:KOTA PARIAMAN; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_26da2e3c15cefb6f877750a1,flood_events,idn.13.1306,2024-01-01,2024-12-31,annual,3,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1305:PADANG PARIAMAN; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_2b8882d0cad453378616d1b2,flood_events,idn.13.1376,2024-01-01,2024-12-31,annual,1,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1376:KOTA PAYAKUMBUH; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_364f283ddf12fa24dc38a80c,flood_events,idn.13.1311,2024-01-01,2024-12-31,annual,8,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1310:DHARMASRAYA; mapping=explicit_permendagri_current_crosswalk; source_column=BANJIR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_36c5f9d7530d6cac4da4132b,landslide_events,idn.13.1305,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1304:TANAH DATAR; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_3b249dc75fcd21f5f6df4a07,landslide_events,idn.13.1374,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1374:KOTA PADANG PANJANG; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_3c7c1a38e74a9274207e0bc2,landslide_events,idn.13.1310,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1311:SOLOK SELATAN; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_58cc96aa762a3dc1fc266796,landslide_events,idn.13.1372,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1372:KOTA SOLOK; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
bnpbobs_691dc9cc96386b2f3bca49c9,landslide_events,idn.13.1309,2024-01-01,2024-12-31,annual,0,count,observed,bnpbprov_524b35c315b425ba45af6fbe,false,,BNPB/DIBI 2024 event classification,,source_geography=1308:PASAMAN; mapping=explicit_permendagri_current_crosswalk; source_column=TANAH LONGSOR; independent_official_crosscheck=passed; recorded-event series may be affected by reporting intensity and classification practice.
