year,geography_id,geography_name,irbi_hazard_id,source_hazard_label,risk_score,risk_class,source_rank_national,unit,claim_type,source_family,source_page
2024,idn.13.1302,Pesisir Selatan,drought,Kekeringan,13.95,tinggi,297,index_points,official_hazard_risk_index,BNPB IRBI 2024,316
2024,idn.13.1303,Solok,drought,Kekeringan,24.00,tinggi,65,index_points,official_hazard_risk_index,BNPB IRBI 2024,309
2024,idn.13.1304,Sijunjung,drought,Kekeringan,23.65,tinggi,108,index_points,official_hazard_risk_index,BNPB IRBI 2024,311
2024,idn.13.1305,Tanah Datar,drought,Kekeringan,24.00,tinggi,66,index_points,official_hazard_risk_index,BNPB IRBI 2024,310
2024,idn.13.1306,Padang Pariaman,drought,Kekeringan,15.91,tinggi,249,index_points,official_hazard_risk_index,BNPB IRBI 2024,315
2024,idn.13.1307,Agam,drought,Kekeringan,23.55,tinggi,111,index_points,official_hazard_risk_index,BNPB IRBI 2024,311
2024,idn.13.1308,Lima Puluh Kota,drought,Kekeringan,24.00,tinggi,67,index_points,official_hazard_risk_index,BNPB IRBI 2024,310
2024,idn.13.1309,Pasaman,drought,Kekeringan,24.00,tinggi,68,index_points,official_hazard_risk_index,BNPB IRBI 2024,310
2024,idn.13.1310,Solok Selatan,drought,Kekeringan,18.83,tinggi,189,index_points,official_hazard_risk_index,BNPB IRBI 2024,313
2024,idn.13.1311,Dharmasraya,drought,Kekeringan,19.98,tinggi,175,index_points,official_hazard_risk_index,BNPB IRBI 2024,313
2024,idn.13.1312,Pasaman Barat,drought,Kekeringan,19.93,tinggi,177,index_points,official_hazard_risk_index,BNPB IRBI 2024,313
2024,idn.13.1371,Padang,drought,Kekeringan,14.94,tinggi,271,index_points,official_hazard_risk_index,BNPB IRBI 2024,316
2024,idn.13.1372,Solok,drought,Kekeringan,21.47,tinggi,145,index_points,official_hazard_risk_index,BNPB IRBI 2024,312
2024,idn.13.1373,Sawahlunto,drought,Kekeringan,18.01,tinggi,201,index_points,official_hazard_risk_index,BNPB IRBI 2024,313
2024,idn.13.1374,Padang Panjang,drought,Kekeringan,24.00,tinggi,69,index_points,official_hazard_risk_index,BNPB IRBI 2024,310
2024,idn.13.1375,Bukittinggi,drought,Kekeringan,24.00,tinggi,70,index_points,official_hazard_risk_index,BNPB IRBI 2024,310
2024,idn.13.1376,Payakumbuh,drought,Kekeringan,23.20,tinggi,124,index_points,official_hazard_risk_index,BNPB IRBI 2024,311
2024,idn.13.1377,Pariaman,drought,Kekeringan,16.49,tinggi,225,index_points,official_hazard_risk_index,BNPB IRBI 2024,314
2024,idn.13.1301,Kepulauan Mentawai,earthquake,Gempabumi,26.64,tinggi,46,index_points,official_hazard_risk_index,BNPB IRBI 2024,227
2024,idn.13.1302,Pesisir Selatan,earthquake,Gempabumi,13.45,tinggi,255,index_points,official_hazard_risk_index,BNPB IRBI 2024,233
2024,idn.13.1303,Solok,earthquake,Gempabumi,32.40,tinggi,10,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
2024,idn.13.1304,Sijunjung,earthquake,Gempabumi,21.29,tinggi,127,index_points,official_hazard_risk_index,BNPB IRBI 2024,229
2024,idn.13.1305,Tanah Datar,earthquake,Gempabumi,32.40,tinggi,11,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
2024,idn.13.1306,Padang Pariaman,earthquake,Gempabumi,14.32,tinggi,234,index_points,official_hazard_risk_index,BNPB IRBI 2024,232
2024,idn.13.1307,Agam,earthquake,Gempabumi,31.79,tinggi,30,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
2024,idn.13.1308,Lima Puluh Kota,earthquake,Gempabumi,21.60,tinggi,75,index_points,official_hazard_risk_index,BNPB IRBI 2024,228
2024,idn.13.1309,Pasaman,earthquake,Gempabumi,32.40,tinggi,12,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
2024,idn.13.1310,Solok Selatan,earthquake,Gempabumi,25.42,tinggi,49,index_points,official_hazard_risk_index,BNPB IRBI 2024,227
2024,idn.13.1311,Dharmasraya,earthquake,Gempabumi,17.98,tinggi,160,index_points,official_hazard_risk_index,BNPB IRBI 2024,230
2024,idn.13.1312,Pasaman Barat,earthquake,Gempabumi,17.93,tinggi,161,index_points,official_hazard_risk_index,BNPB IRBI 2024,230
2024,idn.13.1371,Padang,earthquake,Gempabumi,13.44,tinggi,256,index_points,official_hazard_risk_index,BNPB IRBI 2024,233
2024,idn.13.1372,Solok,earthquake,Gempabumi,28.98,tinggi,42,index_points,official_hazard_risk_index,BNPB IRBI 2024,227
2024,idn.13.1373,Sawahlunto,earthquake,Gempabumi,16.21,tinggi,186,index_points,official_hazard_risk_index,BNPB IRBI 2024,231
2024,idn.13.1374,Padang Panjang,earthquake,Gempabumi,32.40,tinggi,13,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
2024,idn.13.1375,Bukittinggi,earthquake,Gempabumi,32.40,tinggi,14,index_points,official_hazard_risk_index,BNPB IRBI 2024,226
