NO,KABUPATEN/KOTA,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,KELAS RISIKO 2024
1,AGAM,209.20,209.20,209.20,209.20,209.20,209.20,193.52,193.52,204.32,204.61,TINGGI
2,PASAMAN BARAT,203.20,203.20,203.20,203.20,203.20,203.20,203.20,203.20,203.20,192.85,TINGGI
3,KEPULAUAN MENTAWAI,197.20,197.20,197.20,197.20,197.20,197.20,197.20,197.20,184.08,190.67,TINGGI
4,PASAMAN,178.00,178.00,178.00,178.00,178.00,178.00,176.80,176.80,177.50,177.65,TINGGI
5,KOTA PADANG,209.20,209.20,191.60,191.60,169.92,169.92,181.70,179.03,166.99,155.96,TINGGI
6,KOTA PARIAMAN,171.20,171.20,171.20,171.20,171.20,171.20,171.20,157.28,146.81,153.04,TINGGI
7,PADANG PARIAMAN,196.80,196.80,184.11,184.11,180.72,167.21,156.73,156.73,161.48,152.17,TINGGI
8,PESISIR SELATAN,189.60,189.60,189.60,189.60,189.60,189.60,169.42,152.96,162.58,149.22,TINGGI
9,SOLOK,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,SEDANG
10,DHARMASRAYA,143.20,143.20,143.20,143.20,143.20,143.20,137.69,137.69,141.50,134.81,SEDANG
11,KOTA BUKITTINGGI,130.00,130.00,130.00,130.00,130.00,130.00,130.00,128.01,128.61,128.61,SEDANG
12,TANAH DATAR,125.20,125.20,125.20,125.20,125.20,125.20,125.20,125.20,125.20,125.20,SEDANG
13,KOTA SOLOK,125.20,125.20,125.20,125.20,125.20,125.20,125.20,115.82,121.93,124.92,SEDANG
14,SOLOK SELATAN,137.20,137.20,137.20,137.20,137.20,137.20,137.20,137.20,130.03,123.31,SEDANG
15,LIMA PULUH KOTA,119.20,119.20,119.20,119.20,119.20,119.20,119.20,119.20,119.20,119.20,SEDANG
16,KOTA SAWAHLUNTO,113.20,113.20,113.20,113.20,113.20,113.20,113.20,101.08,107.47,114.22,SEDANG
17,KOTA PADANG PANJANG,113.20,113.20,113.20,113.20,113.20,113.20,113.20,113.20,113.20,113.20,SEDANG
18,SIJUNJUNG,107.20,107.20,107.20,107.20,107.20,107.20,107.20,107.20,107.20,106.73,SEDANG
19,KOTA PAYAKUMBUH,104.80,104.80,104.80,104.80,104.80,104.80,104.80,104.80,104.80,104.80,SEDANG
