krb_hazard_id,source_hazard_label,section_id,priority_and_scope_context_source_native,action_detail_status,claim_type,cross_source_taxonomy_equivalence_authorized,prediction_claim_authorized
flood,BANJIR,krb_4_2_1,"Rekomendasi pengurangan risiko bencana banjir diprioritaskan kepada daerah yang memiliki kelas risiko tinggi yaitu Kabupaten Pesisir Selatan, Solok, Sijunjung, Agam, Lima Puluh Kota, Pasaman, Kepulauan Mentawai, Dharmasraya, Solok Selatan, Pasaman Barat dan Kota Sawahlunto sehingga direkomendasikan kegiatan-kegiatan penataan ruang, mitigasi struktural dan penyuluhan/kampanye penyadartahuan masyarakat, seperti:",flat_actions_materialized,official_recommendation_priority_context,false,false
flash_flood,BANJIR BANDANG,krb_4_2_2,"Wilayah yang terdampak bencana banjir bandang untuk kelas risiko tinggi adalah Kabupaten Pesisir Selatan, Solok, Sijunjung, Tanah Datar, Padang Pariaman, Agam, Lima Puluh Kota, Pasaman, Kepulauan Mentawai, Dharmasraya, Solok Selatan, Pasaman Barat, Kota Padang, Kota Solok dan Kota Sawahlunto. Rekomendasi pengurangan risiko bencana banjir bandang antara lain melalui kegiatan-kegiatan penataan ruang, mitigasi struktural dan penyuluhan/kampanye penyadartahuan masyarakat, seperti:",flat_actions_materialized,official_recommendation_priority_context,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,"Bencana cuaca ekstrim (angin puting beliung) berpotensi terjadi di seluruh kabupaten/kota di Provinsi Sumatera Barat. Dari hasil pengkajian untuk rekomendasi prioritas pada daerah yang tergolong kelas risiko tinggi untuk cuaca ekstrim Kabupaten Pesisir Selatan, Solok, Tanah Datar, Padang Pariaman, Agam, Lima Puluh Kota, Pasaman, Dharmasraya, Pasaman Barat, Kota Padang, Kota Solok, Kota Padang Panjang, Kota Payakumbuh dan Kota Pariaman. Rekomendasi yang bisa dilakukan terkait adanya bahaya cuaca ekstrim antara lain:",flat_actions_materialized,official_recommendation_priority_context,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,Bencana gelombang ekstrim dan abrasi berpotensi terjadi di 7 kabupaten/kota di pesisir Provinsi Sumatera Barat. Untuk Kabupaten Pesisir Selatan dan Kabupaten Pasaman Barat tergolong kelas risiko tinggi. Upaya-upaya yang dapat dilakukan dalam pencegahan dan pengurangan risiko bencana gelombang ekstrim dan abrasi sebagai berikut:,flat_actions_materialized,official_recommendation_priority_context,false,false
earthquake,GEMPABUMI,krb_4_2_5,"Gempabumi merupakan bencana geologi yang tidak bisa dicegah. Bencana gempabumi berpotensi terjadi di seluruh kabupaten/kota di Provinsi Sumatera Barat. Kabupaten Pesisir Selatan, Solok, Tanah Datar, Padang Pariaman, Agam, Lima Puluh Kota, Pasaman, Kepulauan Mentawai, Solok Selatan, Pasaman Barat, Kota Padang, Kota Solok, Kota Sawahlunto, Kota Padang Panjang, Kota Bukittinggi, Kota Payakumbuh dan Kota Pariaman merupakan daerah prioritas kelas risiko tinggi maka rekomendasi yang bisa dilakukan terkait adanya bahaya bencana gempabumi antara lain:",flat_actions_materialized,official_recommendation_priority_context,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,"Likuefaksi merupakan bencana ikutan dari adanya gempa, Bencana likuefaksi berpotensi memapar 16 kabupaten/kota (kecuali Kabupaten Kepulauan Mentawai, Kota Bukittinggi dan Padang Panjang) di Provinsi Sumatera Barat. Kabupaten Solok Selatan merupakan kabupaten/kota yang tergolong pada kelas risiko tinggi. Untuk daerah prioritas kelas risiko tinggi maka rekomendasi yang bisa dilakukan terkait adanya bahaya bencana likuefaksi antara lain:",flat_actions_materialized,official_recommendation_priority_context,false,false
forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,krb_4_2_7,"Bencana kebakaran hutan dan lahan berpotensi terjadi di seluruh kabupaten/kota di Provinsi Sumatera Barat. Terdapat 6 (enam) Kota dan 1 (satu) Kabupaten di Provinsi Sumatera Barat memiliki kelas risiko Rendah, Selanjutnya 10 (sepuluh) kabupaten dan 1 (satu) kota tergolong kelas risiko sedang. Hanya Kabupaten Pesisir Selatan yang memiliki kelas risiko Tinggi. Upaya-upaya yang dapat dilakukan dalam pencegahan dan pengurangan risiko bencana kebakaran hutan dan lahan adalah sebagai berikut:",flat_actions_materialized,official_recommendation_priority_context,false,false
drought,KEKERINGAN,krb_4_2_8,"Bencana kekeringan secara umum meliputi seluruh wilayah kabupaten/kota di Provinsi Sumatera Barat. Jika dilihat dari rekapitulasi kelas bahaya, kerentanan dan kapasitas maka kelas risiko untuk bencana kekeringan di 16 kabupaten/kota di Provinsi Sumatera Barat tergolong sedang. Sedangkan Kota Payakumbuh tergolong kelas risiko rendah. Untuk Kabupaten Pesisir Selatan dan Kabupaten Kepulauan Mentawai berada pada kelas risiko tinggi. Rekomendasi terkait bencana kekeringan antara lain kegiatan melalui penataan ruang, pengelolaan penggunaan sumber daya air:",flat_actions_materialized,official_recommendation_priority_context,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,"Provinsi Sumatera Barat memiliki 5 buah gunungapi yang berdasarkan pengkajian semua gunung tersebut tergolong kelas risiko tinggi. Kabupaten Solok, Agam, Tanah datar, Padang Pariaman, Pasaman, Pasaman Barat, Solok Selatan, Kota Solok, Kota Padang Panjang merupakan wilayah yang berada pada kawasan rawan bencana letusan gunungapi. Untuk itu rekomendasi yang bisa dilakukan terkait adanya bahaya bencana letusan gunungapi antara lain:",flat_actions_materialized,official_recommendation_priority_context,false,false
landslide,TANAH LONGSOR,krb_4_2_10,"Wilayah yang terdampak bencana tanah longsor yang tergolong kelas risiko tinggi adalah Kabupaten Pesisir Selatan, Solok, Padang Pariaman, Agam, Lima Puluh Kota, Pasaman, Kepulauan Mentawai, Solok Selatan, Pasaman Barat, Kota Padang, Kota Solok dan Kota Sawahlunto. Rekomendasi terkait upaya pengurangan risiko bencana tanah longsor disesuaikan dengan akar permasalahan yang teridentifikasi sebagai berikut:",flat_actions_materialized,official_recommendation_priority_context,false,false
