observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bnpbtotalobs_e0327267b562f1b2aec5dd85,total_disaster_events,idn.13.1301,2010-01-01,2010-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_9484dd6559757ada68e80343,total_disaster_events,idn.13.1301,2011-01-01,2011-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_036f6ee8d3c89eea9d3705d4,total_disaster_events,idn.13.1301,2012-01-01,2012-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_d8b21c51bcfbe287637f67d2,total_disaster_events,idn.13.1301,2013-01-01,2013-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_4903616371eb88708ccddd80,total_disaster_events,idn.13.1301,2014-01-01,2014-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_43293967572d3f34ada7683a,total_disaster_events,idn.13.1301,2015-01-01,2015-12-31,annual,0,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_d49ab6926bf376acc9908ecc,total_disaster_events,idn.13.1301,2016-01-01,2016-12-31,annual,0,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_20dbe413f95239600681473c,total_disaster_events,idn.13.1301,2017-01-01,2017-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_16b4ac34f976fa469bd50c90,total_disaster_events,idn.13.1301,2018-01-01,2018-12-31,annual,4,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_1fe8a267b0edcaeee71a8be9,total_disaster_events,idn.13.1301,2019-01-01,2019-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_15535dfad4668470a0d26b8e,total_disaster_events,idn.13.1301,2020-01-01,2020-12-31,annual,9,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_a2684a78ea17cebbf0613aa1,total_disaster_events,idn.13.1301,2021-01-01,2021-12-31,annual,11,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_fde386356a77d659d231c22b,total_disaster_events,idn.13.1301,2022-01-01,2022-12-31,annual,5,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_56e40bc8ed6850fb596b24e9,total_disaster_events,idn.13.1301,2023-01-01,2023-12-31,annual,10,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_cb521f642b0a8a5b4e2a94d8,total_disaster_events,idn.13.1301,2024-01-01,2024-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1309.0:KEPULAUAN MENTAWAI; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_beb62f7c4caf9b26c4516656,total_disaster_events,idn.13.1302,2010-01-01,2010-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1301.0:PESISIR SELATAN; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_467757dc621319db64d0ce8e,total_disaster_events,idn.13.1302,2011-01-01,2011-12-31,annual,7,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1301.0:PESISIR SELATAN; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_6f1cae752e8b5c3ad64fbb4b,total_disaster_events,idn.13.1302,2012-01-01,2012-12-31,annual,8,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1301.0:PESISIR SELATAN; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_f43497cea5e542c0298b95aa,total_disaster_events,idn.13.1302,2013-01-01,2013-12-31,annual,2,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1301.0:PESISIR SELATAN; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_26f10c9d34a57b685af63d25,total_disaster_events,idn.13.1302,2014-01-01,2014-12-31,annual,0,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1301.0:PESISIR SELATAN; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
