siren_id,source_number,location_name,address,geography_id,canonical_name,source_geography,ownership,installed_year,latitude,longitude,source_status,normalized_status,status_check_date
bpbd-sumbar-siren-01,1,Sirine Kantor DPRD Provinsi,Jl. Khatib Sulaiman,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.9067056,100.35205,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-02,2,Sirine Mesjid Muhajirin,Pasir Putih,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.86565,100.33548,,unknown,2024-02-26
bpbd-sumbar-siren-03,3,Sirine Kampus Bung Hatta,Jl. Paus Ulak Karang,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.90605,100.3446,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-04,4,Sirine Kampus FIP UNP,Jl. Prof Dr Hamka,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.8966167,100.3501861,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-05,5,Sirine Mesjid/Shelter Nurul Haq,Jl. Bengkulu Tabing,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.88172,100.34411,,unknown,2024-02-26
bpbd-sumbar-siren-06,6,Sirine Linggar Jati Mesjid Darussalam,Jl. Gunung Agung Tabing,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.86808,100.33949,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-07,7,Sirine Mesjid Raya Nailus Saadah,Jl. Adinegoro,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.85042,100.33486,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-08,8,Sirine SMA 1,Jl. Belanti Raya,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.9189583,100.3546111,AKTIF,active,2024-02-26
bpbd-sumbar-siren-09,9,SDN 23 dan 24 Ujung Gurun,Jl. Veteran,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.9325,100.35413,NON AKTIF,inactive,2024-02-26
bpbd-sumbar-siren-10,10,SMA Don Bosco,Jl. Bandar Gereja,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.95462,100.35635,,unknown,2024-02-26
bpbd-sumbar-siren-11,11,Sirine Kantor PU Muara,Jl. Arau,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.9656611,100.3544333,,unknown,2024-02-26
bpbd-sumbar-siren-12,12,Sirine Gedung Tanji/Keluarga Tan,Jl. Kelenteng,idn.13.1371,Padang,Kota Padang,BPBD Provinsi,2013,-0.96242,100.36203,,unknown,2024-02-26
