Kabupaten/Kota,Abrasi pantai,Angin kencang,Banjir,Banjir Bandang,Erupsi Gunung Api,Gelombang Pasang,Gempa Bumi,Kebakaran Hutan & Lahan,Kekeringan,Longsor,Jumlah
Kabupaten Agam,0,41,10,3,44,0,0,1,0,35,134
Kota Padang,0,110,1,0,0,0,0,0,0,5,116
Kabupaten Padang Pariaman,5,76,11,0,0,0,0,1,0,13,106
Kabupaten Pesisir Selatan,2,26,17,0,0,0,0,25,0,10,80
Kabupaten Tanah Datar,0,43,4,1,0,0,0,0,0,23,71
Kota Bukittinggi,0,50,16,0,0,0,0,0,0,4,70
Kabupaten Dharmasraya,0,7,10,0,0,0,0,19,17,2,55
Kabupaten Solok,0,24,4,3,0,0,0,5,0,17,53
Kabupaten Pasaman Barat,0,11,19,0,0,0,1,3,0,9,43
Kabupaten Sijunjung,0,25,6,0,0,0,0,5,0,7,43
Kota Pariaman,0,35,3,0,0,0,0,0,0,0,38
Kota Padang Panjang,0,28,2,0,0,0,0,2,0,3,35
Kota Payakumbuh,0,31,2,0,0,0,0,1,0,0,34
Kota Sawahlunto,0,18,0,0,0,0,0,3,0,11,32
Kabupaten Pasaman,0,5,16,3,0,0,0,0,0,7,31
Kabupaten Kepulauan Mentawai,1,5,12,0,0,1,0,1,2,4,26
Kabupaten Lima Puluh Kota,0,5,2,0,0,0,0,10,0,9,26
Kota Solok,0,21,4,0,0,0,0,0,0,0,25
Kabupaten Solok Selatan,0,1,5,0,0,0,0,0,0,7,13
Jumlah,8,562,144,10,44,1,1,76,19,166,1031
