year,geography_id,geography_name,source_geography_code,source_geography_name,event_count,unit,claim_type,source_family,source_resource_id
2024,idn.13.1307,Agam,1307,KABUPATEN AGAM,141,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1311,Dharmasraya,1311,KABUPATEN DHARMASRAYA,39,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1301,Kepulauan Mentawai,1301,KABUPATEN KEPULAUAN MENTAWAI,35,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1308,Lima Puluh Kota,1308,KABUPATEN LIMA PULUH KOTA,40,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1306,Padang Pariaman,1306,KABUPATEN PADANG PARIAMAN,91,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1309,Pasaman,1309,KABUPATEN PASAMAN,57,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1312,Pasaman Barat,1312,KABUPATEN PASAMAN BARAT,43,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1302,Pesisir Selatan,1302,KABUPATEN PESISIR SELATAN,70,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1304,Sijunjung,1304,KABUPATEN SIJUNJUNG,65,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1303,Solok,1303,KABUPATEN SOLOK,95,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1310,Solok Selatan,1310,KABUPATEN SOLOK SELATAN,26,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1305,Tanah Datar,1305,KABUPATEN TANAH DATAR,116,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1375,Bukittinggi,1375,KOTA BUKITTINGGI,54,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1371,Padang,1371,KOTA PADANG,86,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1374,Padang Panjang,1374,KOTA PADANG PANJANG,38,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1377,Pariaman,1377,KOTA PARIAMAN,67,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1376,Payakumbuh,1376,KOTA PAYAKUMBUH,46,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1373,Sawahlunto,1373,KOTA SAWAHLUNTO,44,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
2024,idn.13.1372,Solok,1372,KOTA SOLOK,13,count,observed_data,BPBD/Pusdalops Sumatera Barat Satu Data,9d99b5ed-a005-4b35-880c-7e9954c9ade5
