Kode Wilayah,Jenis Bencana,Jumlah Kejadian
1307,KABUPATEN AGAM,141
1311,KABUPATEN DHARMASRAYA,39
1301,KABUPATEN KEPULAUAN MENTAWAI,35
1308,KABUPATEN LIMA PULUH KOTA,40
1306,KABUPATEN PADANG PARIAMAN,91
1309,KABUPATEN PASAMAN,57
1312,KABUPATEN PASAMAN BARAT,43
1302,KABUPATEN PESISIR SELATAN,70
1304,KABUPATEN SIJUNJUNG,65
1303,KABUPATEN SOLOK,95
1310,KABUPATEN SOLOK SELATAN,26
1305,KABUPATEN TANAH DATAR,116
1375,KOTA BUKITTINGGI,54
1371,KOTA PADANG,86
1374,KOTA PADANG PANJANG,38
1377,KOTA PARIAMAN,67
1376,KOTA PAYAKUMBUH,46
1373,KOTA SAWAHLUNTO,44
1372,KOTA SOLOK,13
None,Total,1175
