observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,notes
bpbd-2023-idn.13.1301-deaths,deaths,idn.13.1301,2023-01-01,2023-12-31,annual,0,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-disaster_events_reported,disaster_events_reported,idn.13.1301,2023-01-01,2023-12-31,annual,26,count,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-displaced_people,displaced_people,idn.13.1301,2023-01-01,2023-12-31,annual,0,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-houses_heavily_damaged,houses_heavily_damaged,idn.13.1301,2023-01-01,2023-12-31,annual,10,houses,observed_reported,bpbd2023_housing,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-houses_lightly_damaged,houses_lightly_damaged,idn.13.1301,2023-01-01,2023-12-31,annual,3,houses,observed_reported,bpbd2023_housing,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-houses_moderately_damaged,houses_moderately_damaged,idn.13.1301,2023-01-01,2023-12-31,annual,0,houses,observed_reported,bpbd2023_housing,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-injured_or_sick_people,injured_or_sick_people,idn.13.1301,2023-01-01,2023-12-31,annual,0,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1301-missing_people,missing_people,idn.13.1301,2023-01-01,2023-12-31,annual,0,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Kepulauan Mentawai; missing values not inferred
bpbd-2023-idn.13.1302-deaths,deaths,idn.13.1302,2023-01-01,2023-12-31,annual,1,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Pesisir Selatan; missing values not inferred
bpbd-2023-idn.13.1302-disaster_events_reported,disaster_events_reported,idn.13.1302,2023-01-01,2023-12-31,annual,80,count,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Pesisir Selatan; missing values not inferred
bpbd-2023-idn.13.1302-displaced_people,displaced_people,idn.13.1302,2023-01-01,2023-12-31,annual,3,people,observed_reported,bpbd2023_social,false,true,bpbd-priority-context-v1,canonical_name=Pesisir Selatan; missing values not inferred
