plan_year,gap_id,theme,gap_label,geographic_scope,claim_type,quantified,source_document,source_excerpt_pages,municipality_identified
2026,planning_documents,planning,Dokumen perencanaan penanggulangan bencana di kabupaten/kota belum lengkap,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,dibi_access_accuracy,data_information,Akses dan keakuratan Data Informasi Bencana Indonesia (DIBI) masih kurang,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,dissemination_socialization,public_information,Diseminasi dan sosialisasi kebencanaan belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,trc_formation_training,response_capacity,Masih ada pemerintah daerah yang belum membentuk dan membina TRC PB,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,forum_prb,risk_reduction_governance,Masih ada pemerintah daerah yang belum membentuk Forum PRB,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,nagari_tangguh,community_resilience,Masih ada kabupaten/kota yang belum membentuk dan membina nagari tangguh,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,volunteer_development,community_resilience,Pembinaan relawan kebencanaan di kabupaten/kota belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,pusdalops_operations,operations,Operasional PUSDALOPS PB belum memadai,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,simulation_training,preparedness,Simulasi dan pelatihan kebencanaan bagi aparatur dan masyarakat belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,tes_evacuation_routes,evacuation_infrastructure,Tempat evakuasi sementara (TES) dan jalur evakuasi di wilayah rawan bencana belum memadai,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,preparedness_ews_equipment,early_warning,Peralatan kesiapsiagaan dan sistem peringatan dini bencana belum memadai,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,field_equipment_logistics,logistics,Peralatan lapangan dan logistik kebencanaan belum memadai,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,rehab_reconstruction_support_equipment,recovery_capacity,Peralatan penunjang pelaksanaan rehabilitasi dan rekonstruksi belum memadai,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,emergency_coordination,emergency_response,Koordinasi siaga darurat dan penanganan tanggap darurat di wilayah bencana belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,contingency_based_operations,emergency_response,Operasi siaga darurat dan penanganan darurat sesuai rencana kontingensi per jenis bencana belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,emergency_monitoring_evaluation,emergency_response,Monitoring dan evaluasi penanganan siaga darurat dan tanggap darurat belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,jitu_pasna,post_disaster_assessment,Masih ada kabupaten/kota yang belum menyusun JITU PASNA pada wilayah dengan status bencana,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,rehab_reconstruction_coordination,recovery_capacity,Koordinasi serta monitoring dan evaluasi rehabilitasi dan rekonstruksi belum maksimal,Provinsi Sumatera Barat / kabupaten-kota aggregate diagnostic,official_planning_diagnostic,false,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
