plan_year,record_id,program_or_activity,indicator,target_value,target_unit,geographic_scope,claim_type,source_document,source_excerpt_pages,actual_achievement_claimed
2026,preparedness_program_percent,Program Penanggulangan Bencana,Persentase kesiapsiagaan menghadapi bencana,72,percent,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,hazard_information_dissemination_percent,Pelayanan Informasi Rawan Bencana Provinsi,Persentase informasi rawan bencana provinsi yang disebarluaskan,56,percent,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,legalized_risk_assessment_documents,Penyusunan Kajian Risiko Bencana Provinsi,Jumlah Dokumen Kajian Risiko Bencana yang Dilegalisasi,1,document,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,hazard_kie_recipients,"Sosialisasi, Komunikasi, Informasi dan Edukasi (KIE) Rawan Bencana Provinsi (Per Jenis Bencana)",Jumlah warga negara termasuk kelompok rentan dan aparatur di kawasan risiko tinggi bencana lintas Kabupaten/Kota yang memperoleh KIE,425,people,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,trained_population_percent,Pelayanan Pencegahan dan Kesiapsiagaan Terhadap Bencana,Persentase masyarakat yang terlatih dalam mencegah dan menghadapi bencana,56,percent,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,preparedness_mechanism_areas,Penguatan Kapasitas Kawasan untuk Pencegahan dan Kesiapsiagaan Bencana,Jumlah kawasan rawan bencana yang ditargetkan dalam penguatan kapasitas,3,areas,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,preparedness_drill_participants,Gladi Kesiapsiagaan Terhadap Bencana,Jumlah warga negara dan aparatur di kawasan risiko tinggi bencana lintas Kabupaten/Kota yang terlibat gladi kesiapsiagaan,300,people,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,priority_hazard_contingency_plan_documents,Penyusunan Rencana Kontinjensi,Jumlah dokumen rencana kontinjensi per jenis ancaman bencana prioritas,1,document,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,risk_root_cause_actions,Pengelolaan Risiko Bencana,Jumlah akar masalah risiko bencana lintas Kabupaten/Kota yang tertangani,1,activity,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,certified_provincial_trc_personnel,Pengembangan Kapasitas Tim Reaksi Cepat (TRC) Bencana,Jumlah personil TRC tingkat Provinsi yang memiliki sertifikasi kompetensi untuk penanganan awal darurat bencana,60,people,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,high_risk_families_equipped,Penyediaan Peralatan Perlindungan dan Kesiapsiagaan Bencana,Jumlah keluarga di kawasan risiko tinggi bencana lintas Kabupaten/Kota yang memperoleh peralatan perlindungan dan kesiapsiagaan,750,families,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,skpdb_documents,Pengendalian Operasi dan Penyediaan Sarana Prasarana Kesiapsiagaan terhadap Bencana,Dokumen Sistem Komando Penanganan Darurat Bencana (SKPDB) dengan proses bisnis dan prosedur tetap yang dilegalkan,1,document,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
2026,prevention_mitigation_training_participants,Pelatihan Pencegahan dan Mitigasi Bencana,Jumlah warga negara termasuk kelompok rentan dan aparatur di kawasan risiko tinggi bencana lintas Kabupaten/Kota yang mengikuti pelatihan,120,people,Provinsi Sumatera Barat / lintas Kabupaten/Kota as stated,official_planning_target,Rencana Kerja BPBD Provinsi Sumatera Barat Tahun 2026,PDF physical pages 51-64,false
