Kabupaten/Kota,Jumlah Kejadian,Meninggal,Hilang,Luka/ Sakit,Mengungsi
Kabupaten Agam,134,27,-,1,-
Kota Padang,116,-,-,-,16
Kabupaten Padang Pariaman,106,2,-,10,1130
Kabupaten Pesisir Selatan,80,1,-,-,3
Kabupaten Tanah Datar,71,-,-,-,-
Kota Bukittinggi,70,-,-,-,-
Kabupaten Dharmasraya,55,-,-,-,3787
Kabupaten Solok,53,-,-,-,135
Kabupaten Pasaman Barat,43,-,-,4,109
Kabupaten Sijunjung,43,-,-,-,136
Kota Pariaman,38,-,-,-,-
Kota Padang Panjang,35,-,-,-,-
Kota Payakumbuh,34,-,-,-,-
Kota Sawahlunto,32,-,-,-,-
Kabupaten Pasaman,31,-,-,1,-
Kabupaten Kepulauan Mentawai,26,-,-,-,-
Kabupaten Lima Puluh Kota,26,-,-,2,4
Kota Solok,25,-,-,-,160
Kabupaten Solok Selatan,13,-,-,3170,-
,1031,30,-,3188,5480
