Kabupaten,Rusak Berat,Rusak Sedang,Rusak Ringan,Jumlah
Kabupaten Agam,42,21,105,168
Kota Padang,-,-,1,1
Kabupaten Padang Pariaman,8,-,19,27
Kabupaten Pesisir Selatan,3,-,1,4
Kabupaten Tanah Datar,-,2,4,6
Kota Bukittinggi,-,-,-,-
Kabupaten Dharmasraya,-,-,-,-
Kabupaten Solok,13,-,27,40
Kabupaten Pasaman Barat,3,-,240,243
Kabupaten Sijunjung,-,1,-,1
Kota Pariaman,-,-,-,-
Kota Padang Panjang,-,-,-,-
Kota Payakumbuh,-,-,-,-
Kota Sawahlunto,-,1,4,5
Kabupaten Pasaman,8,14,4,26
Kabupaten Kepulauan Mentawai,10,-,3,13
Kabupaten Lima Puluh Kota,2,1,54,57
Kota Solok,1,-,-,1
Kabupaten Solok Selatan,-,-,4,4
Jumlah,90,40,466,596
