Kode Wilayah,Jenis Bencana,Fasilitas Pendidikan,Fasilitasi Peribadatan,Fasilitas Kesehatan,Fasilitas Kantor,Jembatan
1307,KABUPATEN AGAM,11,9,1,2,23
1311,KABUPATEN DHARMASRAYA,12,0,0,1,4
1301,KABUPATEN KEPULAUAN MENTAWAI,0,1,0,0,0
1308,KABUPATEN LIMA PULUH KOTA,0,0,0,0,2
1306,KABUPATEN PADANG PARIAMAN,15,11,1,0,49
1309,KABUPATEN PASAMAN,1,1,0,0,1
1312,KABUPATEN PASAMAN BARAT,0,2,0,5,11
1302,KABUPATEN PESISIR SELATAN,25,34,1,1,19
1304,KABUPATEN SIJUNJUNG,1,2,2,0,4
1303,KABUPATEN SOLOK,2,1,0,1,0
1310,KABUPATEN SOLOK SELATAN,3,3,0,0,11
1305,KABUPATEN TANAH DATAR,3,10,1,1,28
1375,KOTA BUKITTINGGI,0,0,0,0,0
1371,KOTA PADANG,1,0,3,0,1
1374,KOTA PADANG PANJANG,1,0,0,0,0
1377,KOTA PARIAMAN,0,0,0,0,0
1376,KOTA PAYAKUMBUH,3,0,0,0,0
1373,KOTA SAWAHLUNTO,1,0,0,0,0
1372,KOTA SOLOK,0,0,0,0,0
,TOTAL,79,74,9,11,153
