Kode Wilayah,Jenis Bencana,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam
1307,KABUPATEN AGAM,70,46,303,334
1311,KABUPATEN DHARMASRAYA,0,608,2,1751
1301,KABUPATEN KEPULAUAN MENTAWAI,1,3,34,1282
1308,KABUPATEN LIMA PULUH KOTA,19,6,17,5
1306,KABUPATEN PADANG PARIAMAN,23,71,23,9138
1309,KABUPATEN PASAMAN,0,0,0,403
1312,KABUPATEN PASAMAN BARAT,18,7,2,1118
1302,KABUPATEN PESISIR SELATAN,1186,4326,4673,35182
1304,KABUPATEN SIJUNJUNG,7,0,51,62
1303,KABUPATEN SOLOK,6,3,5,17
1310,KABUPATEN SOLOK SELATAN,30,26,60,278
1305,KABUPATEN TANAH DATAR,185,51,5,0
1375,KOTA BUKITTINGGI,0,0,0,88
1371,KOTA PADANG,6,3,11,0
1374,KOTA PADANG PANJANG,3,0,2,0
1377,KOTA PARIAMAN,1,2,6,62
1376,KOTA PAYAKUMBUH,14,22,65,15
1373,KOTA SAWAHLUNTO,3,4,4,0
1372,KOTA SOLOK,0,0,0,40
,TOTAL,1572,5178,5263,49775
