Kode Wilayah,Jenis Bencana,Jumlah Kejadian
1307,KABUPATEN AGAM,141.9999999999999
1311,KABUPATEN DHARMASRAYA,39
1301,KABUPATEN KEPULAUAN MENTAWAI,35.99999999999999
1308,KABUPATEN LIMA PULUH KOTA,40.99999999999998
1306,KABUPATEN PADANG PARIAMAN,91.99999999999982
1309,KABUPATEN PASAMAN,57.000000000000014
1312,KABUPATEN PASAMAN BARAT,43
1302,KABUPATEN PESISIR SELATAN,70.00000000000004
1304,KABUPATEN SIJUNJUNG,65
1303,KABUPATEN SOLOK,95.00000000000001
1310,KABUPATEN SOLOK SELATAN,26.999999999999982
1305,KABUPATEN TANAH DATAR,116.00000000000017
1375,KOTA BUKITTINGGI,54.999999999999986
1371,KOTA PADANG,86.99999999999999
1374,KOTA PADANG PANJANG,38
1377,KOTA PARIAMAN,67.99999999999996
1376,KOTA PAYAKUMBUH,46.999999999999986
1373,KOTA SAWAHLUNTO,44.000000000000014
1372,KOTA SOLOK,13.000000000000002
,Total,1175
