Kode Wilayah,Jenis Bencana,Meninggal,Hilang,Luka/Sakit,Menderita,Mengungsi
1307,KABUPATEN AGAM,27,0,26,0,1320
1311,KABUPATEN DHARMASRAYA,3,0,5,200,3676
1301,KABUPATEN KEPULAUAN MENTAWAI,0,0,0,0,6
1308,KABUPATEN LIMA PULUH KOTA,2,1,0,0,0
1306,KABUPATEN PADANG PARIAMAN,6,4,4,188,0
1309,KABUPATEN PASAMAN,0,0,0,0,0
1312,KABUPATEN PASAMAN BARAT,1,0,2,0,446
1302,KABUPATEN PESISIR SELATAN,25,5,0,0,72419
1304,KABUPATEN SIJUNJUNG,0,0,0,4,181
1303,KABUPATEN SOLOK,13,0,25,150,885
1310,KABUPATEN SOLOK SELATAN,0,0,0,0,284
1305,KABUPATEN TANAH DATAR,33,10,2,0,904
1375,KOTA BUKITTINGGI,0,0,0,39,0
1371,KOTA PADANG,2,0,6,0,0
1374,KOTA PADANG PANJANG,2,0,1,0,0
1377,KOTA PARIAMAN,0,0,1,0,0
1376,KOTA PAYAKUMBUH,0,0,1,0,0
1373,KOTA SAWAHLUNTO,0,0,0,0,0
1372,KOTA SOLOK,0,0,0,344,9
,TOTAL,114,20,73,925,80130
