
,DAFTAR SIRINE TSUNAMI BPBD PROVINSI SUMATERA BARAT

NO,LOKASI,ALAMAT,KAB/KOTA,STATUS KEPEMILIKAN,TAHUN,KOORDINAT,,KONDISI PENGECEKAN TERAKHIR 26 FEBRUARI 2024
,,,,,,LINTANG,BUJUR
1,Sirine Kantor DPRD Provinsi ,Jl. Khatib Sulaiman,Kota Padang,BPBD Provinsi,2013,-0.9067056,100.35205,NON AKTIF
2,Sirine Mesjid Muhajirin,Pasir Putih,Kota Padang,BPBD Provinsi,2013,-0.86565,100.33548
3,Sirine Kampus Bung Hatta,Jl. Paus Ulak Karang,Kota Padang,BPBD Provinsi,2013,-0.90605,100.3446,NON AKTIF
4,Sirine Kampus FIP UNP,Jl. Prof Dr Hamka,Kota Padang,BPBD Provinsi,2013,-0.8966167,100.3501861,NON AKTIF
5,Sirine Mesjid/Shelter Nurul Haq,Jl. Bengkulu Tabing,Kota Padang,BPBD Provinsi,2013,-0.88172,100.34411
6,Sirine Linggar Jati Mesjid Darussalam,Jl. Gunung Agung Tabing,Kota Padang,BPBD Provinsi,2013,-0.86808,100.33949,NON AKTIF
7,Sirine Mesjid Raya Nailus Saadah,Jl. Adinegoro,Kota Padang,BPBD Provinsi,2013,-0.85042,100.33486,NON AKTIF
8,Sirine SMA 1,Jl. Belanti Raya,Kota Padang,BPBD Provinsi,2013,-0.9189583,100.3546111,AKTIF
9,SDN 23 dan 24 Ujung Gurun,Jl. Veteran,Kota Padang,BPBD Provinsi,2013,-0.9325,100.35413,NON AKTIF
10,SMA Don Bosco,Jl. Bandar Gereja,Kota Padang,BPBD Provinsi,2013,-0.95462,100.35635
11,Sirine Kantor PU Muara ,Jl. Arau,Kota Padang,BPBD Provinsi,2013,-0.9656611,100.3544333
12,Sirine Gedung Tanji/Keluarga Tan,Jl. Kelenteng,Kota Padang,BPBD Provinsi,2013,-0.96242,100.36203
13,Sirine Grand Zuri Hotel,Jl. Alang Laweh,Kota Padang,BPBD Provinsi,2013,-0.9546,100.36427,AKTIF
14,Sirine Mercure Hotel,Jl. Purus,Kota Padang,BPBD Provinsi,2013,-0.9360972,100.3528167,AKTIF
15,Sirine SD 03 dan 04 Ujung Gurun,Jll. Veteran,Kota Padang,BPBD Provinsi,2013,-0.9393,100.3540944,AKTIF
16,Sirine Kantor Gubernur/Escape Buliding,Jl. Sudirman,Kota Padang,BPBD Provinsi,2013,-0.9368694,100.3601,AKTIF
17,Sirine Cavery Beach Hotel,Bungus Teluk Kabung,Kota Padang,BPBD Provinsi,2013,-1.04724,100.41233,NON AKTIF
18,Sirine Pantai Air Manis,Air Manis,Kota Padang,BPBD Provinsi,2013,-0.98886,100.36148
19,Sirine Yamaha Tjahaya Baru,Jl. Damar,Kota Padang,BPBD Provinsi,2019,-0.944896667,100.3543,NON AKTIF
20,Sirine Kantor Bappeda,Jl. Khatib Sulaiman,Kota Padang,BPBD Provinsi,2019,-0.925883333,100.3608483,AKTIF
21,Sirine Lapas Muaro,Jl. Muara,Kota Padang,BPBD Provinsi,2019,-0.96278,100.353555
22,Sirine Dinas Kebudayaan Provinsi,Jl. Samudera,Kota Padang,BPBD Provinsi,2019,-0.954838333,100.3532061
23,Sirine Kantor BPBD Provinsi,Jl. Sudirman,Kota Padang,BPBD Provinsi,2019,-0.938705,100.3611433,NON AKTIF
24,Sirine UPT/Pusdalops,Jl. Indarung,Kota Padang,BPBD Provinsi,2019,-0.953290833,100.4282728
25,Sirine Bank Nagari,Jl. Pemuda,Kota Padang,BPBD Provinsi,2019,-0.949391667,100.3545917,AKTIF
26,Sirine RS Selaguri,Jl. Ahmad Yani,Kota Padang,BPBD Provinsi,2019,-0.942361667,100.3580067,AKTIF
27,Sirine Mesjid Al Falah,Padang Sarai,Kota Padang,BPBD Provinsi,2019,-0.808078333,100.307885
28,Sirine Mesjid Darul Muttaqin,Pasia Nan Tigo,Kota Padang,BPBD Provinsi,2019,-0.85173,100.3277567,AKTIF
29,Sirine Mesjid Jihad Jondul V,Tabing,Kota Padang,BPBD Provinsi,2019,-0.876155278,100.3419714
30,Sirine SMP N 7 ,Lolong,Kota Padang,BPBD Provinsi,2019,-0.920785,100.3517167,AKTIF
31,Sirine Gaung (Rumah Hendri),Jl. Palembang 53,Kota Padang,BPBD Provinsi,2019,-0.99488,100.3854467,AKTIF
32,Sirine Al Amin,Lubuk Buaya,Kota Padang,BPBD Provinsi,2019,-0.83684,100.327055
33,Sirine Al Mughni Pantai Kata,Pantai Kata,Kota Pariaman,BPBD Provinsi,2019,-0.647096667,100.13067
34,Sirine Mesjid Nurul Bahari,Gandoriah,Kota Pariaman,BPBD Provinsi,2019,-0.627336944,100.1162967
35,Sirine Penginapan Buana Lestari,Ketaping,Padang Pariaman,BPBD Provinsi,2019,-0.786251667,100.30214
36,Sirine TPI Tiku,Tiku Selatan,Agam,BPBD Provinsi,2019,-0.400803333,99.91478167
37,Sirine Jorong Pondok Sasak,Jorong Pondok,Pasaman Barat,BPBD Provinsi,2019,-0.016092222,99.72446889
