observation_id,indicator_id,geography_id,geography_name,bps_province_code,year,reference_period,value_numeric,unit,claim_type,source_series_id,panel_provenance_id,comparability_regime,methodology_version,price_basis,geographic_backcasting_performed,imputation_performed
m24obs_d4d11f70586c85e1db4fe402,gini_ratio,idn.11,Aceh,11,2018,Maret,0.325,index,observed,m5_gini_march,m24prov_c724cf27f32bf89c883b573f,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_a71c4eb885e71aff0257e876,gini_ratio,idn.11,Aceh,11,2019,Maret,0.319,index,observed,m5_gini_march,m24prov_014acb2b7f4370048fd94c16,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_5da5490166eefb66d49286e0,gini_ratio,idn.11,Aceh,11,2020,Maret,0.323,index,observed,m5_gini_march,m24prov_3763d8a81cfffae70e1774b7,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_ca0d437b07e8381eca877f2d,gini_ratio,idn.11,Aceh,11,2021,Maret,0.324,index,observed,m5_gini_march,m24prov_bab431dee7a43e7365293a9b,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_f867b12d2196a41b0f6a3da5,gini_ratio,idn.11,Aceh,11,2022,Maret,0.311,index,observed,m5_gini_march,m24prov_a605891cf57809d2cc212e95,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_34fff0420dfa063f7f695562,gini_ratio,idn.11,Aceh,11,2023,Maret,0.296,index,observed,m5_gini_march,m24prov_913eafca991ebd72cc133894,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_c02f3fa7342ab53f2cbb4354,gini_ratio,idn.11,Aceh,11,2024,Maret,0.294,index,observed,m5_gini_march,m24prov_31575ab730cd1c8f44a59a31,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_f3e2eb886b980534a87b26a9,gini_ratio,idn.11,Aceh,11,2025,Maret,0.282,index,observed,m5_gini_march,m24prov_9325ac10d2e17606bcf2fdfb,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_5fdc1e83791c0a0b81a74566,gini_ratio,idn.12,Sumatera Utara,12,2018,Maret,0.318,index,observed,m5_gini_march,m24prov_c724cf27f32bf89c883b573f,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_4a6865b8f66aad7d3c0fb814,gini_ratio,idn.12,Sumatera Utara,12,2019,Maret,0.317,index,observed,m5_gini_march,m24prov_014acb2b7f4370048fd94c16,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_8ffdbd9ab0c57896d8463f12,gini_ratio,idn.12,Sumatera Utara,12,2020,Maret,0.316,index,observed,m5_gini_march,m24prov_3763d8a81cfffae70e1774b7,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_6f44aeb67b175e8ceced70f4,gini_ratio,idn.12,Sumatera Utara,12,2021,Maret,0.314,index,observed,m5_gini_march,m24prov_bab431dee7a43e7365293a9b,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_14b0fcd2b935d98551156212,gini_ratio,idn.12,Sumatera Utara,12,2022,Maret,0.312,index,observed,m5_gini_march,m24prov_a605891cf57809d2cc212e95,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
m24obs_482e98689087b25f90fdb493,gini_ratio,idn.12,Sumatera Utara,12,2023,Maret,0.309,index,observed,m5_gini_march,m24prov_913eafca991ebd72cc133894,bps_stable32_province_2018_2025_v1,susenas_gini_march_current38,,False,False
