observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bpspopgrowthobs_7fc3d1a2e51e3959a0f502b9,population_growth,idn.13.1301,2010-05-01,2020-09-30,annualized_interval,1.36,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=76173; source_population_2020=87623; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_dba82e914e7f5a3f76533fb3,population_growth,idn.13.1302,2010-05-01,2020-09-30,annualized_interval,1.57,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=429246; source_population_2020=504418; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_a5da112409662df186e50491,population_growth,idn.13.1303,2010-05-01,2020-09-30,annualized_interval,1.13,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=348566; source_population_2020=391497; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_31a855ba745998684c52b7ef,population_growth,idn.13.1304,2010-05-01,2020-09-30,annualized_interval,1.49,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=201823; source_population_2020=235045; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_152e77d7df0da032fe87ff0f,population_growth,idn.13.1305,2010-05-01,2020-09-30,annualized_interval,0.91,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=338494; source_population_2020=371704; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_9bcb74960bed820adcb2f65b,population_growth,idn.13.1306,2010-05-01,2020-09-30,annualized_interval,0.94,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=391056; source_population_2020=430626; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_5899f7373c25fcb8749cfb5e,population_growth,idn.13.1307,2010-05-01,2020-09-30,annualized_interval,1.47,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=454853; source_population_2020=529138; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_4fbb63acf5ad88ceeca1042b,population_growth,idn.13.1308,2010-05-01,2020-09-30,annualized_interval,0.93,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=348555; source_population_2020=383525; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_f2268aaccf55763299476f11,population_growth,idn.13.1309,2010-05-01,2020-09-30,annualized_interval,1.65,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=253299; source_population_2020=299851; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_5d65850cd55daaa353fb033d,population_growth,idn.13.1310,2010-05-01,2020-09-30,annualized_interval,2.27,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=144281; source_population_2020=182027; time bounds encode source months; interval length used by validation is exactly 124 months.
bpspopgrowthobs_22312a2c6d7c18dab4470ca1,population_growth,idn.13.1311,2010-05-01,2020-09-30,annualized_interval,1.73,percent,derived,bpspopgrowthprov_45e706aa202de60bc3c4a252,false,true,bps_geometric_lpp_sp2010_may_to_sp2020_september_124_months,,Official BPS-published annual growth for May 2010 to September 2020; table=3.1.1; source_population_2010=191422; source_population_2020=228591; time bounds encode source months; interval length used by validation is exactly 124 months.
