observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bpsexpobs_00818426086e9f82615cbc7f,agriculture_share_grdp,idn.13,2022-01-01,2022-12-31,annual,21.20346899748003,percent,derived,bpsexpprov_f01604e079fcaf5cd29dcab5,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:483:Sumatera Barat; geography_mapping=qualified_source_aggregate_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:483:Sumatera Barat; transform=share_percent; source_denominator=285376460.98; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_00afbbd5e49aeee280c3d6fe,agriculture_share_grdp,idn.13.1309,2020-01-01,2020-12-31,annual,47.95768822327713,percent,derived,bpsexpprov_de78525e2bbb6ca424c54f66,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:472:Kabupaten Pasaman; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:472:Kabupaten Pasaman; transform=share_percent; source_denominator=8969724.02; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_010f50b7be7f7bec64ec5b8e,agriculture_share_grdp,idn.13.1302,2020-01-01,2020-12-31,annual,37.761041294842805,percent,derived,bpsexpprov_de78525e2bbb6ca424c54f66,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:465:Kabupaten Pesisir Selatan; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:465:Kabupaten Pesisir Selatan; transform=share_percent; source_denominator=14095977.62; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_015893648c4fac1365c3244f,rice_yield,idn.13.1310,2018-01-01,2018-12-31,annual,4.2490000000000006,tonnes_per_hectare,derived,bpsexpprov_94477055811325289e147e4f,false,true,KSA,,qualification_id=q_rice_yield_ksa; source_universe=Rice harvested area and production under BPS KSA methodology; source_geography=vervar:1310:Kab. Solok Selatan; geography_mapping=qualified_current_code; source_selector=vervar:1310:Kab. Solok Selatan|turvar:244:Produktivitas (Kuintal/Hektar); transform=quintal_per_hectare_to_tonnes_per_hectare; quality_rule=convert productivity from quintal per hectare to tonnes per hectare by exact factor 0.1; retain KSA revision notes and 2025 Kota Pariaman LBS caveat
bpsexpobs_02315058daa72acb3c647c13,underemployment_rate,idn.13.1375,2024-08-01,2024-08-31,annual,4.71,percent,observed,bpsexpprov_46b601c94fb495d28c921a1c,false,,August Sakernas,,qualification_id=q_underemployment_august; source_universe=Employed persons meeting BPS underemployment criteria; source_geography=vervar:1375:Kota Bukittinggi; geography_mapping=qualified_current_code; source_selector=vervar:1375:Kota Bukittinggi|turvar:1081:Setengah Pengangguran; transform=identity; quality_rule=retain source weighting-regime notes and leave cross-regime comparability unresolved
bpsexpobs_026e76c36aac99ceefe589c9,agriculture_share_grdp,idn.13.1304,2022-01-01,2022-12-31,annual,26.796560541813847,percent,derived,bpsexpprov_f01604e079fcaf5cd29dcab5,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:467:Kabupaten Sijunjung; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:467:Kabupaten Sijunjung; transform=share_percent; source_denominator=10668551.27; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_027656ec0ffc0fc98c95b9f8,population_total,idn.13.1305,2020-09-01,2020-09-30,annual,371704.0,persons,observed,bpsexpprov_9de0c2885fb2df7b9c780beb,false,true,Sensus Penduduk 2020,,qualification_id=q_population_sp2020; source_universe=Resident population under SP2020 census definition; source_geography=vervar:1305:Tanah Datar; geography_mapping=qualified_current_code; source_selector=vervar:1305:Tanah Datar|turvar:34:Laki-Laki + Perempuan; transform=identity; quality_rule=select total sex category only and retain census reference period
bpsexpobs_0291fe2e106c00e0d6023a05,agriculture_share_grdp,idn.13.1304,2023-01-01,2023-12-31,annual,26.758171203446373,percent,derived,bpsexpprov_742c671ae22c147b388a75dc,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:467:Kabupaten Sijunjung; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:467:Kabupaten Sijunjung; transform=share_percent; source_denominator=11676771.13; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_0298460d24791cde8b9faaca,agriculture_share_grdp,idn.13.1372,2023-01-01,2023-12-31,annual,4.976255431946752,percent,derived,bpsexpprov_742c671ae22c147b388a75dc,false,true,GRDP series 2010 ADHB,current_prices_series_2010,"qualification_id=q_sector_share_adhb2010; source_universe=Regional gross value added by BPS industry classification; source_geography=turvar:477:Kota Solok; geography_mapping=qualified_source_dimension_alias; source_selector=vervar:100:A. Pertanian, Kehutanan dan Perikanan|turvar:477:Kota Solok; transform=share_percent; source_denominator=5262098.25; quality_rule=derive only within same source variable geography and year; require positive total PDRB and share within 0-100"
bpsexpobs_02a58b3f97e174123bb01dbc,rice_yield,idn.13.1301,2024-01-01,2024-12-31,annual,2.6510000000000002,tonnes_per_hectare,derived,bpsexpprov_de6b038fe64e47f00ce56036,false,true,KSA,,qualification_id=q_rice_yield_ksa; source_universe=Rice harvested area and production under BPS KSA methodology; source_geography=vervar:1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; source_selector=vervar:1301:Kab. Kepulauan Mentawai|turvar:244:Produktivitas (Kuintal/Hektar); transform=quintal_per_hectare_to_tonnes_per_hectare; quality_rule=convert productivity from quintal per hectare to tonnes per hectare by exact factor 0.1; retain KSA revision notes and 2025 Kota Pariaman LBS caveat
