provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsexpprov_1442223ecaf92cb0ec532ae1,bps_webapi,bps-webapi://domain/1300/var/463/th/118,2026-08-15T16:52:19+00:00,2025-07-04 08:00:16,0d043315c240b075691ec603df987f381a16b863d1263f35dd563cfdab510201,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-463-2018.json; var=463 Volume dan Nilai Ekspor Provinsi Sumatera Barat (Bulanan); period=118:2018
bpsexpprov_1811c8884a24bb13e6c3b41e,bps_webapi,bps-webapi://domain/1300/var/83/th/125,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,3b8e6ef917e238726223a38d0e7c040bdbc6ddaaa3110bffd08502b0f2da58cd,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2025.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=125:2025
bpsexpprov_1bd70093852bc1965baeadf8,bps_webapi,bps-webapi://domain/1300/var/282/th/121,2026-08-15T16:51:57+00:00,2024-07-28 12:49:26,5a30dadab77c7cf484e756619531a1af8f40e49ce29987e1a810171b32e72a20,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,snapshot=var-282-2021.json; var=282 [Seri 2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut  Lapangan Usaha Atas Dasar Harga Berlaku di Sumatera Barat; period=121:2021
bpsexpprov_1cbcf0340d6d93019da398d0,bps_webapi,bps-webapi://domain/1300/var/463/th/123,2026-08-15T16:52:19+00:00,2025-07-04 08:00:16,587b58ad148f732c3e596dd58aaea12512f2111404b5a65fdda2830e2f913c9f,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-463-2023.json; var=463 Volume dan Nilai Ekspor Provinsi Sumatera Barat (Bulanan); period=123:2023
bpsexpprov_1fe8aa76eff04c735a65a290,bps_webapi,bps-webapi://domain/1300/var/276/th/121,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,93a8126390685de6356045cdc1f074974e7e90c195199f01e044a9ef156c96c9,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2021.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=121:2021"
bpsexpprov_227f7b196629e133536fef6d,bps_webapi,bps-webapi://domain/1300/var/668/th/121,2026-08-15T16:51:35+00:00,2025-02-25 08:12:17,4ebe2913936b41d9f99e53534d554a552f55534a6a5b2d9e709f0e858306f5f5,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,"snapshot=var-668-2021.json; var=668 Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota; period=121:2021"
bpsexpprov_250e22c4df6d2dbcd0581805,bps_webapi,bps-webapi://domain/1300/var/83/th/120,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,4f257ccd587771d8c5d9229f7514402734ff45250af010879e09a7011480aa84,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2020.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=120:2020
bpsexpprov_273c800e157c448f81795f49,bps_webapi,bps-webapi://domain/1300/var/83/th/119,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2019.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=119:2019
bpsexpprov_31afeaa8c374b636e60a0d0c,bps_webapi,bps-webapi://domain/1300/var/668/th/120,2026-08-15T16:51:35+00:00,2025-02-25 08:12:17,a4c8313d103a1664556910c995ddc57bd74d9094d23fc59c028d14eddacd6f07,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,"snapshot=var-668-2020.json; var=668 Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota; period=120:2020"
bpsexpprov_3dbd9e30e4a6ca7ada2ae823,bps_webapi,bps-webapi://domain/1300/var/83/th/121,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2021.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=121:2021
bpsexpprov_4175fb009f15e20368cb7b1e,bps_webapi,bps-webapi://domain/1300/var/276/th/119,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,8caefa039e2be30a60aa40a2ea08107cf8c50e76993d0743c66d247b756ab49f,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2019.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=119:2019"
bpsexpprov_46b601c94fb495d28c921a1c,bps_webapi,bps-webapi://domain/1300/var/668/th/124,2026-08-15T16:51:35+00:00,2025-02-25 08:12:17,e59c6b2769b2cea950d163883d934bb8d468666a04e5bd0f52a453be607354b6,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,"snapshot=var-668-2024.json; var=668 Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota; period=124:2024"
bpsexpprov_4ea81f7d026a48bf672ef4dc,bps_webapi,bps-webapi://domain/1300/var/276/th/120,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,d86e089fb1cb499291bced0feffd99aa2109576e2a1048b6afc9941cb789a180,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2020.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=120:2020"
bpsexpprov_5b8e8c914fb6f4aed45ae1c5,bps_webapi,bps-webapi://domain/1300/var/668/th/118,2026-08-15T16:51:35+00:00,2025-02-25 08:12:17,b2e837e64e63069cbdf1717152f20d177d5acbe877977ff62f21f9176942df9c,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,"snapshot=var-668-2018.json; var=668 Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota; period=118:2018"
bpsexpprov_5d4e122cca677f83fa39043d,bps_webapi,bps-webapi://domain/1300/var/668/th/123,2026-08-15T16:51:35+00:00,2025-02-25 08:12:17,dd29684460f1d9562f34c181b8fc7c52fef9d07e307b281777d241d94ef058bb,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,"snapshot=var-668-2023.json; var=668 Tingkat Setengah Pengangguran, Tingkat Pekerja Paruh Waktu dan Pekerja Tidak Penuh Menurut Kabupaten/Kota; period=123:2023"
bpsexpprov_629b7a2fd64bfc274cc445e1,bps_webapi,bps-webapi://domain/1300/var/282/th/119,2026-08-15T16:51:57+00:00,2024-07-28 12:49:26,eba0ef10ea31623f20ba15ca9c9c38b82ec6f778fb99a9e662db5699ad5fb033,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,snapshot=var-282-2019.json; var=282 [Seri 2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut  Lapangan Usaha Atas Dasar Harga Berlaku di Sumatera Barat; period=119:2019
bpsexpprov_6425b47d61aeae096cdb8522,bps_webapi,bps-webapi://domain/1300/var/83/th/124,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2024.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=124:2024
bpsexpprov_742c671ae22c147b388a75dc,bps_webapi,bps-webapi://domain/1300/var/282/th/123,2026-08-15T16:51:57+00:00,2024-07-28 12:49:26,7342a7227b5d9f9a3915f83d4342214e36a10dec61677e07f15e7bb68e2ab27b,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,snapshot=var-282-2023.json; var=282 [Seri 2010] Produk Domestik Regional Bruto Kabupaten/Kota Menurut  Lapangan Usaha Atas Dasar Harga Berlaku di Sumatera Barat; period=123:2023
bpsexpprov_7bec558ef289b8b581c4f745,bps_webapi,bps-webapi://domain/1300/var/276/th/122,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,ffac3e80064a810e3d5bde85cdb612cfbe0a54f2c0d83f04485074f5d5a2bed7,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2022.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=122:2022"
bpsexpprov_8bc5dfcb9cf18d70e4644fdb,bps_webapi,bps-webapi://domain/1300/var/463/th/120,2026-08-15T16:52:19+00:00,2025-07-04 08:00:16,76cb9589f2e26680eb15caf6e35380b063cfd51d9ae11dc18377414aade1f630,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-463-2020.json; var=463 Volume dan Nilai Ekspor Provinsi Sumatera Barat (Bulanan); period=120:2020
bpsexpprov_8c2b1f6067a20710a0995b04,bps_webapi,bps-webapi://domain/1300/var/83/th/118,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,783e2be3cc4be7cbd9235895834a0ceab5401f3aebda402a0248e6085cb204dd,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-83-2018.json; var=83 Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat; period=118:2018
bpsexpprov_94477055811325289e147e4f,bps_webapi,bps-webapi://domain/1300/var/276/th/118,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,d512cfed69098fcefea00caee9f0878f9290b1d629a2949751e32cdea4fe6893,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2018.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=118:2018"
bpsexpprov_96f4ba7a79702797b8477131,bps_webapi,bps-webapi://domain/1300/var/463/th/119,2026-08-15T16:52:19+00:00,2025-07-04 08:00:16,408eb1825341181e76bdfc473ac23e87f71682a92ac14d1ee88fc06dfc92fad1,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-463-2019.json; var=463 Volume dan Nilai Ekspor Provinsi Sumatera Barat (Bulanan); period=119:2019
bpsexpprov_98a8ee3938b9180479c43505,bps_webapi,bps-webapi://domain/1300/var/463/th/121,2026-08-15T16:52:19+00:00,2025-07-04 08:00:16,1bb42d20ff89284935fc8beecbe815b64dd2a663daba0da65f31d14d0d8fa747,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-463-2021.json; var=463 Volume dan Nilai Ekspor Provinsi Sumatera Barat (Bulanan); period=121:2021
bpsexpprov_98ad288c955db1b72d61718e,bps_webapi,bps-webapi://domain/1300/var/276/th/123,2026-08-15T16:52:07+00:00,2026-02-05 03:32:18,a5c8d19caf551a3a82558e7bda40511f638b850d8bc06ebb1ea25698e0365fee,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api+deterministic_transform,"snapshot=var-276-2023.json; var=276 Luas Panen, Produksi, dan Produktivitas Padi Menurut Kabupaten/Kota Hasil Kerangka Sampel Area (KSA); period=123:2023"
bpsexpprov_9de0c2885fb2df7b9c780beb,bps_webapi,bps-webapi://domain/1300/var/484/th/120,2026-08-15T16:52:27+00:00,2021-01-22 08:57:53,1b19a07ce066e02fdd92b86e8950258ad42f094e21e8c908314b5d40bddffde3,normalize_bps_dynamic:v2,build_bps_expansion_canonical:v1,api,snapshot=var-484-2020.json; var=484 [Hasil Sensus dan SUPAS] Jumlah Penduduk Menurut Jenis Kelamin dan Kabupaten/Kota di Sumatera Barat; period=120:2020
