expansion_row_id,expansion_series_id,indicator_id,canonical_promotion_status,claim_type,source_id,domain,retrieved_at_utc,bps_last_update,bps_var_id,bps_var_label,bps_var_unit,bps_var_decimal,bps_var_definition,bps_var_note,bps_subject,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,source_geography_dimension,source_geography_id,source_geography_label,canonical_geography_id,geography_mapping_status,selected_vervar_id,selected_vervar_label,selected_turvar_id,selected_turvar_label,raw_value,denominator_raw_value,transform,source_key,denominator_source_key,source_snapshot,source_snapshot_sha256
bpsexp_00d8307c8749bd95b92d3695,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,120,2020,0,Tahun,vervar,1303,Kab.Solok,idn.13.1303,qualified_current_code,1303,Kab.Solok,0,Tidak ada,0.277,,identity,13038301200,,var-83-2020.json,4f257ccd587771d8c5d9229f7514402734ff45250af010879e09a7011480aa84
bpsexp_01b9b922947278aa8ba76a37,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1306,Kab.Padang Pariaman,idn.13.1306,qualified_current_code,1306,Kab.Padang Pariaman,0,Tidak ada,0.297,,identity,13068301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_028f846ecf2c3c998fece666,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,121,2021,0,Tahun,vervar,1374,Kota Padang Panjang,idn.13.1374,qualified_current_code,1374,Kota Padang Panjang,0,Tidak ada,0.306,,identity,13748301210,,var-83-2021.json,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450
bpsexp_034be85cef6af1b3590ecb94,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,121,2021,0,Tahun,vervar,1302,Kab.Pesisir Selatan,idn.13.1302,qualified_current_code,1302,Kab.Pesisir Selatan,0,Tidak ada,0.253,,identity,13028301210,,var-83-2021.json,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450
bpsexp_0417a626527ecd29cf69c62e,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,123,2023,0,Tahun,vervar,1303,Kab.Solok,idn.13.1303,qualified_current_code,1303,Kab.Solok,0,Tidak ada,0.235,,identity,13038301230,,var-83-2023.json,851bacb2cf1763efa338f2a2bd875dbaa07e6a4906c374000b1d1870c3e6e757
bpsexp_045f5f6dce280abad62f7fd8,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,122,2022,0,Tahun,vervar,1311,Kab.Dharmasraya,idn.13.1311,qualified_current_code,1311,Kab.Dharmasraya,0,Tidak ada,0.287,,identity,13118301220,,var-83-2022.json,f9d090d628c4f62778543e48cc5d4ac2a9848e5fc8e21e2ecaeea5ec0cc0e565
bpsexp_04ffd81888e3c7f611677d99,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1377,Kota Pariaman,idn.13.1377,qualified_current_code,1377,Kota Pariaman,0,Tidak ada,0.3,,identity,13778301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_053752ad0f61739b0fe8d5b5,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,124,2024,0,Tahun,vervar,1307,Kab.Agam,idn.13.1307,qualified_current_code,1307,Kab.Agam,0,Tidak ada,0.249,,identity,13078301240,,var-83-2024.json,4d174be861844b9d396f90bc321ad8d6e5623cb7a81b0bac9c0a91381e106e95
bpsexp_08c0812121d4b1ffccd1e2ec,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,119,2019,0,Tahun,vervar,1309,Kab.Pasaman,idn.13.1309,qualified_current_code,1309,Kab.Pasaman,0,Tidak ada,0.33,,identity,13098301190,,var-83-2019.json,c9b021a2d7f7632bd6ae8f52cf51e818a5cf9d4669318e0dd6cd04ccbd0665d0
bpsexp_0ad4fbcc99f0869af0d28d8b,inequality_gini,gini_ratio,canonical_ready_province_only,observed,bps_webapi,1300,2026-08-15T16:51:45+00:00,2026-02-28 01:15:11,83,Gini Ratio Menurut Kabupaten/Kota di Sumatera Barat,,3,,"Tahun 1996,1999, 2022, 2025 Susenas dilaksanakan dalam 3 (tiga) tahunan dan datanya tersedia untuk Sumatera Barat.
Mulai Tahun 2007 telah dilakukan setiap tahun dan tersedia data Kabupaten/Kota. <br/> Sumber: BPS, Survei Sosial Ekonomi Nasional",Kemiskinan dan Ketimpangan,121,2021,0,Tahun,vervar,1307,Kab.Agam,idn.13.1307,qualified_current_code,1307,Kab.Agam,0,Tidak ada,0.272,,identity,13078301210,,var-83-2021.json,17a5f03dfc16e7d6f3d315289a996211817c9e4886cb2a23dad76ae4be96d450
