source_geography_name,canonical_historical_geography_id,source_measure_id,source_table_number,year,construction_statistics_2003_value_thousand_rupiah,construction_statistics_2002_2006_release_value_thousand_rupiah,release_delta_thousand_rupiah,release_delta_percent,later_to_earlier_ratio,earlier_release_status,later_release_status,break_classification,longitudinal_bridge_authorized,notes
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2002,458502968,717299178,258796210,56.443737,1.564437371,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"Both releases describe the 2002 series as Annual Construction Establishment Survey data; the 56.44% level shift is not explained by the available methodology text."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2002,291959524,356752390,64792866,22.192414,1.221924139,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"APBN-financed completed construction; not APBN expenditure realization."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2002,53045032,182985630,129940598,244.962804,3.449628044,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"APBD-financed completed construction; not total APBD expenditure or DJPK Belanja Modal."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2002,101860202,159353907,57493705,56.443737,1.564437375,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"Foreign-loan financing category; debtor and fiscal incidence are not inferred."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2002,4507982,7052456,2544474,56.443748,1.564437480,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"BUMN-financed completed construction; not BUMN capital-expenditure accounts."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2002,7130228,11154795,4024567,56.443735,1.564437350,annual_survey_published,annual_survey_series_published,major_release_break_unexplained,false,"Residual financing category retained exactly as published."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2003,469007986,844516928,375508942,80.064509,1.800645092,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"The earlier publication explicitly describes 2003 as a preliminary estimate from quarterly-survey growth, whereas the 2007 compilation describes 2002-2006 as Annual Construction Establishment Survey results and marks only 2006 preliminary. This supports a status/method transition, but not a mechanical bridge."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2003,298648772,303268240,4619468,1.546790,1.015467896,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"APBN-financed completed construction; later value must not silently replace the preliminary vintage."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2003,54260376,108161492,53901116,99.337896,1.993378962,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"APBD-financed completed construction; later value must not be mapped to fiscal accounts."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2003,104193978,161858669,57664691,55.343593,1.553435929,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"Foreign-loan category retains source identity; no debtor/fiscal-incidence inference."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2003,4611267,1256000,-3355267,-72.762367,0.272376334,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"Large negative component revision is preserved exactly; no smoothing or balancing adjustment."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2003,7293593,269972527,262678934,3601.502497,37.015024968,preliminary_quarterly_growth_estimate,annual_survey_series_published,major_release_break_status_transition,false,"The residual-source category changes by more than 36x; this is a hard longitudinal-break signal, not a routine numeric revision."
