source_geography_name,canonical_historical_geography_id,source_measure_id,source_table_number,year,construction_statistics_2002_value_thousand_rupiah,construction_statistics_2003_value_thousand_rupiah,revision_delta_crosscheck_minus_primary_thousand_rupiah,comparison_status,canonical_mapping_status,notes
Sumatera Barat,idn.13.h1958,total_construction_completed,14,1998,298681997,,,primary_only,not_authorized,"1998 appears only in the 2002 publication window used here."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,1999,341872541,341872541,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2000,345371439,345371439,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2001,397936972,397936972,0,exact_match,not_authorized,"Reported total is stable even though financing-component sum is lower by 1 thousand rupiah in both releases."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2002,458502979,458502968,-11,revised,not_authorized,"Later publication revises reported total downward by 11 thousand rupiah."
Sumatera Barat,idn.13.h1958,total_construction_completed,14,2003,,469007986,,crosscheck_only,not_authorized,"2003 appears only in the 2003 publication window used here."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,1998,101904361,,,primary_only,not_authorized,"APBN-financed completed construction; not APBN fiscal expenditure realization."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,1999,137521571,137521568,-3,revised,not_authorized,"Later publication revises the 1999 source value downward by 3 thousand rupiah."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2000,207997331,207997331,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2001,253393100,253393100,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2002,291959530,291959524,-6,revised,not_authorized,"Later publication revises the 2002 source value downward by 6 thousand rupiah."
Sumatera Barat,idn.13.h1958,financed_by_central_government_budget,15.1,2003,,298648772,,crosscheck_only,not_authorized,"APBN-financed completed construction; not APBN fiscal expenditure realization."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,1998,47227148,,,primary_only,not_authorized,"APBD-financed completed construction; not total APBD expenditure or DJPK Belanja Modal."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,1999,26004489,26004489,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2000,39956642,39956642,0,exact_match,not_authorized,"Matches the separately frozen 2000 APBD-financed construction anchor."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2001,46038043,46038043,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2002,53045033,53045032,-1,revised,not_authorized,"Later publication revises the 2002 source value downward by 1 thousand rupiah."
Sumatera Barat,idn.13.h1958,financed_by_local_government_budget,15.2,2003,,54260376,,crosscheck_only,not_authorized,"APBD-financed completed construction; not total APBD expenditure or DJPK Belanja Modal."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,1998,68376381,,,primary_only,not_authorized,"Foreign-loan financing category; debtor and fiscal incidence are not inferred."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,1999,162367854,162367854,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2000,76727103,76727103,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2001,88404968,88404968,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2002,101860204,101860202,-2,revised,not_authorized,"Later publication revises the 2002 source value downward by 2 thousand rupiah."
Sumatera Barat,idn.13.h1958,financed_by_foreign_loan,15.3,2003,,104193978,,crosscheck_only,not_authorized,"Foreign-loan financing category; debtor and fiscal incidence are not inferred."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,1998,11729132,,,primary_only,not_authorized,"BUMN-financed completed construction; not BUMN capital-expenditure accounts."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,1999,6048377,6048377,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2000,1229691,1229691,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2001,3912500,3912500,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2002,4507983,4507982,-1,revised,not_authorized,"Later publication revises the 2002 source value downward by 1 thousand rupiah."
Sumatera Barat,idn.13.h1958,financed_by_state_enterprises,15.4,2003,,4611267,,crosscheck_only,not_authorized,"BUMN-financed completed construction; not BUMN capital-expenditure accounts."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,1998,69444975,,,primary_only,not_authorized,"Residual financing category preserved as published; no decomposition inferred."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,1999,9930253,9930253,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2000,19460672,19460672,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2001,6188360,6188360,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2002,7130228,7130228,0,exact_match,not_authorized,"Release-specific values retained."
Sumatera Barat,idn.13.h1958,financed_by_other_sources,15.5,2003,,7293593,,crosscheck_only,not_authorized,"Residual financing category preserved as published; no decomposition inferred."
