source_year,source_geography,district_name,qualification_B,qualification_M1,qualification_M2,qualification_K1,qualification_K2,qualification_K3,total_establishments,source_publication_number,source_table
2003,Sumatera Barat,Mentawai,0,0,0,4,20,36,60,05230.0506,4.3
2003,Sumatera Barat,Pesisir Selatan,0,1,5,33,80,60,179,05230.0506,4.3
2003,Sumatera Barat,Solok,0,0,7,32,93,138,270,05230.0506,4.3
2003,Sumatera Barat,Sawahlunto/Sijunjung,0,0,2,19,64,115,200,05230.0506,4.3
2003,Sumatera Barat,Tanah Datar,0,0,7,11,78,81,177,05230.0506,4.3
2003,Sumatera Barat,Padang Pariaman,0,0,5,27,110,124,266,05230.0506,4.3
2003,Sumatera Barat,Agam,0,0,4,30,90,91,215,05230.0506,4.3
2003,Sumatera Barat,Lima Puluh Kota,0,0,4,16,72,65,157,05230.0506,4.3
2003,Sumatera Barat,Pasaman,0,0,1,31,83,113,228,05230.0506,4.3
2003,Sumatera Barat,Padang,0,15,84,68,212,187,566,05230.0506,4.3
2003,Sumatera Barat,Solok city,0,0,0,7,27,47,81,05230.0506,4.3
2003,Sumatera Barat,Sawah Lunto city,0,0,2,12,36,56,106,05230.0506,4.3
2003,Sumatera Barat,Padang Panjang,0,0,2,12,20,67,101,05230.0506,4.3
2003,Sumatera Barat,Bukittinggi,0,0,6,14,47,64,131,05230.0506,4.3
2003,Sumatera Barat,Payakumbuh,0,0,5,18,52,69,144,05230.0506,4.3
2003,Sumatera Barat,Pariaman,0,0,0,0,0,1,1,05230.0506,4.3
