source_record_id,source_id,artifact_sha256,official_page_url,official_direct_artifact_url,source_year,pdf_page_index,source_geography_name,source_geography_type,value_total,value_male,value_female,unit,canonical_indicator_id,canonical_geography_id,mapping_status,reconstruction_state,notes
sp1961_sumatera_barat_province,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,4,Sumatera Barat,province,2319057,1117669,1201388,persons,historical_population,idn.13.h1958,qualified_source_era,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_bukittinggi,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,8,Bukittinggi,municipality,51456,25942,25514,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_padang,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,8,Padang,municipality,143699,73730,69969,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_sawah_lunto_city,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,8,Sawah Lunto,municipality,12276,6312,5964,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_padang_pandjang,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,8,Padang Pandjang,municipality,25521,12452,13069,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_agam,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,9,Agam,regency,304453,137937,166516,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_pasaman,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,9,Pasaman,regency,217311,108063,109248,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_limapuluh_kota,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,9,Limapuluh Kota,regency,250687,121719,128968,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_solok,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,9,Solok,regency,271234,129351,141883,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
sp1961_padang_pariaman,bps_sp1961_official_pdf,bd7c171e06807e0de89bd3b2e8b044d83b00f686319f2483db826e50adc06ff0,https://www.bps.go.id/id/publication/1962/06/06/ba0319372bf4767645160a8c/sensus-penduduk-1961-republik-indonesia.html,https://web-api.bps.go.id/download.php?f=M7Z8VIcfTGjnayBW0Sn3gzUyK05iVTVMOUppZjVXNFVFUzdHamFSRHFxV0ZHTEFjSzVIaHhLRHpybEttL1NKWWdRRFd5Nk9aNjVLR0M2ci9ibHpxUng0Vi8yZk9POERCOGw5NHRCK0plcXpFNWxtQ1kyWlpLaTdHTVN5a1UyU0JsT0VFUmFiSytkR2lQRHZEMFd6NnhPR2dNUC9GME1jT0VQZ2NQblppS1BhbytmUzZpcUJta3g2d21IaVJhSDIzWkNmeGxrOFo1N2w1ejlIMVJIZ25aZzRkMWdWazF5ZU5RcEw1ODZMTzJWck93eC9DSng0TUdvbk1iNnpIN3RpM1N2dTBBT0tLZ01pbnVudDkxU0RUbERJbXBhekNlcDVUTFh6c05BPT0%3D,1961,9,Padang Pariaman,regency,442649,213443,229206,persons,historical_population,,historical_geography_pending,observed_source_era_preliminary_census,Manual visual transcription from exact official SP1961 PDF; source-native 1961 geography retained and must not be projected onto current local boundaries without lineage qualification.
