source_record_id,source_id,snapshot_path,snapshot_sha256,retrieved_at_utc,bps_last_update,bps_var_id,bps_vervar_id,bps_vervar_label,bps_turvar_id,bps_turvar_label,bps_th_id,bps_th_label,bps_turth_id,bps_turth_label,value,unit,canonical_indicator_id,canonical_geography_id,mapping_status,reconstruction_state,notes
bps484_1971_1300_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1300,SUMATERA BARAT (Provinsi),34,Laki-Laki + Perempuan,71,1971,0,Tahun,2789822,Jiwa,historical_population,idn.13.h1958,qualified_source_era,observed_source_era,Province aggregate is mapped only to the source-era Sumatera Barat version anchored by UU 61/1958; API metadata identifies 1971 as Sensus Penduduk
bps484_1971_1302_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1302,Pesisir Selatan,34,Laki-Laki + Perempuan,71,1971,0,Tahun,254234,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Do not map to the current 1302 geography until 1971 boundary lineage is qualified
bps484_1971_1303_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1303,Kab.Solok,34,Laki-Laki + Perempuan,71,1971,0,Tahun,294730,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Do not map to the current 1303 geography until pre-Solok-Selatan boundary lineage is qualified
bps484_1971_1304_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1304,Sijunjung,34,Laki-Laki + Perempuan,71,1971,0,Tahun,161321,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Do not map to the current 1304 geography until pre-Dharmasraya boundary lineage is qualified
bps484_1971_1305_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1305,Tanah Datar,34,Laki-Laki + Perempuan,71,1971,0,Tahun,290997,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Source-era local geography retained pending boundary-version qualification
bps484_1971_1306_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1306,Padang Pariaman,34,Laki-Laki + Perempuan,71,1971,0,Tahun,553128,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Do not map to the current 1306 geography until pre-Kota-Pariaman and Mentawai lineage is qualified
bps484_1971_1307_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1307,Agam,34,Laki-Laki + Perempuan,71,1971,0,Tahun,347022,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Source-era local geography retained pending boundary-version qualification
bps484_1971_1308_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1308,Lima Puluh Kota,34,Laki-Laki + Perempuan,71,1971,0,Tahun,223270,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Source-era local geography retained pending boundary-version qualification
bps484_1971_1309_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1309,Pasaman,34,Laki-Laki + Perempuan,71,1971,0,Tahun,273850,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Do not map to the current 1309 geography until pre-Pasaman-Barat boundary lineage is qualified
bps484_1971_1371_total,bps_webapi,data/snapshots/bps/var-484-1971.json,b0d808a6b59b018c7a28f5d47b882f17248eb9ae2d0b05a6acb62366ca2813e1,2026-08-15T15:26:14+00:00,2021-01-22 08:57:53,484,1371,Padang,34,Laki-Laki + Perempuan,71,1971,0,Tahun,196618,Jiwa,historical_population,,historical_geography_pending,observed_source_era,Source-era city geography retained pending boundary-version qualification
