observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bpsm4obs_02dd6eb580c72eeeef87bc97,urban_population_share,idn.13.1301,2020-01-01,2020-12-31,annual,19.84,percent,model_estimate,bpsm4prov_1212b1534732c5a2edae043f,false,true,bps_projection_sp2010,,series_id=m4_urban_share_2020; source_var=512; source_period=2020; source_geography=1301:Kab. Kepulauan Mentawai; transform=identity; source_value=19.84; selected_turvar=0; source_universe=Population classified urban in the BPS SP2010-based population projection; qualification=Projection source is explicit so claim type remains model_estimate;
bpsm4obs_033a9bd1528861f491c0181e,net_migration_rate,idn.13.1373,2025-01-01,2025-12-31,census_or_survey,24.3,per_1000,derived,bpsm4prov_558e401d7c68a9be65a79899,false,true,supas2025_recent_migration,,series_id=m4_net_migration_2025; source_var=883; source_period=2025; source_geography=1373:Kota Sawahlunto; transform=multiply_10; source_value_per_100=2.43; selected_turvar=1475; multiplier=10; source_universe=Population covered by the SUPAS recent-migration definition; qualification=Source publishes recent net migration per 100 population; canonical value converts deterministically to per 1000;
bpsm4obs_03dbe1f5457b82e0eb94c081,foreign_investment_realization,idn.13.1376,2024-01-01,2024-12-31,annual,0,million_rupiah,observed,bpsm4prov_df1ae195f815d526db816be2,false,true,bps_pma_additional_investment,nominal_2024,series_id=m4_pma_2024; source_var=729; source_period=2024; source_geography=1376:Kota Payakumbuh; transform=identity; source_value=0; selected_turvar=1179; source_universe=Realized PMA projects under the official investment reporting system; qualification=Selects Tambahan Investasi rather than project or employment counts;
bpsm4obs_04bc232d1fb95a66b1c52cae,neet_rate,idn.13.1373,2025-01-01,2025-12-31,annual,15.33,percent,observed,bpsm4prov_3ee4f2abc7a9db17db23dd1f,false,true,sakernas_neet_15_24,,series_id=m4_neet_2025; source_var=774; source_period=2025; source_geography=1373:Kota Sawahlunto; transform=identity; source_value=15.33; selected_turvar=0; source_universe=People age 15 to 24 not in employment education or training; qualification=Source is BPS Sakernas; no exact within-year reference month is inferred from current API metadata;
bpsm4obs_04e16a7fe79373f09ac59fae,unemployed_population,idn.13.1308,2025-08-01,2025-08-31,annual,8795,persons,observed,bpsm4prov_c3fb155f6c559283a1539940,false,true,sakernas_august_unemployed,,series_id=m4_unemployed_2025; source_var=473; source_period=2025; source_geography=1308:Kab. Lima Puluh Kota; transform=identity; source_value=8795; selected_turvar=843; source_universe=Population age 15+ classified as openly unemployed; qualification=Source note explicitly identifies Sakernas August;
bpsm4obs_05845a70280c7b0fbdaf08f5,household_expenditure_per_capita_monthly,idn.13.1303,2024-01-01,2024-12-31,annual_or_survey,1292857,rupiah_per_person_month,observed,bpsm4prov_e1033999b00eb0865d520df1,false,true,susenas_total_monthly_expenditure,nominal_2024,series_id=m4_expenditure_2024; source_var=492; source_period=2024; source_geography=1303:Kab. Solok; transform=identity; source_value=1292857; selected_turvar=880; source_universe=Persons represented by the Susenas household expenditure aggregate; qualification=Selects total food plus non-food expenditure turvar 880;
bpsm4obs_061b8a2cb9f24503aa212fdf,road_condition_good,idn.13.1309,2024-01-01,2024-12-31,annual,63.950685,percent,derived,bpsm4prov_e45b125b514491799bcd91c2,false,true,bps_provincial_road_condition,,series_id=m4_road_good_2024; source_var=555; source_period=2024; source_geography=1309:Kab. Pasaman; transform=share_selected_over_sum_turvar_ids; numerator=908:116.71; denominator_components=908:116.71|909:18.3|910:13.8|911:33.69; source_universe=Provincial-authority road length classified by condition; qualification=Good-condition km divided by total km across good medium damaged and heavily damaged categories;
bpsm4obs_06b57c3d78403330b309c4c2,elderly_population_share,idn.13.1307,2025-01-01,2025-12-31,census_or_survey,14.61,percent,observed,bpsm4prov_e0534872b73e7b7566696b9e,false,true,supas2025_elderly_share,,series_id=m4_elderly_2025; source_var=884; source_period=2025; source_geography=1307:Kab. Agam; transform=identity; source_value=14.61; selected_turvar=0; source_universe=Population classified as elderly under the SUPAS definition; qualification=Preserve the official source age threshold and survey methodology;
bpsm4obs_0769837d5206ba8156c9c4b3,labor_force_count,idn.13.1307,2025-08-01,2025-08-31,annual,305287,persons,observed,bpsm4prov_c3fb155f6c559283a1539940,false,true,sakernas_august_labor_force,,series_id=m4_labor_force_2025; source_var=473; source_period=2025; source_geography=1307:Kab. Agam; transform=identity; source_value=305287; selected_turvar=844; source_universe=Population age 15+ in the labor force; qualification=Source note explicitly identifies Sakernas August;
bpsm4obs_07795423b68ea1881287eb6e,large_medium_industry_employment,idn.13.1303,2022-01-01,2022-12-31,annual,648,persons,observed,bpsm4prov_95e85bf46c862d5e02d02b71,false,true,bps_annual_large_medium_industry_survey,,series_id=m4_large_medium_industry_employment_2022; source_var=773; source_period=2022; source_geography=1303:Kab.Solok; transform=identity; source_value=648; selected_turvar=1241; source_universe=Workers in large and medium industrial establishments; qualification=Kepulauan Mentawai 1301 is absent from the source table and remains missing rather than being imputed as zero; source_geography_1301_Kepulauan_Mentawai_absent_not_zero_imputed;
