provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsm4prov_11159d80c18e32d8b4f871df,bps_webapi,bps-webapi://domain/1300/var/879/th/125,2026-08-16T12:19:58+00:00,2026-05-12 02:01:48,d09cd59d22bc3e7b2ed54dd388c4304298cec9330eed938e0a9f6ceda9db1b37,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=879 [Hasil SUPAS] Angka Kematian Balita (Under Five Mortality Rate/U5MR) Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_1212b1534732c5a2edae043f,bps_webapi,bps-webapi://domain/1300/var/512/th/120,2026-08-16T12:19:10+00:00,2021-04-16 02:44:07,9a2426e64bd7ab99c2795ad025cd6aef43d0c00928bcf5a2f03edaf6f2c212a2,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=512 Persentase Penduduk Perkotaan Hasil Proyeksi Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2020; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_3ee4f2abc7a9db17db23dd1f,bps_webapi,bps-webapi://domain/1300/var/774/th/125,2026-08-16T12:19:34+00:00,2026-05-04 10:44:27,dd544d0a1c8fc2086eb831d1757e100601f916699d0c69c807536ab0d625b3e8,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,"var=774 Persentase Usia Muda (15-24 Tahun) yang Tidak Sedang Sekolah, Bekerja atau Mengikuti Pelatihan (NEET) Menurut Kabupaten/Kota; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization"
bpsm4prov_513dba76f70cbe416f6ed30c,bps_webapi,bps-webapi://domain/1300/var/289/th/124,2026-08-16T12:19:44+00:00,2025-05-06 09:05:36,7f3cb01d762f747909a589381368afaaa149fdd181085e6e0731bec9504f31f1,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=289 Rata-Rata Upah/Gaji Bersih Sebulan Buruh/Karyawan Menurut Kabupaten/Kota; period=2024; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_558e401d7c68a9be65a79899,bps_webapi,bps-webapi://domain/1300/var/883/th/125,2026-08-16T12:19:15+00:00,2026-05-12 02:24:40,d0f9b078529391e77b055d71c545ed93700f9ca85586c56323618a06864d43b4,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=883 [Hasil SUPAS] Indikator Migrasi Indikator Migrasi Risen per 100 Penduduk Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_562d86f57441beb695cb64bb,bps_webapi,bps-webapi://domain/1300/var/727/th/124,2026-08-16T12:20:05+00:00,2025-05-22 09:02:51,bf7354516eb775fd7cdf8cb8cac03aa3b825313a8dd372b6cfb7511bb945e3fe,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,"var=727 Realisasi Proyek, Investasi, dan Tenaga Kerja Penanaman Modal Dalam Negeri (PMDN) Menurut Kabupaten/Kota; period=2024; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization"
bpsm4prov_6b57e3f09f8c6ee54b7243b3,bps_webapi,bps-webapi://domain/1300/var/875/th/125,2026-08-16T12:19:48+00:00,2026-05-12 11:54:57,2c8eefb4399199979186f2954850e4b96a12cabe897abbf004c30d343cd581f1,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=875 [Hasil SUPAS] Rasio Ketergantungan Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_6bf49de3e81a23c25397ec47,bps_webapi,bps-webapi://domain/1300/var/877/th/125,2026-08-16T12:19:18+00:00,2026-05-12 02:00:30,93126c8f8cc6cea5bceabf563a3d7034e77561d4f0f87b89d0b9d0e8d51b4f8b,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=877 [Hasil SUPAS] Angka Kematian Bayi (Infant Mortality Rate/IMR) Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_87a8c749f76d1accba7eea4a,bps_webapi,bps-webapi://domain/1300/var/319/th/125,2026-08-16T12:19:38+00:00,2026-02-28 01:58:42,792df6092c616a022d7706ce5c3d585175d4fc6a6cd6c5ca59c89e0248e2b353,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,var=319 Persentase Penduduk Berumur 5 Tahun ke Atas yang Menggunakan Telepon Seluler (HP) dalam 3 Bulan Terakhir Menurut Kabupaten/Kota di Provinsi Sumatera Barat; period=2025; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization
bpsm4prov_95e85bf46c862d5e02d02b71,bps_webapi,bps-webapi://domain/1300/var/773/th/122,2026-08-16T12:20:37+00:00,2025-12-23 10:55:02,a84bfb460e17ab965b2208c8b04918937317317645cc4dbe23a72065a05bfc12,normalize_bps_dynamic:v2,materialize_bps_milestone4_batch1:v1,api,"var=773 Jumlah Perusahaan, Tenaga Kerja dan Nilai Tambah (Biaya Faktor Produksi) Menurut Kabupaten/Kota pada Industri Besar dan Sedang di Provinsi Sumatera Barat; period=2022; checksum_scope=sha256_of_canonicalized_BPS_result_payload_excluding_local_retrieval_wrapper; the source was re-harvested and required to match this semantic checksum before materialization"
