observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bpsobs_002254c7fd55ffb8ef95dd47,labor_force_participation,idn.13.1304,2022-08-01,2022-08-31,annual,68.17,percent,observed,bpsprov_ba6ebf736b043a24fb0a8367,false,,Sakernas August,,qualification_id=q_labor_tpak_august; source_universe=Population age 15+; labor force divided by working-age population; reference_period_rule=calendar_month_august; source_geography=1304:Kab. Sijunjung; geography_mapping=qualified_current_code; quality_rule=retain BPS weighting-method notes; source_definition=Catatan: 2011-2017: menggunakan penimbang hasil proyeksi penduduk tahun 2010-2035.  Tahun 2016 : Data tenaga kerja per Kabupaten/Kota tidak tersedia karena sampel tidak mencukupi.  Tahun 2018-2021: menggunakan estimasi dari hasil proyeksi SUPAS 2015
bpsobs_0031c1dbc8127156b02d23da,unemployment_rate,idn.13.1308,2025-08-01,2025-08-31,annual,3.78,percent,observed,bpsprov_a4d570f5955cf0ac7ac1e29f,false,,Sakernas August,,"qualification_id=q_labor_tpt_august; source_universe=Population age 15+; TPT denominator is labor force; reference_period_rule=calendar_month_august; source_geography=1308:Kab. Lima Puluh Kota; geography_mapping=qualified_current_code; quality_rule=retain BPS weighting-method notes; source_definition=Catatan:  2011-2017: menggunakan penimbang hasil proyeksi penduduk tahun 2010-2035. Tahun 2016, Data tenaga kerja per Kabupaten/Kota tidak tersedia karena sampel tidak mencukupi.  2018-2021 menggunakan estimasi dari hasil proyeksi SUPAS 2015"
bpsobs_00c0925e976dfaf3fa18542f,life_expectancy,idn.13.1301,2020-01-01,2020-12-31,annual,70.73,years,observed,bpsprov_bccddeee99a0b0cc8ae3b0bf,false,true,LF-SP2020 based UHH,,qualification_id=q_uhh_lfsp2020; source_universe=Newborn in the stated year; reference_period_rule=calendar_year; source_geography=1301:Kab. Kepulauan Mentawai; geography_mapping=qualified_current_code; quality_rule=retain LF-SP2020 method_version; do not chain silently to legacy SP2010-projection UHH
bpsobs_00d8313988114924bd064544,real_grdp_growth,idn.13,2025-01-01,2025-12-31,annual,3.37,percent,observed,bpsprov_ae12c79ade84e1b148c84799,false,true,ADHK 2010,constant_2010,qualification_id=q_grdp_growth_adhk2010; source_universe=Regional economy under BPS GRDP production boundary; reference_period_rule=calendar_year; source_geography=1300:SUMATERA BARAT (Provinsi); geography_mapping=qualified_source_aggregate_alias; quality_rule=mark 2024 very_provisional and 2025 very_very_provisional; preserve base year 2010; release_status=very_very_provisional
bpsobs_00df342fd5348ab11507bb1e,poverty_rate,idn.13.1306,2022-03-01,2022-03-31,annual,6.25,percent,observed,bpsprov_07afa8f13634c9788796a1be,false,true,Susenas March,,qualification_id=q_poverty_march; source_universe=Population under the official BPS poverty line; reference_period_rule=calendar_month_march; source_geography=1306:Padang Pariaman; geography_mapping=qualified_current_code; quality_rule=retain poverty-methodology/source notes
bpsobs_00e05efc56d967d8a65ed388,expected_years_schooling,idn.13.1371,2019-03-01,2019-03-31,annual,16.51,years,observed,bpsprov_82e03fec5a6c78e8c783fdda,false,true,BPS HDI new method; Susenas March,,qualification_id=q_hls_susenas_march; source_universe=Population age 7 / child aged 7 under BPS HDI methodology; reference_period_rule=calendar_month_march; source_geography=1371:Kota Padang; geography_mapping=qualified_current_code; quality_rule=retain method label and age universe
bpsobs_00e37e9fc2cf1d66aa427214,labor_force_participation,idn.13.1304,2024-08-01,2024-08-31,annual,70.18,percent,observed,bpsprov_da6907579350f5a1fd4daaa4,false,,Sakernas August,,qualification_id=q_labor_tpak_august; source_universe=Population age 15+; labor force divided by working-age population; reference_period_rule=calendar_month_august; source_geography=1304:Kab. Sijunjung; geography_mapping=qualified_current_code; quality_rule=retain BPS weighting-method notes; source_definition=Catatan: 2011-2017: menggunakan penimbang hasil proyeksi penduduk tahun 2010-2035.  Tahun 2016 : Data tenaga kerja per Kabupaten/Kota tidak tersedia karena sampel tidak mencukupi.  Tahun 2018-2021: menggunakan estimasi dari hasil proyeksi SUPAS 2015
bpsobs_013945e7ca1a90b577f80028,poverty_rate,idn.13,2024-03-01,2024-03-31,annual,5.97,percent,observed,bpsprov_76330cb31f219a56a7d551dc,false,true,Susenas March,,qualification_id=q_poverty_march; source_universe=Population under the official BPS poverty line; reference_period_rule=calendar_month_march; source_geography=1300:SUMATERA BARAT (Provinsi); geography_mapping=qualified_source_aggregate_alias; quality_rule=retain poverty-methodology/source notes
bpsobs_021e2b4149b8280b5283e52c,expected_years_schooling,idn.13.1375,2024-03-01,2024-03-31,annual,15.28,years,observed,bpsprov_201a0a2b90685d55a0143e64,false,true,BPS HDI new method; Susenas March,,qualification_id=q_hls_susenas_march; source_universe=Population age 7 / child aged 7 under BPS HDI methodology; reference_period_rule=calendar_month_march; source_geography=1375:Kota Bukittinggi; geography_mapping=qualified_current_code; quality_rule=retain method label and age universe
bpsobs_022e26c8ddc6eb0568fa0e43,expected_years_schooling,idn.13.1312,2019-03-01,2019-03-31,annual,13.4,years,observed,bpsprov_82e03fec5a6c78e8c783fdda,false,true,BPS HDI new method; Susenas March,,qualification_id=q_hls_susenas_march; source_universe=Population age 7 / child aged 7 under BPS HDI methodology; reference_period_rule=calendar_month_march; source_geography=1312:Kab. Pasaman Barat; geography_mapping=qualified_current_code; quality_rule=retain method label and age universe
